,ValidDate,AQSID,SiteName,OZONE_AQI,PM25_AQI,NO2_AQI
58,03/01/16,250250044,Boston-Von Hillern,,,11
59,03/01/17,250250002,BOSTON-KENMORE,,,11
60,03/01/17,250250043,Boston - North End,,,29
61,03/01/17,250250042,Boston - Roxbury,29,,11
62,03/01/17,250250044,Boston-Von Hillern,,,15
63,03/01/18,250250002,BOSTON-KENMORE,,,19
64,03/01/18,250250043,Boston - North End,,,42
65,03/01/18,250250042,Boston - Roxbury,30,,38
66,03/01/18,250250044,Boston-Von Hillern,,,42
67,03/01/19,250250002,BOSTON-KENMORE,,,24
68,03/01/19,250250042,Boston - Roxbury,25,,25
69,03/01/19,250250044,Boston-Von Hillern,,,33
70,04/01/14,250250002,BOSTON-KENMORE,,,11
71,04/01/14,250250041,Boston - Long Island,34,,3
72,04/01/14,250250043,Boston - North End,,,28
73,04/01/14,250250042,Boston - Roxbury,26,,8
74,04/01/14,250250044,Boston-Von Hillern,,,22
75,04/01/15,250250002,BOSTON-KENMORE,,,25
76,04/01/15,250250043,Boston - North End,,,46
77,04/01/15,250250042,Boston - Roxbury,14,,20
78,04/01/15,250250044,Boston-Von Hillern,,,25
79,04/01/16,250250002,BOSTON-KENMORE,,,8
80,04/01/16,250250043,Boston - North End,,,33
81,04/01/16,250250042,Boston - Roxbury,38,,6
82,04/01/16,250250044,Boston-Von Hillern,,,8
83,04/01/17,250250002,BOSTON-KENMORE,,,16
84,04/01/17,250250043,Boston - North End,,,46
85,04/01/17,250250042,Boston - Roxbury,26,,13
86,04/01/17,250250044,Boston-Von Hillern,,,3
87,04/01/18,250250002,BOSTON-KENMORE,,,8
88,04/01/18,250250043,Boston - North End,,,12
89,04/01/18,250250042,Boston - Roxbury,35,,25
90,04/01/18,250250044,Boston-Von Hillern,,,42
91,04/01/19,250250002,BOSTON-KENMORE,,,5
92,04/01/19,250250042,Boston - Roxbury,25,,25
93,04/01/19,250250044,Boston-Von Hillern,,,12
94,05/01/14,250250002,BOSTON-KENMORE,,,17
95,05/01/14,250250041,Boston - Long Island,32,,1
96,05/01/14,250250043,Boston - North End,,,22
97,05/01/14,250250042,Boston - Roxbury,25,,20
98,05/01/14,250250044,Boston-Von Hillern,,,6
99,05/01/15,250250002,BOSTON-KENMORE,,,13
100,05/01/15,250250043,Boston - North End,,,12
101,05/01/15,250250042,Boston - Roxbury,24,,6
102,05/01/15,250250044,Boston-Von Hillern,,,4
103,05/01/16,250250002,BOSTON-KENMORE,,,9
104,05/01/16,250250043,Boston - North End,,,25
105,05/01/16,250250042,Boston - Roxbury,28,,29
106,05/01/16,250250044,Boston-Von Hillern,,,8
107,05/01/17,250250002,BOSTON-KENMORE,,,8
108,05/01/17,250250043,Boston - North End,,,25
109,05/01/17,250250042,Boston - Roxbury,23,,6
110,05/01/17,250250044,Boston-Von Hillern,,,5
111,05/01/18,250250002,BOSTON-KENMORE,,,20
112,05/01/18,250250042,Boston - Roxbury,15,,29
113,05/01/18,250250044,Boston-Von Hillern,,,29
114,05/01/19,250250042,Boston - Roxbury,28,,12
115,05/01/19,250250044,Boston-Von Hillern,,,10
116,06/01/14,250250041,Boston - Long Island,21,,3
117,06/01/14,250250042,Boston - Roxbury,16,,32
118,06/01/14,250250044,Boston-Von Hillern,,,15
119,06/01/15,250250002,BOSTON-KENMORE,,,7
120,06/01/15,250250043,Boston - North End,,,24
121,06/01/15,250250042,Boston - Roxbury,25,,7
122,06/01/15,250250044,Boston-Von Hillern,,,8
123,06/01/16,250250002,BOSTON-KENMORE,,,11
124,06/01/16,250250043,Boston - North End,,,17
125,06/01/16,250250042,Boston - Roxbury,20,,26
126,06/01/16,250250044,Boston-Von Hillern,,,19
127,06/01/17,250250002,BOSTON-KENMORE,,,8
128,06/01/17,250250043,Boston - North End,,,29
129,06/01/17,250250042,Boston - Roxbury,22,,21
130,06/01/17,250250044,Boston-Von Hillern,,,8
131,06/01/18,250250002,BOSTON-KENMORE,,,10
132,06/01/18,250250042,Boston - Roxbury,29,,46
133,06/01/18,250250044,Boston-Von Hillern,,,42
134,06/01/19,250250002,BOSTON-KENMORE,,,16
135,06/01/19,250250042,Boston - Roxbury,17,,42
136,06/01/19,250250044,Boston-Von Hillern,,,8
137,07/01/14,250250041,Boston - Long Island,47,,4
138,07/01/14,250250042,Boston - Roxbury,42,,22
139,07/01/14,250250044,Boston-Von Hillern,,,14
140,07/01/15,250250002,BOSTON-KENMORE,,,25
141,07/01/15,250250043,Boston - North End,,,54
142,07/01/15,250250042,Boston - Roxbury,22,,33
143,07/01/15,250250044,Boston-Von Hillern,,,23
144,07/01/16,250250002,BOSTON-KENMORE,,,22
145,07/01/16,250250043,Boston - North End,,,42
146,07/01/16,250250042,Boston - Roxbury,31,,10
147,07/01/16,250250044,Boston-Von Hillern,,,11
148,07/01/17,250250002,BOSTON-KENMORE,,,9
149,07/01/17,250250043,Boston - North End,,,42
150,07/01/17,250250042,Boston - Roxbury,31,,57
151,07/01/17,250250044,Boston-Von Hillern,,,25
152,07/01/18,250250002,BOSTON-KENMORE,,,6
153,07/01/18,250250042,Boston - Roxbury,38,,6
154,07/01/18,250250044,Boston-Von Hillern,,,55
155,07/01/19,250250002,BOSTON-KENMORE,,,1
156,07/01/19,250250042,Boston - Roxbury,24,,4
157,07/01/19,250250044,Boston-Von Hillern,,,12
158,08/01/14,250250002,BOSTON-KENMORE,,,15
159,08/01/14,250250041,Boston - Long Island,44,,4
160,08/01/14,250250042,Boston - Roxbury,36,,22
161,08/01/14,250250044,Boston-Von Hillern,,,67
162,08/01/15,250250002,BOSTON-KENMORE,,,13
163,08/01/15,250250043,Boston - North End,,,40
164,08/01/15,250250042,Boston - Roxbury,13,,
165,08/01/15,250250044,Boston-Von Hillern,,,14
166,08/01/16,250250002,BOSTON-KENMORE,,,17
167,08/01/16,250250043,Boston - North End,,,21
168,08/01/16,250250042,Boston - Roxbury,19,,8
169,08/01/16,250250044,Boston-Von Hillern,,,5
170,08/01/17,250250002,BOSTON-KENMORE,,,18
171,08/01/17,250250043,Boston - North End,,,25
172,08/01/17,250250042,Boston - Roxbury,32,,17
173,08/01/17,250250044,Boston-Von Hillern,,,4
174,08/01/18,250250002,BOSTON-KENMORE,,,21
175,08/01/18,250250042,Boston - Roxbury,40,,29
176,08/01/18,250250044,Boston-Von Hillern,,,57
177,08/01/19,250250002,BOSTON-KENMORE,,,17
178,08/01/19,250250042,Boston - Roxbury,22,,25
179,08/01/19,250250044,Boston-Von Hillern,,,33
180,09/01/14,250250002,BOSTON-KENMORE,,,10
181,09/01/14,250250041,Boston - Long Island,31,,2
182,09/01/14,250250042,Boston - Roxbury,25,,42
183,09/01/14,250250044,Boston-Von Hillern,,,9
184,09/01/15,250250002,BOSTON-KENMORE,,,25
185,09/01/15,250250043,Boston - North End,,,61
186,09/01/15,250250042,Boston - Roxbury,26,,
187,09/01/16,250250002,BOSTON-KENMORE,,,21
188,09/01/16,250250043,Boston - North End,,,55
189,09/01/16,250250042,Boston - Roxbury,33,,13
190,09/01/16,250250044,Boston-Von Hillern,,,19
191,09/01/17,250250002,BOSTON-KENMORE,,,12
192,09/01/17,250250043,Boston - North End,,,80
193,09/01/17,250250042,Boston - Roxbury,25,,46
194,09/01/17,250250044,Boston-Von Hillern,,,25
195,09/01/18,250250002,BOSTON-KENMORE,,,12
196,09/01/18,250250042,Boston - Roxbury,24,,53
197,09/01/18,250250044,Boston-Von Hillern,,,25
198,09/01/19,250250002,BOSTON-KENMORE,,,8
199,09/01/19,250250042,Boston - Roxbury,21,,25
200,09/01/19,250250044,Boston-Von Hillern,,,25
201,10/01/14,250250002,BOSTON-KENMORE,,,11
202,10/01/14,250250041,Boston - Long Island,13,,1
203,10/01/14,250250043,Boston - North End,,,50
204,10/01/14,250250042,Boston - Roxbury,7,,10
205,10/01/14,250250044,Boston-Von Hillern,,,30
206,10/01/15,250250002,BOSTON-KENMORE,,,10
207,10/01/15,250250043,Boston - North End,,,21
208,10/01/15,250250042,Boston - Roxbury,19,,25
209,10/01/16,250250002,BOSTON-KENMORE,,,12
210,10/01/16,250250043,Boston - North End,,,21
211,10/01/16,250250042,Boston - Roxbury,13,,14
212,10/01/16,250250044,Boston-Von Hillern,,,7
213,10/01/17,250250002,BOSTON-KENMORE,,,6
214,10/01/17,250250043,Boston - North End,,,63
215,10/01/17,250250042,Boston - Roxbury,15,,21
216,10/01/17,250250044,Boston-Von Hillern,,,38
217,10/01/18,250250002,BOSTON-KENMORE,,,15
218,10/01/18,250250042,Boston - Roxbury,8,,57
219,10/01/18,250250044,Boston-Von Hillern,,,42
220,10/01/19,250250002,BOSTON-KENMORE,,,7
221,10/01/19,250250042,Boston - Roxbury,18,,17
222,10/01/19,250250044,Boston-Von Hillern,,,8
223,11/01/14,250250043,Boston - North End,,,41
224,11/01/14,250250042,Boston - Roxbury,19,,18
225,11/01/14,250250044,Boston-Von Hillern,,,
226,11/01/15,250250002,BOSTON-KENMORE,,,19
227,11/01/15,250250043,Boston - North End,,,46
228,11/01/15,250250042,Boston - Roxbury,14,,53
229,11/01/15,250250044,Boston-Von Hillern,,,14
230,11/01/16,250250002,BOSTON-KENMORE,,,12
231,11/01/16,250250043,Boston - North End,,,53
232,11/01/16,250250042,Boston - Roxbury,14,,10
233,11/01/16,250250044,Boston-Von Hillern,,,12
234,11/01/17,250250002,BOSTON-KENMORE,,,16
235,11/01/17,250250043,Boston - North End,,,57
236,11/01/17,250250042,Boston - Roxbury,12,,33
237,11/01/17,250250044,Boston-Von Hillern,,,33
238,11/01/18,250250002,BOSTON-KENMORE,,,9
239,11/01/18,250250042,Boston - Roxbury,30,,42
240,11/01/18,250250044,Boston-Von Hillern,,,42
241,11/01/19,250250002,BOSTON-KENMORE,,,7
242,11/01/19,250250042,Boston - Roxbury,29,,46
243,11/01/19,250250044,Boston-Von Hillern,,,21
244,12/01/14,250250043,Boston - North End,,,68
245,12/01/14,250250042,Boston - Roxbury,25,,63
246,12/01/14,250250044,Boston-Von Hillern,,,41
247,12/01/15,250250002,BOSTON-KENMORE,,,26
248,12/01/15,250250043,Boston - North End,,,21
249,12/01/15,250250042,Boston - Roxbury,10,,21
250,12/01/15,250250044,Boston-Von Hillern,,,20
251,12/01/16,250250002,BOSTON-KENMORE,,,18
252,12/01/16,250250043,Boston - North End,,,25
253,12/01/16,250250042,Boston - Roxbury,18,,9
254,12/01/16,250250044,Boston-Von Hillern,,,5
255,12/01/17,250250002,BOSTON-KENMORE,,,25
256,12/01/17,250250043,Boston - North End,,,38
257,12/01/17,250250042,Boston - Roxbury,12,,25
258,12/01/17,250250044,Boston-Von Hillern,,,42
259,12/01/18,250250002,BOSTON-KENMORE,,,11
260,12/01/18,250250042,Boston - Roxbury,13,,42
261,12/01/18,250250044,Boston-Von Hillern,,,29
262,12/01/19,250250002,BOSTON-KENMORE,,,5
263,12/01/19,250250042,Boston - Roxbury,27,,12
264,12/01/19,250250044,Boston-Von Hillern,,,8
