,ValidDate,AQSID,SiteName,OZONE_AQI,PM25_AQI,NO2_AQI
0,01/01/14,250250002,BOSTON-KENMORE,,,25
1,01/01/14,250250041,Boston - Long Island,18,,12
2,01/01/14,250250043,Boston - North End,,,88
3,01/01/14,250250042,Boston - Roxbury,7,,64
4,01/01/14,250250044,Boston-Von Hillern,,,65
5,01/01/15,250250002,BOSTON-KENMORE,,,24
6,01/01/15,250250043,Boston - North End,,,78
7,01/01/15,250250042,Boston - Roxbury,5,,48
8,01/01/15,250250044,Boston-Von Hillern,,,24
9,01/01/16,250250002,BOSTON-KENMORE,,,15
10,01/01/16,250250042,Boston - Roxbury,11,,25
11,01/01/16,250250044,Boston-Von Hillern,,,15
12,01/01/17,250250002,BOSTON-KENMORE,,,14
13,01/01/17,250250043,Boston - North End,,,91
14,01/01/17,250250042,Boston - Roxbury,20,,12
15,01/01/17,250250044,Boston-Von Hillern,,,13
16,01/01/18,250250002,BOSTON-KENMORE,,,10
17,01/01/18,250250043,Boston - North End,,,66
18,01/01/18,250250042,Boston - Roxbury,19,,38
19,01/01/18,250250044,Boston-Von Hillern,,,57
20,01/01/19,250250002,BOSTON-KENMORE,,,10
21,01/01/19,250250042,Boston - Roxbury,19,,29
22,01/01/19,250250044,Boston-Von Hillern,,,57
23,02/01/14,250250002,BOSTON-KENMORE,,,30
24,02/01/14,250250041,Boston - Long Island,8,,25
25,02/01/14,250250043,Boston - North End,,,77
26,02/01/14,250250042,Boston - Roxbury,5,,66
27,02/01/14,250250044,Boston-Von Hillern,,,34
28,02/01/15,250250002,BOSTON-KENMORE,,,9
29,02/01/15,250250043,Boston - North End,,,67
30,02/01/15,250250042,Boston - Roxbury,21,,13
31,02/01/15,250250044,Boston-Von Hillern,,,12
32,02/01/16,250250002,BOSTON-KENMORE,,,18
33,02/01/16,250250043,Boston - North End,,,42
34,02/01/16,250250042,Boston - Roxbury,24,,14
35,02/01/16,250250044,Boston-Von Hillern,,,25
36,02/01/17,250250002,BOSTON-KENMORE,,,32
37,02/01/17,250250043,Boston - North End,,,42
38,02/01/17,250250042,Boston - Roxbury,13,,21
39,02/01/17,250250044,Boston-Von Hillern,,,25
40,02/01/18,250250002,BOSTON-KENMORE,,,21
41,02/01/18,250250043,Boston - North End,,,42
42,02/01/18,250250042,Boston - Roxbury,18,,33
43,02/01/18,250250044,Boston-Von Hillern,,,68
44,02/01/19,250250002,BOSTON-KENMORE,,,23
45,02/01/19,250250042,Boston - Roxbury,18,,50
46,02/01/19,250250044,Boston-Von Hillern,,,42
47,03/01/14,250250002,BOSTON-KENMORE,,,35
48,03/01/14,250250041,Boston - Long Island,30,,10
49,03/01/14,250250043,Boston - North End,,,69
50,03/01/14,250250042,Boston - Roxbury,10,,56
51,03/01/14,250250044,Boston-Von Hillern,,,52
52,03/01/15,250250043,Boston - North End,,,68
53,03/01/15,250250042,Boston - Roxbury,12,,36
54,03/01/15,250250044,Boston-Von Hillern,,,44
55,03/01/16,250250002,BOSTON-KENMORE,,,14
56,03/01/16,250250043,Boston - North End,,,112
57,03/01/16,250250042,Boston - Roxbury,24,,14
