02/01/19,00:00,250250042,Boston - Roxbury,-5,TEMP,C,-11,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250042,Boston - Roxbury,-5,WD,DEGREES,229,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250042,Boston - Roxbury,-5,WS,M/S,2.2,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,BARPR,MILLIBAR,1025.1,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,CO,PPM,0.33,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,NO,PPB,14,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,NO2,PPB,21,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,NOX,PPB,35,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,PM2.5,UG/M3,10,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,RHUM,PERCENT,35,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,SRAD,WATTS/M2,0,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,TEMP,C,-11,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,WD,DEGREES,247,Massachusetts Dept. of Environmental Protection
02/01/19,00:00,250250044,Boston-Von Hillern,-5,WS,M/S,2.7,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250002,BOSTON-KENMORE,-5,NO,PPB,8,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250002,BOSTON-KENMORE,-5,NO2,PPB,25,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250002,BOSTON-KENMORE,-5,NOX,PPB,33,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250002,BOSTON-KENMORE,-5,SO2,PPB,0,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,BARPR,MILLIBAR,1021.1,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,CO,PPM,0.25,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,NO,PPB,1,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,NO2,PPB,16,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,NOX,PPB,17,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,NOY,PPB,16.8,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,OZONE,PPB,29,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,PM2.5,UG/M3,6,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,RHUM,PERCENT,31,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,RWD,DEGREES,356.5,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,RWS,KNOTS,2.3,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,SO2,PPB,0,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,SRAD,WATTS/M2,0,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,TEMP,C,-2,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,WD,DEGREES,354,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250042,Boston - Roxbury,-5,WS,M/S,1.5,Massachusetts Dept. of Environmental Protection
