"Geographic Area Name (NAME)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"ZIP 02110 (Boston, MA)","2021","1,917","11,818,503","3,522,869","56,958"
"ZIP 02116 (Boston, MA)","2021","1,979","9,874,471","2,775,575","67,148"
"ZIP 02210 (Boston, MA)","2021","1,098","9,849,053","2,750,912","59,425"
"ZIP 02109 (Boston, MA)","2021","1,340","4,881,380","1,451,734","31,428"
"ZIP 02114 (Boston, MA)","2021","744","4,759,674","1,098,352","43,436"
"ZIP 02111 (Boston, MA)","2021","963","4,271,232","1,225,276","33,148"
"ZIP 02215 (Boston, MA)","2021","540","4,156,938","957,585","51,174"
"ZIP 02199 (Boston, MA)","2021","281","3,526,531","1,067,053","18,644"
"ZIP 02108 (Boston, MA)","2021","1,087","2,139,545","594,518","19,066"
"ZIP 02118 (Boston, MA)","2021","894","1,402,286","302,364","20,560"
"ZIP 02128 (East Boston, MA)","2021","853","1,217,494","265,088","20,398"
"ZIP 02129 (Charlestown, MA)","2021","503","999,317","230,729","12,664"
"ZIP 02130 (Jamaica Plain, MA)","2021","703","965,731","226,731","13,852"
"ZIP 02135 (Brighton, MA)","2021","656","915,721","217,918","12,837"
"ZIP 02127 (South Boston, MA)","2021","700","770,687","199,845","9,465"
"ZIP 02467 (Chestnut Hill, MA)","2021","483","763,174","165,573","13,701"
"ZIP 02125 (Dorchester, MA)","2021","517","752,885","183,545","10,387"
"ZIP 02134 (Allston, MA)","2021","539","596,490","139,035","8,304"
"ZIP 02119 (Roxbury, MA)","2021","456","581,531","126,847","7,319"
"ZIP 02122 (Dorchester, MA)","2021","547","431,302","93,384","7,398"
"ZIP 02151 (Revere, MA)","2021","839","296,823","63,965","7,212"
"ZIP 02136 (Hyde Park, MA)","2021","458","275,167","60,201","4,965"
"ZIP 02131 (Roslindale, MA)","2021","455","250,446","55,707","5,372"
"ZIP 02132 (West Roxbury, MA)","2021","493","248,980","57,943","5,323"
"ZIP 02124 (Dorchester Center, MA)","2021","584","234,856","57,284","5,991"
"ZIP 02120 (Roxbury Crossing, MA)","2021","176","218,842","50,239","3,811"
"ZIP 02113 (Boston, MA)","2021","180","90,787","15,939","1,805"
"ZIP 02121 (Dorchester, MA)","2021","233","86,603","17,912","1,876"
"ZIP 02126 (Mattapan, MA)","2021","242","81,688","18,476","1,899"
"ZIP 02163 (Boston, MA)","2021","35","31,064","7,209","413"
"ZIP 02203 (Boston, MA)","2021","7","2,133","542","36"
