Date,ZipCode,AQI_OZONE,AQI_PM10,AQI_PM2.5,CategoryName_OZONE,CategoryName_PM10,CategoryName_PM2.5,Longitude,Latitude
2023-01-01,2108,28,6,16,Good,Good,Good,-71.06516,42.35657
2023-01-01,2109,28,6,16,Good,Good,Good,-71.05277,42.36498
2023-01-01,2110,28,6,16,Good,Good,Good,-71.05189,42.35797
2023-01-01,2111,28,6,16,Good,Good,Good,-71.06054,42.35067
2023-01-01,2113,28,6,16,Good,Good,Good,-71.05524,42.36526
2023-01-01,2114,28,6,16,Good,Good,Good,-71.06686,42.36337
2023-01-01,2115,28,6,16,Good,Good,Good,-71.09481,42.34046
2023-01-01,2116,28,6,16,Good,Good,Good,-71.07638,42.35105
2023-01-01,2118,28,6,16,Good,Good,Good,-71.07057,42.33806
2023-01-01,2119,28,6,16,Good,Good,Good,-71.08522,42.32405
2023-01-01,2120,28,6,16,Good,Good,Good,-71.09654,42.33212
2023-01-01,2121,28,6,16,Good,Good,Good,-71.08693,42.3057
2023-01-01,2122,28,6,16,Good,Good,Good,-71.05185,42.29427
2023-01-01,2124,28,6,16,Good,Good,Good,-71.07114,42.28583
2023-01-01,2125,28,6,16,Good,Good,Good,-71.0562,42.31578
2023-01-01,2126,31,,,Good,,,-71.0918,42.27588
2023-01-01,2127,28,6,16,Good,Good,Good,-71.03875,42.33455
2023-01-01,2128,28,6,14,Good,Good,Good,-71.01616,42.37324
2023-01-01,2129,28,6,14,Good,Good,Good,-71.06167,42.37975
2023-01-01,2130,28,6,16,Good,Good,Good,-71.11515,42.30823
2023-01-01,2131,31,,,Good,,,-71.12468,42.28392
2023-01-01,2132,31,,,Good,,,-71.16072,42.27931
2023-01-01,2134,28,6,16,Good,Good,Good,-71.12931,42.35855
2023-01-01,2135,28,6,16,Good,Good,Good,-71.15417,42.34989
2023-01-01,2136,31,,,Good,,,-71.12662,42.25505
2023-01-01,2151,28,6,14,Good,Good,Good,-71.004,42.41887
2023-01-01,2163,28,6,16,Good,Good,Good,-71.12509,42.36717
2023-01-01,2199,28,6,16,Good,Good,Good,-71.08199,42.34748
2023-01-01,2203,28,6,16,Good,Good,Good,-71.05945,42.36144
2023-01-01,2210,28,6,16,Good,Good,Good,-71.03942,42.34815
2023-01-01,2215,28,6,16,Good,Good,Good,-71.10276,42.34741
2023-01-01,2467,28,6,16,Good,Good,Good,-71.16096,42.31725
2023-01-02,2108,23,12,40,Good,Good,Good,-71.06516,42.35657
2023-01-02,2109,23,12,40,Good,Good,Good,-71.05277,42.36498
2023-01-02,2110,23,12,40,Good,Good,Good,-71.05189,42.35797
2023-01-02,2111,23,12,40,Good,Good,Good,-71.06054,42.35067
2023-01-02,2113,23,12,40,Good,Good,Good,-71.05524,42.36526
2023-01-02,2114,23,12,40,Good,Good,Good,-71.06686,42.36337
2023-01-02,2115,23,12,40,Good,Good,Good,-71.09481,42.34046
2023-01-02,2116,23,12,40,Good,Good,Good,-71.07638,42.35105
2023-01-02,2118,23,12,40,Good,Good,Good,-71.07057,42.33806
2023-01-02,2119,23,12,40,Good,Good,Good,-71.08522,42.32405
2023-01-02,2120,23,12,40,Good,Good,Good,-71.09654,42.33212
2023-01-02,2121,23,12,40,Good,Good,Good,-71.08693,42.3057
2023-01-02,2122,23,12,40,Good,Good,Good,-71.05185,42.29427
2023-01-02,2124,23,12,40,Good,Good,Good,-71.07114,42.28583
2023-01-02,2125,23,12,40,Good,Good,Good,-71.0562,42.31578
2023-01-02,2126,30,,,Good,,,-71.0918,42.27588
