DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode,zipcode
2023-01-01,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108,02108
2023-01-01,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,16,1,Good,2108,02108
2023-01-01,0,EST,Boston,MA,42.35657,-71.06516,PM10,6,1,Good,2108,02108
2023-01-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,23,1,Good,2108,02108
2023-01-02,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,40,1,Good,2108,02108
2023-01-02,0,EST,Boston,MA,42.35657,-71.06516,PM10,12,1,Good,2108,02108
2023-01-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,3,1,Good,2108,02108
2023-01-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,54,2,Moderate,2108,02108
2023-01-03,0,EST,Boston,MA,42.35657,-71.06516,PM10,16,1,Good,2108,02108
2023-01-04,0,EST,Boston,MA,42.35657,-71.06516,OZONE,19,1,Good,2108,02108
2023-01-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,51,2,Moderate,2108,02108
2023-01-04,0,EST,Boston,MA,42.35657,-71.06516,PM10,15,1,Good,2108,02108
2023-01-05,0,EST,Boston,MA,42.35657,-71.06516,OZONE,19,1,Good,2108,02108
2023-01-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,15,1,Good,2108,02108
2023-01-05,0,EST,Boston,MA,42.35657,-71.06516,PM10,6,1,Good,2108,02108
2023-01-06,0,EST,Boston,MA,42.35657,-71.06516,OZONE,11,1,Good,2108,02108
2023-01-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,37,1,Good,2108,02108
2023-01-06,0,EST,Boston,MA,42.35657,-71.06516,PM10,8,1,Good,2108,02108
2023-01-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108,02108
2023-01-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108,02108
2023-01-07,0,EST,Boston,MA,42.35657,-71.06516,PM10,11,1,Good,2108,02108
2023-01-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108,02108
2023-01-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,25,1,Good,2108,02108
2023-01-08,0,EST,Boston,MA,42.35657,-71.06516,PM10,11,1,Good,2108,02108
2023-01-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,19,1,Good,2108,02108
2023-01-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,49,1,Good,2108,02108
