Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,NO2,O3,PM10,PM2.5,SO2,AQI,Category,ZipCode,CASTHMA_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,STROKE_CrudePrev,HIGHCHOL_CrudePrev,GHLTH_CrudePrev,PHLTH_CrudePrev,MHLTH_CrudePrev,CSMOKING_CrudePrev,BINGE_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev
Allston,173,144,2831.85,3011,3444,3300,400,4,24.231629213483146,19.90612359550562,27.68831460674157,10.316910112359553,0.2320224719101123,41.59550561797753,Good air quality,2134,10.6,2.9,2.2,1.2,20.6,8.9,6.1,17.8,8.8,22.8,17.0,18.3,29.5
Back Bay,1686,3759,11842.96,6923,9075,5316,1892,6,25.3691215526047,19.69635342185904,25.851348314606746,11.155995914198162,0.27182328907048,43.77272727272727,Good air quality,2116,10.2,3.5,3.5,1.8,27.7,8.9,6.5,14.6,7.8,21.2,16.3,18.5,28.2
Bay Village,1249,1711,4292.93,6008,5640,3929,1122,7,25.22340823970037,19.76425093632959,32.98880149812734,8.177996254681648,0.3004868913857677,39.200374531835216,Good air quality,2116,10.2,3.5,3.5,1.8,27.7,8.9,6.5,14.6,7.8,21.2,16.3,18.5,28.2
South End,2552,1421,6516.8,6384,5925,4504,1874,6,23.89749438202247,19.659988764044943,26.2159213483146,10.834943820224716,0.3236629213483145,42.72247191011236,Good air quality,2116,10.2,3.5,3.5,1.8,27.7,8.9,6.5,14.6,7.8,21.2,16.3,18.5,28.2
Brighton,4244,5847,23936.8,19768,22914,17067,5502,8,23.221051364365973,20.08868378812199,26.907098715890843,10.012760834670946,0.2493338683788121,39.829454253611566,Good air quality,2135,10.5,3.5,3.2,1.6,24.3,8.9,6.5,16.2,8.6,22.3,16.8,18.6,28.7
Dorchester,17424,6535,25010.76,50778,29284,22749,9819,3,21.24061206386753,20.798101714961565,21.226487285629805,9.759450029568304,0.4019071555292726,38.7495564754583,Good air quality,2122,11.7,6.4,5.0,3.0,30.5,17.7,10.8,17.5,16.7,17.3,27.9,25.7,36.2
East Boston,8665,4147,14824.6,25459,17845,13698,5180,10,14.943711878009632,20.88778892455859,14.034153290529698,7.843667736757625,0.3033667736757625,32.5870786516854,Good air quality,2128,11.0,5.8,4.6,2.5,29.0,17.8,10.7,17.4,15.3,20.0,28.3,26.3,33.0
Fenway,453,496,10080.74,9808,7177,6681,1240,7,26.461694756554312,19.674447565543076,31.07851123595505,11.707743445692884,0.2377247191011235,45.62827715355805,Good air quality,2115,12.6,4.0,2.8,1.5,20.9,12.3,7.8,23.4,10.6,21.1,21.7,19.6,31.1
Mission Hill,1973,1525,8467.93,10624,10394,8869,2215,10,24.56723595505618,19.579640449438205,28.76513483146068,11.164966292134832,0.3257865168539325,43.6752808988764,Good air quality,2115,12.6,4.0,2.8,1.5,20.9,12.3,7.8,23.4,10.6,21.1,21.7,19.6,31.1
Hyde Park,3256,2219,6412.46,11132,4902,2683,2117,0,16.883370786516856,26.098089887640448,22.78752808988764,8.980168539325843,0.3646067415730337,35.98314606741573,Good air quality,2136,12.0,6.1,5.3,3.3,31.2,16.6,10.5,16.0,14.0,17.1,26.0,28.5,35.7
West Roxbury,4758,3632,9078.9,9121,7254,3622,2580,0,14.23474157303371,24.638438202247197,16.81270786516854,7.163685393258428,0.3491011235955055,31.03483146067416,Good air quality,2136,12.0,6.1,5.3,3.3,31.2,16.6,10.5,16.0,14.0,17.1,26.0,28.5,35.7
Jamaica Plain,7300,4381,16600.57,22247,17366,12985,4570,7,22.943846441947564,20.03216104868914,28.80980898876404,10.389853932584272,0.3524868913857678,41.23558052434456,Good air quality,2121,14.3,7.7,5.8,4.3,30.2,25.2,13.7,20.3,19.8,14.6,35.9,35.2,41.6
Leather District,465,812,2397.59,2378,2065,1253,457,9,25.56196629213483,19.815449438202247,38.34123595505618,6.560674157303371,0.3163483146067415,36.35955056179776,Good air quality,2111,9.7,4.3,4.4,2.3,30.8,13.4,8.0,15.6,11.7,16.8,25.2,17.3,32.0
Longwood Medical Area,118,11,1824.08,1480,197,186,207,0,23.43455056179776,19.676685393258428,31.16376404494381,9.611460674157303,0.2278089887640449,38.061797752808985,Good air quality,2215,12.3,2.6,1.5,0.9,16.2,8.6,5.8,22.6,8.2,22.1,17.5,16.5,29.6
Mattapan,8859,4073,12396.87,28276,13604,9531,5605,4,18.49565308988764,22.686004213483145,19.240175561797752,8.941488764044944,0.3927317415730337,35.488061797752806,Good air quality,2124,12.9,6.5,5.1,3.5,30.3,19.3,11.4,17.8,16.5,16.0,29.2,30.3,38.7
North End,1028,2122,7217.86,2957,5277,3155,1338,7,24.22770599250936,20.073876404494385,27.392752808988764,11.618539325842695,0.2809176029962546,45.20318352059925,Good air quality,2113,10.3,2.5,2.4,1.2,21.5,5.8,4.9,14.9,6.3,25.6,11.6,17.1,26.1
Roslindale,13324,8231,24029.32,33106,19480,11249,7286,1,16.015948813982522,22.670499375780278,20.378139825218472,7.238795255930087,0.3674531835205992,30.98127340823969,Good air quality,2131,11.0,5.0,4.5,2.6,30.6,13.1,9.0,14.6,11.4,18.8,21.7,25.0,32.0
Roxbury,19517,6675,28235.1,67217,39947,33272,12611,10,22.12748900830484,19.929286761113836,21.843861748900828,9.84250122129946,0.3912212994626282,39.00293111871032,Good air quality,2118,10.9,4.8,4.1,2.4,28.4,14.5,9.0,16.5,13.4,19.5,23.4,24.5,33.1
South Boston,3455,2395,8925.16,4258,7886,5491,2143,0,23.151556982343497,20.170216693418933,20.0907544141252,8.874285714285715,0.3674799357945426,35.6107544141252,Good air quality,2127,10.7,4.1,3.5,1.8,26.4,10.1,7.3,15.3,10.1,22.8,17.3,20.9,29.0
South Boston Waterfront,392,456,2514.9300000000003,598,1057,601,357,12,22.510711610486894,20.23559925093633,20.12250936329588,8.975243445692884,0.3670599250936329,35.98689138576779,Good air quality,2127,10.7,4.1,3.5,1.8,26.4,10.1,7.3,15.3,10.1,22.8,17.3,20.9,29.0
West End,467,772,2807.82,1400,2184,1412,472,1,26.2426404494382,19.84580524344569,21.81432584269663,10.423389513108614,0.2724344569288389,41.70973782771535,Good air quality,2114,9.9,2.8,2.8,1.4,24.1,6.8,5.4,13.8,6.8,23.3,13.1,18.2,27.5
