,objectid,muni_id,muni,zo_code,zo_name,zo_usety,zo_abbr,zo_usede,mf_notes,mulfam2,mulfam3_4,mulfam5_19,mulfam20_,minlotsize,mnls_ove,mnls_oven,mnls_calc,mnls_eff,mnls_notes,pctlotcov,plc_spec,plc_ove,plc_oven,plc_calc,plc_eff,plc_notes,plc_esval,lapdu,lapdu_note,lapdu_spec,maxflrs,mxfl_spec,mxfl_calc,mxfl_eff,mxfl_esval,maxheight,mxht_spec,mxht_calc,mxht_eff,mxht_notes,maxdu,mxdu_spec,mxdu_ove,mxdu_oven,mxdu_calc1,sfpdu,mxdu_calc2,mxdu_calc3,mxdu_eff,mxdu_notes,mxdu_esval,dupac,dupac_spec,dupac_ove,dupac_oven,dupac_calc1,dupac_calc2,dupac_calc3,dupac_eff,dupac_notes,dupac_esval,far,far_spec,far_ove,far_oven,far_calc,far_eff,far_esval,far_notes,far_ques,createdby,createddate,editedby,mxht_esval,mnls_esval,mnls_spec,spatialrec
1,2100,92,Essex,92RDWP,Roadway,0,RDWP,Road - Not Zoned,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:46am,NA,NA,999,3/1/13
2,888,35,Boston,35OS-RC (D),Dorchester Neighborhood,4,OS-RC (D),NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,3,3,1,35,NA,NA,35,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,0.4,NA,NA,NA,3,NA,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 2:54pm,0,NA,0,10/1/19
3,949,35,Boston,35WM-CG (HPDB/NR),Harborpark: Dorchester Bay/Neponset River Waterfront,3,WM-CG (HPDB/NR),NA,NA,2,2,2,2,30000,NA,NA,NA,30000,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,999,NA,999,3,3,1,35,NA,NA,35,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,30,NA,30,NA,1,NA,NA,NA,NA,44,44,43,44,NA,1,1,NA,NA,NA,3,1,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 5:04pm,0,0,NA,10/1/19
4,637,73,Dedham,73HB,Highway Business,2,HB,"office, bank, commercial boat rental, wholesale",NA,1,1,1,1,43560,NA,NA,NA,43560,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,999,4,4,1,40,NA,NA,40,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,15.246,NA,0,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,0.35,NA,NA,NA,NA,0.35,0,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/8/2020 9:13am,0,0,NA,4/1/13
5,697,35,Boston,35PA-HB (MC),Midtown Cultural,3,PA-HB (MC),NA,NA,1,1,1,1,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,999,NA,999,6,6,1,65,NA,NA,65,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,175,NA,0,NA,1,4,NA,NA,NA,6,4,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 5:04pm,0,NA,0,10/1/19
6,950,100,Framingham,100B,Business,3,B,Two Family,NA,1,1,1,1,8000,NA,NA,NA,8000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,999,3,NA,4,3,0,40,NA,30,40,"MXFL_NOTES: 
MX_HT_NOTES: ",1,NA,NA,NA,NA,1000,NA,NA,1,NA,0,NA,NA,NA,NA,6,NA,5,6,NA,1,NA,NA,NA,NA,NA,NA,1,"FAR_NOTES:Buildings located less than 50 feet from a single residence or general residence district shall be a maximum of 30 feet in height above finished grade; equal to or greater than 50 but less than 200 fe
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 2:39pm,0,0,NA,6/1/14
7,717,35,Boston,35MFR-1 (A/B),Allston/Brighton Neighborhood,1,MFR-1 (A/B),NA,NA,2,2,1,1,NA,0,NA,3000,0,"3,000 for up to 4 units per bldg.",NA,0,NA,NA,1,1,NA,1,750,"3,000 for up to 4 units per bldg.",NA,3,NA,3,3,0,35,NA,30,35,"MXFL_NOTES: 
MX_HT_NOTES: ",4,NA,NA,NA,NA,1000,NA,NA,4,NA,0,NA,NA,NA,NA,NA,44,NA,44,NA,1,1,NA,NA,NA,3,NA,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 1:56pm,0,1,999,10/1/19
8,743,35,Boston,35MFR (NE),North End Neighborhood,1,MFR (NE),NA,NA,2,2,2,2,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,999,5,NA,5,5,0,55,NA,50,55,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,131,NA,1,3,NA,NA,NA,5,NA,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 5:04pm,0,NA,0,10/1/19
9,745,35,Boston,35MFR (WR),West Roxbury Neighborhood,1,MFR (WR),NA,NA,2,2,2,2,3000,NA,NA,NA,3000,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,999,3,NA,3,3,0,35,NA,30,35,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,3,NA,3,NA,1,NA,NA,NA,NA,44,44,43,44,NA,1,1,NA,NA,NA,3,NA,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 5:04pm,0,0,NA,10/1/19
10,751,35,Boston,35MFR (SE),South End Neighborhood,3,MFR (SE),NA,NA,2,2,2,2,NA,0,NA,NA,0,LPH confirmed.,NA,0,NA,NA,1,1,NA,1,200,NA,NA,NA,999,7,7,1,70,NA,NA,70,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,88,NA,1,2,NA,NA,NA,7,2,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 5:04pm,0,NA,999,10/1/19
