,objectid,muni_id,muni,zo_code,zo_name,zo_usety,zo_abbr,zo_usede,mf_notes,mulfam2,mulfam3_4,mulfam5_19,mulfam20_,minlotsize,mnls_ove,mnls_oven,mnls_calc,mnls_eff,mnls_notes,pctlotcov,plc_spec,plc_ove,plc_oven,plc_calc,plc_eff,plc_notes,plc_esval,lapdu,lapdu_note,lapdu_spec,maxflrs,mxfl_spec,mxfl_calc,mxfl_eff,mxfl_esval,maxheight,mxht_spec,mxht_calc,mxht_eff,mxht_notes,maxdu,mxdu_spec,mxdu_ove,mxdu_oven,mxdu_calc1,sfpdu,mxdu_calc2,mxdu_calc3,mxdu_eff,mxdu_notes,mxdu_esval,dupac,dupac_spec,dupac_ove,dupac_oven,dupac_calc1,dupac_calc2,dupac_calc3,dupac_eff,dupac_notes,dupac_esval,far,far_spec,far_ove,far_oven,far_calc,far_eff,far_esval,far_notes,far_ques,createdby,createddate,editedby,mxht_esval,mnls_esval,mnls_spec,spatialrec
11,1108,141,Hudson,141C7,Commercial,3,C7,Commercial,NA,1,1,1,1,15000,NA,NA,NA,15000,NA,1,NA,NA,NA,1,1,NA,0,NA,NA,999,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",3,NA,NA,NA,NA,1000,NA,NA,3,NA,0,NA,NA,8,NA,9,NA,8,8,NA,1,NA,NA,1.3,NA,NA,1.3,1,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/3/2020 5:18pm,NA,0,NA,4/1/13
12,775,35,Boston,35RH (Rox),Roxbury Neighborhood,3,RH (Rox),NA,NA,0,0,0,0,2000,NA,NA,500,2000,NA,NA,0,NA,NA,1,1,NA,1,500,NA,NA,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",1,999,1,NA,4,1000,2,NA,1,NA,1,NA,NA,NA,NA,22,44,21,22,NA,1,1,NA,NA,NA,NA,1,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/8/2020 4:12pm,NA,0,NA,10/1/19
13,823,35,Boston,35OS-RC (JP),Jamaica Plain Neighborhood,4,OS-RC (JP),NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/8/2020 10:19am,NA,NA,0,10/1/19
14,846,35,Boston,35OS-G (A/B),Allston/Brighton Neighborhood,4,OS-G (A/B),NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 2:54pm,NA,NA,0,10/1/19
15,873,35,Boston,35B-10 (BP),Boston Proper,3,B-10 (BP),NA,NA,2,2,2,2,NA,0,NA,NA,0,NA,NA,999,NA,NA,1,1,NA,1,NA,NA,999,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,436,NA,65,NA,1,10,NA,NA,NA,NA,10,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,NA,3/3/2020 8:38pm,NA,NA,999,10/1/19
16,930,35,Boston,35OS (JP),Jamaica Plain Neighborhood,4,OS (JP),NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/8/2020 10:19am,NA,NA,0,10/1/19
17,959,107,Gloucester,107R-40,Rural Residential A,1,R-40,two family,NA,2,1,1,1,40000,NA,NA,NA,40000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,999,NA,999,3,3,1,30,NA,NA,30,"MXFL_NOTES: 
MX_HT_NOTES: ",2,NA,NA,NA,NA,1000,NA,NA,2,NA,0,NA,NA,NA,NA,3,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,NA,3/3/2020 8:38pm,0,0,NA,9/1/13
18,967,100,Framingham,100M,General Manufacturing,2,M,"Office, Retail, Restaurant Manufacturing (including, lumber, fuel, oil)",NA,0,0,0,0,6000,NA,NA,NA,6000,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,8,8,1,80,NA,NA,80,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,1.92,NA,0,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,0.32,NA,NA,NA,8,0.32,0,"FAR_NOTES:FAR confirmed. Buildings located less than 50 feet from a single residence or general residence district shall be a maximum of 30 feet in height above finished grade; equal to or greater than 50 but less than 200 fe
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:45am,0,0,NA,6/1/14
19,1075,155,Lexington,155GC,Governmental-Civic Use,4,GC,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT: ",Nina Mascarenhas,6/1/2019 12:00am,Lily Perkins-High,12/8/2020 5:15pm,NA,NA,0,2/1/19
20,1088,136,Holliston,136AR2,Agricultural-Residential B,1,AR2,Two Family Conversion,NA,2,1,1,1,40000,NA,NA,NA,40000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,999,2.5,NA,3,2.5,0,35,NA,25,35,"MXFL_NOTES: 
MX_HT_NOTES: ",2,NA,NA,NA,NA,1000,NA,NA,2,NA,0,NA,NA,NA,NA,3,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,NA,3/3/2020 8:38pm,0,0,NA,4/1/13
21,1095,136,Holliston,136I,Industrial,2,I,"Office, General Industrial",NA,0,0,0,0,20000,NA,NA,NA,20000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,NA,3,NA,4,3,0,40,NA,30,40,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,10,NA,0,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.5,0,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:45am,0,0,NA,4/1/13
22,1115,262,Saugus,262R-1,Residential A,1,R-1,single family,NA,1,1,1,1,20000,NA,NA,20000,20000,NA,NA,0,NA,NA,1,1,NA,1,20000,NA,NA,3,NA,3,3,0,35,NA,30,35,"MXFL_NOTES: 
MX_HT_NOTES: ",1,999,NA,NA,1,1000,NA,NA,1,NA,0,NA,NA,NA,NA,3,NA,2,3,NA,1,NA,999,NA,NA,3,NA,NA,"FAR_NOTES:
FAR_XCEPT: ",Nina Mascarenhas,8/1/2019 12:00am,Lily Perkins-High,12/8/2020 4:11pm,0,0,NA,1/1/99
23,1213,163,Lynn,163CBD,Central Business District,2,CBD,"General retail, offices, banks",NA,1,1,1,1,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,9.99,0,10,NA,12,10,0,120,NA,100,120,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,10,NA,1,"FAR_NOTES:
FAR_XCEPT: ",Nina Mascarenhas,8/1/2019 12:00am,Lily Perkins-High,12/8/2020 5:15pm,0,NA,999,5/1/19
24,1255,229,Peabody,229BR,Regional Business,2,BR,"offices, retail, motels, restuarants, personal service shops, contractors, auto",NA,0,0,0,0,10000,NA,NA,NA,10000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,999,4,4,1,40,NA,NA,40,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,10,NA,0,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:45am,0,0,NA,8/1/13
25,1357,177,Medway,177VR,Village Residential,1,VR,NA,NA,1,1,1,1,22500,NA,NA,NA,22500,NA,0,NA,NA,NA,1,0,NA,0,NA,"999. James said 30,000 for a 2-family.",999,NA,0,3,3,1,35,NA,NA,35,"MXFL_NOTES: 
MX_HT_NOTES: ",1,999,3,NA,NA,1000,NA,NA,3,NA,1,NA,NA,2,NA,6,NA,5,2,NA,1,NA,999,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT: ",Nina Mascarenhas,6/1/2019 12:00am,Lily Perkins-High,12/8/2020 4:10pm,0,0,NA,1/1/99
26,1385,187,Millis,187R-T,Residential - Town,1,R-T,Single Family,NA,0,0,0,0,60000,NA,NA,NA,60000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,999,2.5,NA,3,2.5,0,35,NA,25,35,"MXFL_NOTES: 
MX_HT_NOTES: ",1,NA,NA,NA,NA,1000,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,999,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,NA,3/3/2020 8:38pm,0,0,NA,NA
27,1390,185,Milford,185RB,Single-Family Residential,1,RB,single-family,NA,0,0,0,0,15000,NA,NA,15000,15000,NA,NA,0,NA,NA,1,1,NA,1,15000,NA,NA,3,NA,3,3,0,35,NA,30,35,"MXFL_NOTES: 
MX_HT_NOTES: ",1,NA,NA,NA,1,1000,NA,NA,1,NA,0,2,NA,NA,NA,3,NA,2,2,NA,0,NA,-999,NA,NA,3,NA,NA,"FAR_NOTES:
FAR_XCEPT: ",James Armstrong,12/3/2019 12:00am,Lily Perkins-High,12/8/2020 11:54am,0,0,NA,5/1/19
28,1426,207,Newton,207BU1,Business 1,2,BU1,"Office, bank. Retail, theater, restaurant with <50 seats",NA,1,1,1,1,10000,NA,NA,NA,10000,NA,NA,999,NA,NA,1,1,NA,1,1200,NA,NA,3,NA,3,3,0,36,NA,30,36,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,8,1000,10,NA,0,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,1,NA,NA,NA,3,1,0,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 12:11pm,0,0,NA,3/1/13
29,1413,198,Natick,198RG,Residential General,1,RG,Multi Family,NA,2,2,1,1,12000,NA,NA,NA,12000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,999,3,NA,4,3,0,40,NA,30,40,"MXFL_NOTES: 
MX_HT_NOTES: ",4,NA,NA,NA,NA,1000,NA,NA,4,NA,0,NA,NA,NA,NA,15,NA,14,15,NA,1,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,NA,3/3/2020 8:38pm,0,0,NA,3/1/13
30,1436,207,Newton,207LM,Light manufacturing,2,LM,Light manufacturing,NA,0,0,0,0,43560,NA,NA,NA,43560,NA,0,NA,NA,NA,1,0,NA,0,10000,NA,NA,2.5,NA,3,2.5,0,30,NA,25,30,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,4,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:45am,0,0,NA,3/1/13
31,1458,207,Newton,207SR3,Single Residence 3,1,SR3,One family dwelling,MF not allowed,0,0,0,0,10000,NA,NA,NA,10000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,999,2.5,NA,3,2.5,0,30,NA,25,30,"MXFL_NOTES: 
MX_HT_NOTES: ",4,NA,NA,NA,NA,1000,7.5,NA,4,NA,0,NA,NA,NA,NA,18,33,17,18,NA,1,0.75,NA,NA,NA,NA,NA,0,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,NA,3/3/2020 8:38pm,0,0,NA,3/1/13
32,1461,208,Norfolk,208R-2,Residence -2,1,R-2,Single Family Dwelling,NA,1,1,1,1,43560,NA,NA,43560,43560,NA,NA,0,NA,NA,1,1,NA,1,43560,NA,NA,NA,0,3,3,1,35,NA,NA,35,"MXFL_NOTES: 
MX_HT_NOTES: ",1,999,NA,NA,1,1000,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,999,NA,NA,3,NA,NA,"FAR_NOTES:
FAR_XCEPT: ",Nina Mascarenhas,7/1/2020 12:00am,Lily Perkins-High,12/8/2020 4:11pm,0,0,NA,3/1/17
33,1466,23,Bedford,23R-B,Residence B,1,R-B,Cluster Development,NA,2,1,1,1,20000,NA,NA,NA,20000,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,999,3,NA,3,3,0,35,NA,30,35,"MXFL_NOTES: 
MX_HT_NOTES: ",2,NA,NA,NA,NA,1000,NA,NA,2,NA,0,NA,NA,NA,NA,5,NA,4,5,NA,1,NA,NA,NA,NA,3,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/2/2020 1:56pm,0,0,NA,11/1/15
34,1483,220,Norwood,220LMA,Limited Manufacturing A,2,LMA,"Office, wholesale, light mfg., airport",NA,0,0,0,0,130680,NA,NA,NA,130680,NA,1,NA,NA,NA,1,1,NA,0,NA,9.99,999,NA,999,6,6,1,60,NA,NA,60,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,130.68,NA,0,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,1,NA,NA,NA,6,1,0,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:45am,0,0,NA,NA
35,465,35,Boston,35INS-NEDH (BP),Boston Proper,2,INS-NEDH (BP),NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,999,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,15,15,1,155,NA,NA,155,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,4,NA,NA,NA,15,4,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/11/2020 10:45am,0,NA,999,10/1/19
36,496,35,Boston,35LI-1-LS (A/B),Allston/Brighton Neighborhood - Local Industrial Subdistricts,2,LI-1-LS (A/B),NA,NA,0,0,0,0,NA,0,NA,NA,0,None specified.,NA,0,NA,NA,1,1,NA,1,NA,None specified.,999,3,NA,3,3,0,35,NA,30,35,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,1,NA,NA,NA,3,1,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 1:56pm,0,NA,999,10/1/19
37,889,35,Boston,35PA-OSH (GC/M),Government Center/Markets,3,PA-OSH (GC/M),NA,NA,2,2,2,2,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,999,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,175,NA,2,NA,1,4,NA,NA,NA,NA,4,0,"FAR_NOTES:
FAR_XCEPT:",NA,NA,Lily Perkins-High,12/2/2020 5:04pm,NA,NA,0,10/1/19
38,1109,141,Hudson,141C8,Commercial,3,C8,Commercial,NA,1,1,1,1,15000,NA,NA,NA,15000,NA,1,NA,NA,NA,1,1,NA,0,NA,NA,999,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",NA,999,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,1,NA,NA,1.3,NA,NA,1.3,1,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/3/2020 5:18pm,NA,0,NA,4/1/13
39,1603,258,Salem,258RC,Residential Conservation,1,RC,Single Family,NA,0,0,0,0,80000,NA,NA,NA,80000,NA,0,NA,NA,NA,1,0,NA,0,NA,NA,999,2.5,NA,3,2.5,0,35,NA,25,35,"MXFL_NOTES: 
MX_HT_NOTES: ",1,NA,NA,NA,NA,1000,NA,NA,1,NA,0,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,NA,3/3/2020 8:38pm,0,0,NA,10/1/13
40,1624,264,Scituate,264R2,Residence A-2,1,R2,two family,NA,2,1,1,1,20000,NA,NA,NA,20000,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,999,3,NA,3,3,0,35,NA,30,35,"MXFL_NOTES: 
MX_HT_NOTES: ",2,NA,NA,NA,NA,1000,NA,NA,2,NA,0,NA,NA,NA,NA,5,NA,4,5,NA,1,NA,NA,NA,NA,3,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/2/2020 1:56pm,0,0,NA,8/1/13
41,1670,277,Southborough,277C,Conservation,4,C,"Passive Recreation, agriculture, temporary structures",NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,999,NA,NA,NA,NA,999,NA,NA,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:49am,NA,NA,999,8/1/13
42,1676,285,Stoughton,285I,Industrial,2,I,"manufacturing, R&D, refuse transfer station, office",NA,0,0,0,0,80000,NA,NA,NA,80000,NA,1,NA,NA,NA,1,1,NA,0,NA,9.99,0,4,NA,4,4,0,40,NA,40,40,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,4,NA,1,"FAR_NOTES:
FAR_XCEPT: ",Nina Mascarenhas,6/1/2019 12:00am,Lily Perkins-High,12/8/2020 5:15pm,0,0,NA,NA
43,1686,284,Stoneham,284HB,Highway Business,2,HB,Some Commercial,NA,2,2,2,2,10000,NA,NA,NA,10000,NA,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,999,4,4,1,45,NA,NA,45,"MXFL_NOTES: 
MX_HT_NOTES: ",0,NA,NA,NA,NA,1000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,"FAR_NOTES:
FAR_XCEPT:",James Armstrong,2/24/2020 7:06pm,Lily Perkins-High,12/11/2020 10:54am,0,0,NA,NA
