FID,Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,Bus_Stops_Count,Blue_Bikes_Stations_Count,Blue_Bikes_Docks_Count,Air_Quality_Tooltip
83,Dorchester,866,325,1025.58,2846,1118,793,469,0,7,3,51,NO2: 20.18522471910112<br>O3: 22.01848314606741<br>PM10: 22.29140449438202<br>PM2.5: 9.31073033707865<br>SO2: 0.3985955056179775<br>AQI: 36.79775280898876<br>Category: Good air quality<br>ZipCode: 2124<br>
84,Dorchester,558,241,1214.13,2609,933,692,370,1,11,2,34,NO2: 20.18522471910112<br>O3: 22.01848314606741<br>PM10: 22.29140449438202<br>PM2.5: 9.31073033707865<br>SO2: 0.3985955056179775<br>AQI: 36.79775280898876<br>Category: Good air quality<br>ZipCode: 2124<br>
85,Dorchester,1532,476,1751.7,4687,2292,1816,762,1,7,1,15,NO2: 21.74837078651685<br>O3: 21.05870786516854<br>PM10: 20.611404494382025<br>PM2.5: 9.413258426966292<br>SO2: 0.4053370786516854<br>AQI: 37.651685393258425<br>Category: Good air quality<br>ZipCode: 2122<br>
86,Dorchester,1055,381,1342.99,3766,1561,1180,674,0,7,0,0,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
87,Dorchester,949,311,1215.35,3320,1480,1169,515,0,11,0,0,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
88,Dorchester,964,175,1043.21,2869,1632,1457,465,0,7,0,0,NO2: 21.74837078651685<br>O3: 21.05870786516854<br>PM10: 20.611404494382025<br>PM2.5: 9.413258426966292<br>SO2: 0.4053370786516854<br>AQI: 37.651685393258425<br>Category: Good air quality<br>ZipCode: 2122<br>
89,Dorchester,1193,370,1063.01,2753,2354,1984,625,0,8,1,15,NO2: 21.74837078651685<br>O3: 21.05870786516854<br>PM10: 20.611404494382025<br>PM2.5: 9.413258426966292<br>SO2: 0.4053370786516854<br>AQI: 37.651685393258425<br>Category: Good air quality<br>ZipCode: 2122<br>
90,East Boston,1270,526,1768.04,3687,2589,2063,920,0,7,1,19,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2113<br>
91,East Boston,830,229,1482.12,2950,1816,1587,463,0,18,2,35,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
92,South Boston Waterfront,324,269,1457.68,228,706,437,234,0,13,2,32,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
93,Hyde Park,589,347,985.73,1640,669,322,228,0,17,0,0,NO2: 16.883370786516856<br>O3: 26.098089887640448<br>PM10: 22.78752808988764<br>PM2.5: 8.980168539325843<br>SO2: 0.3646067415730337<br>AQI: 35.98314606741573<br>Category: Good air quality<br>ZipCode: 2136<br>
94,West Roxbury,488,613,1252.41,847,899,286,305,0,28,0,0,NO2: 12.468988764044944<br>O3: 23.66533707865169<br>PM10: 12.829494382022473<br>PM2.5: 5.952696629213483<br>SO2: 0.3387640449438202<br>AQI: 27.735955056179776<br>Category: Good air quality<br>ZipCode: 2132<br>
95,South Boston Waterfront,0,0,78.27,52,0,0,0,8,14,3,55,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
96,Charlestown,322,290,917.28,116,504,214,141,0,8,1,23,NO2: 29.41994382022472<br>O3: 19.998876404494386<br>PM10: 32.8411797752809<br>PM2.5: 12.5711797752809<br>SO2: 0.2685393258426966<br>AQI: 48.99438202247191<br>Category: Good air quality<br>ZipCode: 2222<br>
97,Charlestown,326,318,1012.23,209,705,387,176,2,29,4,84,NO2: 10.724213483146068<br>O3: 20.543651685393257<br>PM10: 9.058988764044944<br>PM2.5: 6.03747191011236<br>SO2: 0.2559550561797753<br>AQI: 26.752808988764045<br>Category: Good air quality<br>ZipCode: 2129<br>
98,Brighton,454,546,1548.04,1837,2222,1676,584,0,13,3,53,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
99,Brighton,276,334,1429.35,1091,1163,829,205,0,18,0,0,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
100,Brighton,98,304,2473.17,1584,1347,1043,460,2,6,2,34,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
101,Brighton,540,367,1399.95,914,1484,1117,170,0,10,0,0,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
102,West Roxbury,1444,614,1845.94,3513,2525,1911,430,0,13,0,0,NO2: 16.883370786516856<br>O3: 26.098089887640448<br>PM10: 22.78752808988764<br>PM2.5: 8.980168539325843<br>SO2: 0.3646067415730337<br>AQI: 35.98314606741573<br>Category: Good air quality<br>ZipCode: 2136<br>
103,Jamaica Plain,313,177,596.44,238,294,117,66,0,2,1,15,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
104,Dorchester,877,696,1762.07,475,1181,485,421,0,19,2,15,NO2: 21.74837078651685<br>O3: 21.05870786516854<br>PM10: 20.611404494382025<br>PM2.5: 9.413258426966292<br>SO2: 0.4053370786516854<br>AQI: 37.651685393258425<br>Category: Good air quality<br>ZipCode: 2122<br>
105,Dorchester,225,376,752.98,590,496,120,185,0,7,0,0,NO2: 21.74837078651685<br>O3: 21.05870786516854<br>PM10: 20.611404494382025<br>PM2.5: 9.413258426966292<br>SO2: 0.4053370786516854<br>AQI: 37.651685393258425<br>Category: Good air quality<br>ZipCode: 2122<br>
106,Dorchester,1350,590,2240.18,4545,2991,2401,1136,0,22,1,19,NO2: 21.74837078651685<br>O3: 21.05870786516854<br>PM10: 20.611404494382025<br>PM2.5: 9.413258426966292<br>SO2: 0.4053370786516854<br>AQI: 37.651685393258425<br>Category: Good air quality<br>ZipCode: 2122<br>
107,Dorchester,787,207,738.64,1783,1749,1542,354,0,0,0,0,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
108,Roxbury,289,240,1469.35,1399,1405,1165,340,0,9,2,28,NO2: 24.538483146067417<br>O3: 19.60376404494382<br>PM10: 25.192078651685392<br>PM2.5: 10.348483146067416<br>SO2: 0.2798876404494382<br>AQI: 41.00561797752809<br>Category: Good air quality<br>ZipCode: 2199<br>
109,South End,321,232,935.18,1074,760,528,296,1,4,1,19,NO2: 24.54629213483146<br>O3: 19.66185393258427<br>PM10: 22.283932584269664<br>PM2.5: 11.412640449438202<br>SO2: 0.2687640449438202<br>AQI: 44.88202247191011<br>Category: Good air quality<br>ZipCode: 2116<br>
110,South End,331,110,925.17,402,348,238,11,0,6,1,15,NO2: 24.538483146067417<br>O3: 19.60376404494382<br>PM10: 25.192078651685392<br>PM2.5: 10.348483146067416<br>SO2: 0.2798876404494382<br>AQI: 41.00561797752809<br>Category: Good air quality<br>ZipCode: 2199<br>
111,South End,967,639,2133.73,2498,2183,1544,586,2,15,2,34,NO2: 21.773539325842695<br>O3: 19.57432584269663<br>PM10: 24.25331460674157<br>PM2.5: 10.3038202247191<br>SO2: 0.3711235955056179<br>AQI: 40.8876404494382<br>Category: Good air quality<br>ZipCode: 2118<br>
112,Bay Village,506,550,1693.91,926,1501,951,212,0,6,1,19,NO2: 24.54629213483146<br>O3: 19.66185393258427<br>PM10: 22.283932584269664<br>PM2.5: 11.412640449438202<br>SO2: 0.2687640449438202<br>AQI: 44.88202247191011<br>Category: Good air quality<br>ZipCode: 2116<br>
113,Brighton,558,1198,2419.08,1583,3097,1899,887,0,4,0,0,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
114,Brighton,492,389,1457.46,1515,1505,1116,422,0,11,1,15,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
115,Brighton,200,299,1504.63,1126,846,547,222,0,19,1,13,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
116,Roslindale,133,8,143.39,334,125,117,25,0,4,1,17,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
117,Roslindale,884,386,1401.32,2370,1107,721,414,0,17,2,37,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
118,Roslindale,0,4,3.02,1,4,0,4,0,14,0,0,NO2: 16.883370786516856<br>O3: 26.098089887640448<br>PM10: 22.78752808988764<br>PM2.5: 8.980168539325843<br>SO2: 0.3646067415730337<br>AQI: 35.98314606741573<br>Category: Good air quality<br>ZipCode: 2136<br>
119,Jamaica Plain,364,546,1061.8,554,752,206,234,0,7,0,0,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
120,Bay Village,459,692,1949.13,3469,2611,1919,593,3,8,3,52,NO2: 25.56196629213483<br>O3: 19.815449438202247<br>PM10: 38.34123595505618<br>PM2.5: 6.560674157303371<br>SO2: 0.3163483146067415<br>AQI: 36.35955056179776<br>Category: Good air quality<br>ZipCode: 2111<br>
121,Leather District,465,812,2397.59,2378,2065,1253,457,9,25,10,231,NO2: 25.56196629213483<br>O3: 19.815449438202247<br>PM10: 38.34123595505618<br>PM2.5: 6.560674157303371<br>SO2: 0.3163483146067415<br>AQI: 36.35955056179776<br>Category: Good air quality<br>ZipCode: 2111<br>
122,South End,221,175,1328.07,497,722,547,133,2,22,4,68,NO2: 26.85561797752809<br>O3: 19.88567415730337<br>PM10: 35.09696629213483<br>PM2.5: 11.805955056179776<br>SO2: 0.3274157303370786<br>AQI: 45.9494382022472<br>Category: Good air quality<br>ZipCode: 2205<br>
123,South Boston,1058,219,1070.76,1814,2210,1991,618,0,9,1,19,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
124,South Boston,429,331,1612.62,387,902,571,159,0,19,0,0,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
125,South Boston,710,194,585.33,1539,1405,1211,322,0,7,1,20,NO2: 26.85561797752809<br>O3: 19.88567415730337<br>PM10: 35.09696629213483<br>PM2.5: 11.805955056179776<br>SO2: 0.3274157303370786<br>AQI: 45.9494382022472<br>Category: Good air quality<br>ZipCode: 2205<br>
126,Charlestown,530,412,983.66,437,894,482,389,0,5,2,26,NO2: 29.41994382022472<br>O3: 19.998876404494386<br>PM10: 32.8411797752809<br>PM2.5: 12.5711797752809<br>SO2: 0.2685393258426966<br>AQI: 48.99438202247191<br>Category: Good air quality<br>ZipCode: 2222<br>
127,North End,289,280,1387.35,1353,717,437,196,2,3,4,117,NO2: 29.41994382022472<br>O3: 19.998876404494386<br>PM10: 32.8411797752809<br>PM2.5: 12.5711797752809<br>SO2: 0.2685393258426966<br>AQI: 48.99438202247191<br>Category: Good air quality<br>ZipCode: 2222<br>
128,Bay Village,284,469,649.89,1613,1528,1059,317,4,10,4,68,NO2: 25.56196629213483<br>O3: 19.815449438202247<br>PM10: 38.34123595505618<br>PM2.5: 6.560674157303371<br>SO2: 0.3163483146067415<br>AQI: 36.35955056179776<br>Category: Good air quality<br>ZipCode: 2111<br>
129,West End,153,153,489.75,170,307,154,123,0,1,0,0,NO2: 27.4473595505618<br>O3: 19.82191011235955<br>PM10: 26.734101123595504<br>PM2.5: 10.98129213483146<br>SO2: 0.2879775280898876<br>AQI: 43.39887640449438<br>Category: Good air quality<br>ZipCode: 2108<br>
130,West End,64,449,835.46,620,905,456,214,0,0,2,30,NO2: 25.640280898876405<br>O3: 19.857752808988764<br>PM10: 19.35443820224719<br>PM2.5: 10.14443820224719<br>SO2: 0.2646629213483146<br>AQI: 40.86516853932584<br>Category: Good air quality<br>ZipCode: 2114<br>
131,Back Bay,595,541,1781.09,411,821,280,172,0,1,1,19,NO2: 27.4473595505618<br>O3: 19.82191011235955<br>PM10: 26.734101123595504<br>PM2.5: 10.98129213483146<br>SO2: 0.2879775280898876<br>AQI: 43.39887640449438<br>Category: Good air quality<br>ZipCode: 2108<br>
132,Mission Hill,603,556,1884.55,2710,3274,2718,857,2,11,2,40,NO2: 23.40325842696629<br>O3: 19.57561797752809<br>PM10: 27.918483146067416<br>PM2.5: 10.563988764044945<br>SO2: 0.3456741573033708<br>AQI: 41.58988764044944<br>Category: Good air quality<br>ZipCode: 2120<br>
133,Back Bay,65,428,1214.21,1317,2041,1613,435,0,1,0,0,NO2: 24.538483146067417<br>O3: 19.60376404494382<br>PM10: 25.192078651685392<br>PM2.5: 10.348483146067416<br>SO2: 0.2798876404494382<br>AQI: 41.00561797752809<br>Category: Good air quality<br>ZipCode: 2199<br>
134,Brighton,390,389,1609.84,1746,1121,732,383,0,29,6,96,NO2: 23.15747191011236<br>O3: 20.077808988764044<br>PM10: 28.21662921348315<br>PM2.5: 12.616797752808989<br>SO2: 0.2308988764044943<br>AQI: 47.89325842696629<br>Category: Good air quality<br>ZipCode: 2163<br>
135,Jamaica Plain,812,244,1822.78,2887,871,627,319,0,6,2,33,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
136,South End,712,265,1194.65,1913,1912,1647,848,1,12,3,49,NO2: 21.773539325842695<br>O3: 19.57432584269663<br>PM10: 24.25331460674157<br>PM2.5: 10.3038202247191<br>SO2: 0.3711235955056179<br>AQI: 40.8876404494382<br>Category: Good air quality<br>ZipCode: 2118<br>
137,Dorchester,489,274,1074.97,1143,1172,898,416,1,8,2,45,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
138,Dorchester,1540,436,1548.72,3963,2001,1565,743,0,13,0,0,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
139,Roxbury,397,184,979.08,2545,1202,1018,346,0,3,1,15,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
140,Roxbury,630,238,870.74,2334,1329,1091,312,0,3,1,14,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
141,Dorchester,627,179,1158.82,2253,963,784,345,0,8,0,0,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
142,Dorchester,1241,421,1744.62,2601,1857,1436,552,0,8,1,15,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
143,Roxbury,713,390,1671.75,1678,1685,1295,545,1,36,2,38,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
144,Roxbury,718,178,834.69,2255,1042,864,238,0,4,0,0,NO2: 21.054494382022472<br>O3: 19.5488202247191<br>PM10: 15.454382022471911<br>PM2.5: 8.855393258426966<br>SO2: 0.4076404494382022<br>AQI: 35.2752808988764<br>Category: Good air quality<br>ZipCode: 2119<br>
145,Roxbury,1104,387,1263.83,3570,1701,1314,627,0,8,0,0,NO2: 21.054494382022472<br>O3: 19.5488202247191<br>PM10: 15.454382022471911<br>PM2.5: 8.855393258426966<br>SO2: 0.4076404494382022<br>AQI: 35.2752808988764<br>Category: Good air quality<br>ZipCode: 2119<br>
146,Roxbury,925,236,1049.55,3132,1809,1573,531,0,7,1,15,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
147,Roxbury,815,216,742.63,2193,1878,1662,312,0,15,1,15,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
148,Roxbury,388,131,1280.14,2834,858,727,253,0,21,2,30,NO2: 21.773539325842695<br>O3: 19.57432584269663<br>PM10: 24.25331460674157<br>PM2.5: 10.3038202247191<br>SO2: 0.3711235955056179<br>AQI: 40.8876404494382<br>Category: Good air quality<br>ZipCode: 2118<br>
149,South Boston,162,437,1339.75,107,880,443,320,0,5,0,0,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
150,Dorchester,752,155,1306.46,2330,2485,2330,443,0,12,2,37,NO2: 21.587977528089887<br>O3: 20.12365168539326<br>PM10: 21.219382022471912<br>PM2.5: 10.841123595505618<br>SO2: 0.4050561797752808<br>AQI: 42.42134831460674<br>Category: Good air quality<br>ZipCode: 2125<br>
151,Harbor Islands,0,12,230.53,370,361,349,179,0,0,0,0,NO2: 12.616573033707866<br>O3: 20.755955056179776<br>PM10: 9.26561797752809<br>PM2.5: 6.131516853932585<br>SO2: 0.3711797752808989<br>AQI: 26.84831460674157<br>Category: Good air quality<br>ZipCode: 2212<br>
152,South Boston,400,374,1367.33,101,838,464,391,0,15,0,0,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
153,East Boston,0,0,4.13,2,0,0,0,0,9,0,0,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
154,South Boston Waterfront,68,187,978.98,318,351,164,123,4,27,10,182,NO2: 22.46370786516854<br>O3: 20.271516853932585<br>PM10: 25.188089887640448<br>PM2.5: 10.15438202247191<br>SO2: 0.3528651685393258<br>AQI: 40.18539325842696<br>Category: Good air quality<br>ZipCode: 2210<br>
155,South Boston,367,682,2151.51,278,1290,608,237,0,12,0,0,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
156,South Boston,329,158,797.86,32,361,203,96,0,5,0,0,NO2: 22.53421348314607<br>O3: 20.2176404494382<br>PM10: 17.589719101123595<br>PM2.5: 8.385674157303372<br>SO2: 0.3741573033707865<br>AQI: 33.8876404494382<br>Category: Good air quality<br>ZipCode: 2127<br>
157,Charlestown,665,366,1476.65,1761,1930,1564,381,0,9,4,80,NO2: 10.724213483146068<br>O3: 20.543651685393257<br>PM10: 9.058988764044944<br>PM2.5: 6.03747191011236<br>SO2: 0.2559550561797753<br>AQI: 26.752808988764045<br>Category: Good air quality<br>ZipCode: 2129<br>
158,Fenway,127,250,2149.17,1964,2205,1955,398,0,17,1,14,NO2: 29.223146067415733<br>O3: 19.595730337078653<br>PM10: 32.15174157303371<br>PM2.5: 13.568876404494382<br>SO2: 0.2462359550561797<br>AQI: 52.01685393258427<br>Category: Moderate air quality<br>ZipCode: 2115<br>
159,Roslindale,951,592,1711.82,2161,1367,775,672,0,15,0,0,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
160,Roslindale,510,219,753.75,1640,734,515,256,0,12,2,31,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
161,Roslindale,0,0,6.69,19,0,0,0,0,5,0,0,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
162,Roxbury,1394,417,1631.07,4485,1971,1554,974,0,15,1,11,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
163,Roxbury,1690,497,1752.74,4963,3694,3197,1104,0,7,0,0,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
164,Roxbury,525,358,1077.3,2763,1393,1035,594,0,16,0,0,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
165,East Boston,403,225,921.22,1030,779,554,294,0,4,3,53,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2109<br>
166,East Boston,887,191,1577.45,3279,1419,1228,372,0,1,2,26,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
167,East Boston,380,134,749.78,1540,897,763,210,0,2,1,19,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2109<br>
168,East Boston,355,356,688.53,1147,973,617,149,0,2,0,0,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
169,East Boston,308,229,911.34,1437,887,658,219,1,4,1,16,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2109<br>
170,East Boston,703,486,833.28,1601,2020,1534,563,0,1,3,63,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2109<br>
171,East Boston,1156,319,1799.97,3878,2045,1726,504,0,16,1,15,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
172,Charlestown,847,259,1483.72,713,1025,766,265,0,7,1,19,NO2: 10.724213483146068<br>O3: 20.543651685393257<br>PM10: 9.058988764044944<br>PM2.5: 6.03747191011236<br>SO2: 0.2559550561797753<br>AQI: 26.752808988764045<br>Category: Good air quality<br>ZipCode: 2129<br>
173,Charlestown,611,166,587.93,745,910,744,183,0,6,0,0,NO2: 10.724213483146068<br>O3: 20.543651685393257<br>PM10: 9.058988764044944<br>PM2.5: 6.03747191011236<br>SO2: 0.2559550561797753<br>AQI: 26.752808988764045<br>Category: Good air quality<br>ZipCode: 2129<br>
174,North End,205,210,1074.25,244,544,334,81,0,4,0,0,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2109<br>
