FID,Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,Bus_Stops_Count,Blue_Bikes_Stations_Count,Blue_Bikes_Docks_Count,Air_Quality_Tooltip
11,Fenway,34,16,1629.62,1995,408,392,122,3,9,3,46,NO2: 23.43455056179776<br>O3: 19.676685393258428<br>PM10: 31.163764044943814<br>PM2.5: 9.611460674157303<br>SO2: 0.2278089887640449<br>AQI: 38.061797752808985<br>Category: Good air quality<br>ZipCode: 2215<br>
12,Fenway,168,96,2378.26,2649,694,598,285,3,9,3,49,NO2: 24.231629213483146<br>O3: 19.90612359550562<br>PM10: 27.68831460674157<br>PM2.5: 10.316910112359553<br>SO2: 0.2320224719101123<br>AQI: 41.59550561797753<br>Category: Good air quality<br>ZipCode: 2134<br>
13,Jamaica Plain,0,64,149.4,191,306,242,136,0,17,4,67,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
14,Jamaica Plain,571,306,1345.15,1536,1527,1221,378,0,11,2,46,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
15,Jamaica Plain,342,146,802.52,736,549,403,137,0,8,1,19,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
16,Roslindale,772,987,2177.4,992,1662,675,486,0,37,4,67,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
17,Brighton,335,334,1259.57,847,1088,754,243,0,2,0,0,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
18,Brighton,280,357,1115.87,690,736,379,326,0,6,0,0,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
19,Roslindale,1839,1019,2980.22,6984,2673,1654,760,0,22,1,19,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
20,Hyde Park,900,1016,2480.86,5198,2377,1361,983,0,28,3,50,NO2: 16.883370786516856<br>O3: 26.098089887640448<br>PM10: 22.78752808988764<br>PM2.5: 8.980168539325843<br>SO2: 0.3646067415730337<br>AQI: 35.98314606741573<br>Category: Good air quality<br>ZipCode: 2136<br>
