date,min,max,median,q1,q3,stdev,count
2022-01-01T00:00:00.000Z,3.3,38.8,24.25,7.85,32.5,11.816,580
2022-01-02T00:00:00.000Z,1.4,33.3,5,3.8,18.4,9.998,572
2022-01-03T00:00:00.000Z,0.2,5.4,2.29,1.5,3.7,1.307,528
2022-01-04T00:00:00.000Z,0.3,8,1.75,1,3.1,1.695,572
2022-01-05T00:00:00.000Z,0.7,16.7,6.8,1.9,9.05,3.718,565
2022-01-06T00:00:00.000Z,1.2,32,15.2,11.7,20.7,7.05,601
2022-01-07T00:00:00.000Z,6.4,39.4,12.4,9.3,16.39,4.208,583
2022-01-08T00:00:00.000Z,0.9,42.5,3,2.1,4.2,3.739,537
2022-01-09T00:00:00.000Z,2.5,49.1,6.95,5.1,18.1,10.05,574
2022-01-10T00:00:00.000Z,0,18.5,1.7,0.2,11.2,6.647,480
2022-01-11T00:00:00.000Z,1.2,7.6,3.6,2.4,4.5,1.374,562
2022-01-12T00:00:00.000Z,3.9,16.7,7.1,5.55,9.5,3.003,592
2022-01-13T00:00:00.000Z,8.8,30.2,16.8,14.2,20.85,4.76,593
2022-01-14T00:00:00.000Z,6.2,34.6,25.4,16.8,30.4,7.754,582
2022-01-15T00:00:00.000Z,1,15.9,3.1,2.6,3.5,1.396,574
2022-01-16T00:00:00.000Z,2,24.1,4.4,3.7,5.5,3.05,592
2022-01-17T00:00:00.000Z,0.3,18.9,2.8,1.8,5.4,4.022,595
2022-01-18T00:00:00.000Z,0.2,20.8,1.7,1.1,2.6,6.706,554
2022-01-19T00:00:00.000Z,0.5,7,2.6,2,5,1.726,557
2022-01-20T00:00:00.000Z,0.7,30.1,9.8,7.7,17.95,7.749,577
2022-01-21T00:00:00.000Z,0.6,19.1,4.2,1.6,5.2,2.001,566
2022-01-22T00:00:00.000Z,2.5,19.5,5.5,4.3,6.9,2.424,597
2022-01-23T00:00:00.000Z,10.4,57,20,17.1,25.4,7.18,607
2022-01-24T00:00:00.000Z,4.1,38.7,23.45,9.6,32.2,11.276,600
2022-01-25T00:00:00.000Z,8.3,43.7,30.9,19.4,33.79,8.451,612
2022-01-26T00:00:00.000Z,1.4,13.3,3.5,2.8,5.9,2.46,583
2022-01-27T00:00:00.000Z,1.8,9.3,4.7,3.7,6.2,1.63,599
2022-01-28T00:00:00.000Z,3.7,34.7,19.55,6.8,28.2,10.52,594
2022-01-29T00:00:00.000Z,2.9,37.7,13.35,6.1,31.05,11.661,592
2022-01-30T00:00:00.000Z,0.5,5.9,1.5,1.2,2.2,1.012,568
2022-01-31T00:00:00.000Z,4.5,25.1,12.1,7.4,14.9,4.149,596
2022-02-01T00:00:00.000Z,3,48.7,21.6,17.5,24.4,7.903,579
2022-02-02T00:00:00.000Z,6.1,32.6,21.7,15.15,25.7,7.012,624
2022-02-03T00:00:00.000Z,4.2,33,12.8,9.8,20.7,7.381,603
2022-02-04T00:00:00.000Z,0.2,25.6,3.5,2.1,7.65,6.172,609
2022-02-05T00:00:00.000Z,2.1,6.7,4.1,3.55,4.7,0.808,596
2022-02-06T00:00:00.000Z,1.3,7.2,3.5,2.6,4.5,1.282,607
2022-02-07T00:00:00.000Z,3.3,32.3,18.2,10.55,21.1,6.915,600
2022-02-08T00:00:00.000Z,1.3,17.8,7.8,4.09,10.3,3.534,590
2022-02-09T00:00:00.000Z,3.1,25.5,7.7,6.2,10.4,5.553,590
2022-02-10T00:00:00.000Z,2.4,30.3,15.15,5.9,23.2,8.625,594
2022-02-11T00:00:00.000Z,0.8,29.3,7.2,2,10.2,4.362,591
2022-02-12T00:00:00.000Z,0.3,27.6,4.4,3.3,7.9,4.413,585
2022-02-13T00:00:00.000Z,1,15.6,5,2.29,9.2,3.871,572
2022-02-14T00:00:00.000Z,1.4,11.7,3.95,2.9,7,2.732,582
2022-02-15T00:00:00.000Z,1,9.9,3.4,2.1,5.8,2.153,585
2022-02-16T00:00:00.000Z,1.2,26.5,12.4,2.3,16.5,6.639,591
2022-02-17T00:00:00.000Z,1.2,5.6,3.3,2.6,4.2,1.016,588
2022-02-18T00:00:00.000Z,0,8,0.9,0.5,1.4,0.87,517
2022-02-19T00:00:00.000Z,1.1,22.9,2.29,1.9,3.1,2.659,574
2022-02-20T00:00:00.000Z,1,3.8,1.9,1.6,2.4,0.567,564
2022-02-21T00:00:00.000Z,2.3,8.3,5,3.9,5.8,1.205,592
2022-02-22T00:00:00.000Z,2.1,41.6,17.1,11.35,23.5,9.262,605
2022-02-23T00:00:00.000Z,0,13,4,2.29,7.6,3.419,593
2022-02-24T00:00:00.000Z,1.2,7.9,2.8,2.4,3.2,0.79,560
2022-02-25T00:00:00.000Z,0,13.6,3.4,0.8,5.1,3.033,556
2022-02-26T00:00:00.000Z,1.9,29.4,4.6,3.3,6.6,2.896,579
2022-02-27T00:00:00.000Z,4.5,36.6,10.3,7.4,15,5.066,594
2022-02-28T00:00:00.000Z,0.8,9,2.8,2.2,3.9,1.736,580
2022-03-01T00:00:00.000Z,1.5,15.2,4,2.7,10.5,3.943,607
2022-03-02T00:00:00.000Z,2.8,26.3,6.6,5.5,13.25,6.694,604
2022-03-03T00:00:00.000Z,0.8,34.9,9.1,1.9,13.2,10.287,599
2022-03-04T00:00:00.000Z,1,8.5,2.5,1.8,3.2,1.078,581
2022-03-05T00:00:00.000Z,4.9,26.3,10.3,8.1,11.3,2.964,589
2022-03-06T00:00:00.000Z,5.8,36.4,17.55,10.45,25.6,8.932,596
2022-03-07T00:00:00.000Z,4.9,34.7,14.5,6.2,20,8.438,595
2022-03-08T00:00:00.000Z,0,56.1,0.2,0.1,2.25,6.682,405
2022-03-09T00:00:00.000Z,0.7,11.6,4.9,4.2,6,1.812,575
2022-03-10T00:00:00.000Z,7.3,24.6,14.35,11.8,18.8,4.106,606
2022-03-11T00:00:00.000Z,9.4,39.9,20.39,14.45,32.04,9.142,600
2022-03-12T00:00:00.000Z,0,19.4,8.4,2.6,11.8,5.317,587
2022-03-13T00:00:00.000Z,0.4,6.1,1.8,1.4,2.7,0.949,533
2022-03-14T00:00:00.000Z,3.7,12.8,8.19,6.55,10.1,2.158,585
2022-03-15T00:00:00.000Z,4.6,18.5,7.05,5.7,10.5,3.262,590
2022-03-16T00:00:00.000Z,4.5,31.9,17.89,14.2,23.9,6.658,626
2022-03-17T00:00:00.000Z,10.2,27.2,16,14,18.9,3.421,602
2022-03-18T00:00:00.000Z,8.5,37,19.5,12.7,26.1,8.188,578
2022-03-19T00:00:00.000Z,5,35.5,14.9,11.3,19.2,6.284,584
2022-03-20T00:00:00.000Z,0,28.8,6.55,1.6,9,7.138,574
2022-03-21T00:00:00.000Z,0,1.7,0.5,0.3,0.7,0.307,400
2022-03-22T00:00:00.000Z,0,6.6,0.9,0.5,1.4,0.883,528
2022-03-23T00:00:00.000Z,0,2,0.8,0.6,1,0.348,542
2022-03-24T00:00:00.000Z,0,2.5,0.7,0.3,1,0.42,519
2022-03-25T00:00:00.000Z,0,21.9,1.4,0.2,3.4,2.461,459
2022-03-26T00:00:00.000Z,0.3,16.2,3,1.5,4.5,2.513,556
2022-03-27T00:00:00.000Z,0,19.6,2.45,0.4,3.5,1.998,530
2022-03-28T00:00:00.000Z,0,5.2,0.85,0.6,1.1,0.485,528
