date,pm25,pm10,o3,no2,so2, co
2023/12/2,41,16,18,14, ,5
2023/12/3,55,10,24,8, ,2
2023/12/4,29,5,11,12, ,4
2023/12/5,16, , , , , 
2023/11/2,18, ,21,15, ,3
2023/11/3,22, ,26,16, ,3
2023/11/4,29, ,25,16, ,5
2023/11/5,33, ,28,18, ,5
2023/11/6,48, ,19,11, ,2
2023/11/7,25, ,35,12, ,3
2023/11/8,41, ,22,10, ,2
2023/11/9,9, ,10,16, ,4
2023/11/10,23, ,17,14, ,4
2023/11/11,24, ,23,9, ,3
2023/11/12,16, ,23,12, ,3
2023/11/13,23, ,18,17, ,4
2023/11/14,27, ,18,15, ,4
2023/11/15,28, ,13,14, ,4
2023/11/16,24, ,18,20, ,5
2023/11/17,46, ,28,17, ,5
2023/11/18,42, ,23,10, ,3
2023/11/19,17, ,9,10, ,2
2023/11/20,17, ,21,11, ,2
2023/11/21,14, ,20,13, ,3
2023/11/22,19, ,22,8, ,3
2023/11/23,15, ,19,7, ,3
2023/11/24,11, ,26,7, ,3
2023/11/25,20, ,24,14, ,4
2023/11/26,18, ,25,14, ,3
2023/11/27,28, ,25,8, ,2
2023/11/28,14,5,24,9, ,2
2023/11/29,16,6,22,15, ,4
2023/11/30,16,16,18,19, ,4
2023/12/1,46,15,19,19, ,4
2023/10/2,94, ,23,11, ,5
2023/10/3,50, ,32,16, ,5
2023/10/4,41, ,25,15, ,4
2023/10/5,55, ,39,13, ,5
2023/10/6,50, ,20,9, ,2
2023/10/7,29, ,26,7, ,3
2023/10/8,37, ,22,3, ,2
2023/10/9,11, ,23,8, ,3
2023/10/10,15, ,24,16, ,4
2023/10/11,25, ,31,15, ,4
2023/10/12,31, ,29,16, ,4
2023/10/13,27, ,18,8, ,2
2023/10/14,14, ,17,8, ,4
2023/10/15,20, ,17,6, ,2
2023/10/16,17, ,14,9, ,2
2023/10/17,13, ,12,8, ,3
2023/10/18,15, ,11,13, ,5
2023/10/19,22, ,24,9, ,3
2023/10/20,16, ,19,11, ,3
2023/10/21,17, ,23,12, ,2
2023/10/22,15, ,13,4, ,2
2023/10/23,6, ,12,7, ,2
2023/10/24,8, ,20,13, ,4
2023/10/25,18, ,19,15, ,3
2023/10/26,27, ,32,22, ,6
2023/10/27,41, ,33,20, ,6
2023/10/28,51, ,32,13, ,4
2023/10/29,35, ,17,7, ,2
2023/10/30,11, ,21,11, ,3
2023/10/31,10, ,22,10, ,3
2023/11/1,14, ,18,12, ,2
2023/7/2,95, ,39,6, ,6
2023/7/3,106, ,31,11, ,5
2023/7/4,37, ,21,9, ,4
2023/7/5,38, ,43,9, ,4
2023/7/6,48, ,42,9, ,4
2023/7/7,53, ,36,6, ,2
2023/7/8,35, ,29,5, ,3
2023/7/9,35, ,24,3, ,1
2023/7/10,27, ,8,8, ,1
2023/7/11,22, ,31,8, ,3
2023/7/12,36, ,49,11, ,3
2023/7/13,61, ,53,9, ,3
2023/7/14,59, ,37,9, ,2
2023/7/15,31, ,31,3, ,2
2023/7/16,38, ,22,2, ,2
2023/7/17,29, ,47,9, ,4
2023/7/18,81, ,36,8, ,3
2023/7/19,56, ,37,9, ,3
2023/7/20,65, ,27,6, ,2
2023/7/21,37, ,41,12, ,4
2023/7/22,50, ,36,9, ,4
2023/7/23,31, ,28,8, ,4
2023/7/24,36, ,45,8, ,3
2023/7/25,47, ,38,9, ,4
2023/7/26,42, ,45,9, ,4
2023/7/27,65, ,41,7, ,3
2023/7/28,50, ,43,7, ,3
2023/7/29,43, ,36,7, ,4
2023/7/30,41, ,23,5, ,3
2023/7/31,19, ,26,8, ,3
2023/8/1,23, ,24,7, ,2
2023/8/2,18, ,28,8, ,2
2023/8/3,16, ,37,8, ,2
2023/8/4,19, ,37,6, ,2
2023/8/5,33, ,39,12, ,4
2023/8/6,57, ,29,6, ,3
2023/8/7,47, ,30,9, ,4
2023/8/8,58, ,33,7, ,3
2023/8/9,32, ,25,5, ,3
2023/8/10,36, ,38,10, ,3
2023/8/11,54, ,29,7, ,3
2023/8/12,32, ,41,8, ,4
2023/8/13,33, ,38,3, ,2
2023/8/14,30, ,28,8, ,3
2023/8/15,17, ,23,11, ,2
2023/8/16,25, ,25,6, ,2
2023/8/17,18, ,22,6, ,2
2023/8/18,13, ,29,9, ,3
2023/8/19,17, ,21,4, ,4
2023/8/20,34, ,31,4, ,3
2023/8/21,58, ,35,11, ,4
2023/8/22,62, ,24,5, ,3
2023/8/23,34, ,29,6, ,2
2023/8/24,20, ,35,8, ,3
2023/8/25,23, ,24,5, ,2
2023/8/26,18, ,24,10, ,4
2023/8/27,32, ,15,5, ,2
2023/8/28,27, ,18,4, ,2
2023/8/29,24, ,17,7, ,2
2023/8/30,19, ,25,11, ,3
2023/8/31,18, ,24,6, ,2
2023/9/1,17, ,23,7, ,3
2023/9/2,16, ,37,5, ,3
2023/9/3,24, ,37,8, ,4
2023/9/4,33, ,30,18, ,5
2023/9/5,57, ,29,12, ,5
2023/9/6,63, ,33,11, ,4
2023/9/7,79, ,40,10, ,4
2023/9/8,59, ,36,10, ,4
2023/9/9,56, ,32,7, ,4
2023/9/10,49, ,12,9, ,3
2023/9/11,38, ,14,8, ,2
2023/9/12,23, ,20,10, ,3
2023/9/13,17, ,31,9, ,4
