longitude,latitude,ZipCode,Time,CO,NO2,O3,PM10,PM2.5,SO2,aqi,category
-71.12889,42.35765,02134,2023-10-19T04:00:00Z,317.57,27.99,5.56,35.87,8.89,0.3,36,Good air quality
-71.12889,42.35765,02134,2023-10-19T08:00:00Z,217.71,18.46,9.2,36.19,5.71,0.2,37,Good air quality
-71.12889,42.35765,02134,2023-10-19T12:00:00Z,310.55,23.81,8.43,36.09,7.22,0.11,37,Good air quality
-71.12889,42.35765,02134,2023-10-19T16:00:00Z,212.68,32.31,20.04,30.37,10.16,0.3,36,Good air quality
-71.12889,42.35765,02134,2023-10-19T20:00:00Z,205.87,31.16,32.01,22.2,9.31,0.3,36,Good air quality
-71.12889,42.35765,02134,2023-10-20T00:00:00Z,206.56,28.5,29.69,20.4,7.61,0.11,36,Good air quality
-71.12889,42.35765,02134,2023-10-20T04:00:00Z,211.89,20.32,17.03,28.1,6.35,0.21,34,Good air quality
-71.12889,42.35765,02134,2023-10-20T08:00:00Z,211.08,15.98,13.15,16.03,5.24,0.21,32,Good air quality
-71.12889,42.35765,02134,2023-10-20T12:00:00Z,310.52,27.55,7.65,33.5,6.36,0.21,32,Good air quality
-71.12889,42.35765,02134,2023-10-20T16:00:00Z,299.92,35.27,7.93,24.57,8.76,0.49,33,Good air quality
-71.12889,42.35765,02134,2023-10-20T20:00:00Z,119.5,27.48,27.47,34.45,8.75,0.5,32,Good air quality
-71.12889,42.35765,02134,2023-10-21T00:00:00Z,206.47,34.02,22.41,39.04,9.05,0.21,32,Good air quality
-71.12889,42.35765,02134,2023-10-21T04:00:00Z,107.25,30.16,23.28,21.22,8.02,0.31,32,Good air quality
-71.12889,42.35765,02134,2023-10-21T08:00:00Z,106.71,18.31,25.26,29.56,4.31,0.21,33,Good air quality
-71.12889,42.35765,02134,2023-10-21T12:00:00Z,118.66,14.55,20.49,31.75,8.17,0.21,33,Good air quality
-71.12889,42.35765,02134,2023-10-21T16:00:00Z,107.25,31.61,23.4,21.65,6.89,0.31,31,Good air quality
-71.12889,42.35765,02134,2023-10-21T20:00:00Z,107.87,32.34,23.26,21.58,6.76,0.31,30,Good air quality
-71.12889,42.35765,02134,2023-10-22T00:00:00Z,112.36,25.19,33.58,25.35,8.67,0.21,29,Good air quality
-71.12889,42.35765,02134,2023-10-22T04:00:00Z,112.55,18.84,27.41,26.31,6.64,0.31,28,Good air quality
-71.12889,42.35765,02134,2023-10-22T08:00:00Z,112.49,11.93,18.21,30.78,6.62,0.21,28,Good air quality
-71.12889,42.35765,02134,2023-10-22T12:00:00Z,106.63,9.71,14.16,11.28,5.89,0.11,27,Good air quality
-71.12889,42.35765,02134,2023-10-22T16:00:00Z,106.54,15.93,16.17,25.54,4.42,0.21,25,Good air quality
-71.12889,42.35765,02134,2023-10-22T20:00:00Z,106.54,21.6,18.15,33.97,6.88,0.21,25,Good air quality
-71.12889,42.35765,02134,2023-10-23T00:00:00Z,112.39,21.35,13.51,18.94,8.13,0.21,25,Good air quality
-71.12889,42.35765,02134,2023-10-23T04:00:00Z,112.39,15.55,11.49,22.93,4.89,0.21,25,Good air quality
-71.12889,42.35765,02134,2023-10-23T08:00:00Z,106.5,9.76,12.17,12.18,2.4,0.21,24,Good air quality
-71.12889,42.35765,02134,2023-10-23T12:00:00Z,112.52,15.31,9.21,28.58,4.28,0.11,25,Good air quality
-71.12889,42.35765,02134,2023-10-23T16:00:00Z,205.95,21.72,10.17,19.55,5.78,0.21,25,Good air quality
-71.12889,42.35765,02134,2023-10-23T20:00:00Z,112.52,23.03,15.3,21.27,8.26,0.21,25,Good air quality
-71.12889,42.35765,02134,2023-10-24T00:00:00Z,107.28,20.76,14.29,29.44,7.4,0.11,26,Good air quality
-71.12889,42.35765,02134,2023-10-24T04:00:00Z,106.66,16.01,17.12,25.19,5.69,0.11,26,Good air quality
-71.12889,42.35765,02134,2023-10-24T08:00:00Z,107.25,13.86,13,13.29,3.17,0.11,26,Good air quality
-71.12889,42.35765,02134,2023-10-24T12:00:00Z,224.7,25.33,2.8,26.3,6,0.31,27,Good air quality
-71.12889,42.35765,02134,2023-10-24T16:00:00Z,411.03,30.91,5.3,22.29,9.24,0.9,29,Good air quality
-71.12889,42.35765,02134,2023-10-24T20:00:00Z,205.89,26.61,20.99,23.51,8.83,0.11,29,Good air quality
-71.12889,42.35765,02134,2023-10-25T00:00:00Z,305.19,36.09,16.23,35.71,10.27,0.2,34,Good air quality
-71.12889,42.35765,02134,2023-10-25T04:00:00Z,218.27,21.53,14.65,32.77,7.58,0.21,32,Good air quality
-71.12889,42.35765,02134,2023-10-25T08:00:00Z,113.07,18.49,28.85,23.15,8.42,0.11,34,Good air quality
-71.12889,42.35765,02134,2023-10-25T12:00:00Z,212.55,19.23,22.06,35.79,9.37,0.11,35,Good air quality
-71.12889,42.35765,02134,2023-10-25T16:00:00Z,305.78,31.42,18.24,30.12,9.51,0.21,36,Good air quality
-71.12889,42.35765,02134,2023-10-25T20:00:00Z,206.53,34.68,10.62,35.33,11.13,0.21,37,Good air quality
-71.12889,42.35765,02134,2023-10-26T00:00:00Z,312.43,29.7,7.03,36.91,12.15,0.21,37,Good air quality
-71.12889,42.35765,02134,2023-10-26T04:00:00Z,219,21.27,3.51,35.63,10.55,0.21,39,Good air quality
-71.12889,42.35765,02134,2023-10-26T08:00:00Z,206.52,11.88,29.51,24.38,9.03,0.21,42,Good air quality
-71.12889,42.35765,02134,2023-10-26T12:00:00Z,219.45,30.63,16.91,34.69,12.53,0.21,44,Good air quality
-71.12889,42.35765,02134,2023-10-26T16:00:00Z,381.11,40.47,19.45,33.46,12.05,0.77,46,Good air quality
-71.12889,42.35765,02134,2023-10-26T20:00:00Z,275.5,23.23,46.68,34.67,12.37,0.68,48,Good air quality
-71.12889,42.35765,02134,2023-10-27T00:00:00Z,411.62,36.04,33.04,37.5,14.69,0.11,49,Good air quality
-71.12889,42.35765,02134,2023-10-27T04:00:00Z,436.41,29.69,15.1,32.38,16.38,0.3,52,Moderate air quality
