ZCTA5,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,HEARING_CrudePrev,HEARING_Crude95CI,VISION_CrudePrev,VISION_Crude95CI,COGNITION_CrudePrev,COGNITION_Crude95CI,MOBILITY_CrudePrev,MOBILITY_Crude95CI,SELFCARE_CrudePrev,SELFCARE_Crude95CI,INDEPLIVE_CrudePrev,INDEPLIVE_Crude95CI,DISABILITY_CrudePrev,DISABILITY_Crude95CI,Geolocation
02109,3771,2.9,"( 2.2,  3.9)",17.8,"(15.8, 20.0)",22.4,"(19.7, 25.3)",21.3,"(19.1, 23.7)",70.5,"(67.3, 73.6)",6.2,"( 5.7,  6.8)",9.8,"( 8.7, 11.0)",85.3,"(83.6, 86.7)",3.8,"( 3.4,  4.4)",70.2,"(66.5, 73.7)",86.7,"(84.3, 88.7)",83.2,"(81.7, 84.4)",3.7,"( 3.1,  4.5)",57.2,"(52.1, 62.0)",46.3,"(40.6, 51.3)",7.9,"( 6.1,  9.9)",77.0,"(74.7, 79.0)",21.1,"(18.5, 23.9)",5.5,"( 4.8,  6.4)",7.9,"( 6.7,  9.3)",28.1,"(25.3, 31.0)",2.1,"( 1.9,  2.3)",14.4,"(12.2, 17.0)",82.8,"(80.6, 84.6)",13.3,"(11.6, 15.2)",19.4,"(16.4, 22.8)",6.4,"( 5.4,  7.5)",27.7,"(26.5, 28.7)",1.9,"( 1.6,  2.1)",6.8,"( 4.4, 11.9)",4.7,"( 4.1,  5.3)",2.5,"( 2.2,  2.9)",9.4,"( 8.0, 11.1)",7.2,"( 6.0,  8.4)",1.9,"( 1.6,  2.2)",4.4,"( 3.7,  5.2)",19.1,"(16.6, 21.9)",POINT (-71.05394458 42.35982634)
02111,7383,5.5,"( 4.2,  7.1)",15.8,"(13.9, 17.9)",16.8,"(14.6, 19.1)",23.6,"(21.2, 26.2)",73.1,"(70.3, 75.9)",4.5,"( 4.1,  4.9)",9.7,"( 8.6, 10.9)",72.7,"(70.3, 75.2)",4.4,"( 3.8,  4.9)",69.8,"(66.0, 73.4)",81.4,"(78.3, 84.4)",74.4,"(72.1, 76.5)",4.3,"( 3.6,  5.1)",47.7,"(42.1, 52.5)",38.9,"(34.2, 43.4)",11.7,"( 9.3, 14.1)",63.5,"(60.2, 66.5)",19,"(16.5, 21.7)",9.8,"( 8.5, 11.1)",13.4,"(11.4, 15.5)",30.8,"(27.9, 33.7)",2.4,"( 2.1,  2.6)",25.2,"(21.6, 28.8)",79.4,"(76.8, 81.7)",15.6,"(13.5, 17.8)",17.3,"(14.4, 20.4)",8.0,"( 6.9,  9.3)",32.0,"(30.8, 33.2)",2.3,"( 2.1,  2.6)",11.2,"( 8.0, 15.2)",5.3,"( 4.7,  6.0)",4.9,"( 4.2,  5.6)",13.5,"(11.2, 15.9)",9.8,"( 8.4, 11.3)",2.9,"( 2.5,  3.3)",6.7,"( 5.6,  7.9)",25.3,"(21.8, 28.6)",POINT (-71.05910467 42.35013318)
02113,6915,2.6,"( 2.0,  3.4)",12.3,"(10.9, 13.9)",25.6,"(22.6, 28.8)",14.6,"(13.0, 16.4)",62.0,"(59.1, 64.9)",4.4,"( 4.1,  4.9)",10.3,"( 9.2, 11.5)",83.8,"(81.7, 85.4)",2.4,"( 2.1,  2.7)",67.1,"(63.2, 71.0)",83.4,"(80.4, 86.0)",84.0,"(82.9, 84.9)",2.5,"( 2.1,  2.9)",59.0,"(54.9, 62.6)",47.8,"(44.0, 51.4)",6.3,"( 4.9,  7.9)",79.2,"(77.0, 81.0)",23.5,"(20.6, 26.6)",3.2,"( 2.8,  3.7)",5.8,"( 4.9,  6.8)",21.5,"(19.4, 23.9)",1.5,"( 1.3,  1.6)",11.6,"( 9.8, 13.8)",83.0,"(81.5, 84.4)",14.9,"(13.2, 16.8)",17.1,"(14.3, 20.2)",4.9,"( 4.3,  5.7)",26.1,"(25.2, 27.2)",1.2,"( 1.1,  1.3)",5.8,"( 4.1,  8.4)",3.4,"( 3.0,  3.8)",1.8,"( 1.6,  2.1)",9.6,"( 8.3, 11.3)",4.6,"( 3.9,  5.3)",1.2,"( 1.1,  1.3)",3.8,"( 3.3,  4.4)",16.3,"(14.2, 18.7)",POINT (-71.05523575 42.36533484)
02118,26498,6.8,"( 5.8,  8.1)",17.1,"(15.1, 19.3)",19.5,"(17.1, 22.3)",24.7,"(22.3, 27.4)",69.2,"(66.0, 72.3)",4.4,"( 4.0,  4.8)",10.9,"( 9.8, 12.2)",81.2,"(80.2, 82.1)",4.1,"( 3.7,  4.6)",69.6,"(66.0, 73.2)",82.3,"(79.7, 84.7)",76.8,"(75.8, 77.6)",4.8,"( 4.2,  5.5)",46.3,"(43.9, 48.4)",39.2,"(37.3, 41.1)",13.4,"(11.4, 15.6)",63.6,"(62.2, 65.0)",21.2,"(18.6, 24.0)",8.9,"( 7.8, 10.0)",14.5,"(12.9, 16.3)",28.4,"(25.7, 31.3)",2.4,"( 2.2,  2.6)",23.4,"(20.6, 26.3)",83.0,"(82.2, 83.8)",16.5,"(14.6, 18.4)",24.5,"(21.0, 28.4)",9.0,"( 8.0, 10.2)",33.1,"(32.5, 33.6)",2.4,"( 2.2,  2.6)",12.7,"(11.1, 14.5)",4.8,"( 4.2,  5.3)",5.4,"( 4.9,  5.9)",14.6,"(12.9, 16.3)",10.5,"( 9.3, 11.9)",3.7,"( 3.4,  4.1)",7.4,"( 6.6,  8.3)",26,"(23.2, 28.7)",POINT (-71.07068615 42.3381858)
02119,25346,11.0,"( 9.6, 12.7)",24.2,"(21.7, 26.8)",14.9,"(12.9, 17.1)",35.7,"(32.8, 38.7)",75.9,"(73.1, 78.6)",5.3,"( 4.8,  5.8)",13.8,"(12.5, 15.3)",81.3,"(80.6, 82.0)",6.3,"( 5.7,  7.0)",74.9,"(71.7, 78.1)",82.9,"(80.6, 85.3)",75.0,"(74.2, 75.8)",8.1,"( 7.2,  9.2)",37.2,"(35.0, 39.4)",32.4,"(30.4, 34.4)",19.1,"(16.7, 21.6)",52.8,"(51.6, 54.1)",21.3,"(18.7, 24.2)",15.0,"(13.4, 16.8)",25,"(22.6, 27.5)",31.5,"(28.7, 34.6)",3.8,"( 3.5,  4.1)",34.6,"(31.2, 38.3)",84.0,"(83.2, 84.8)",19.6,"(17.7, 21.7)",33.7,"(29.4, 38.2)",13.9,"(12.5, 15.5)",39.8,"(39.3, 40.2)",4.4,"( 4.1,  4.7)",24.4,"(21.7, 27.3)",5.9,"( 5.3,  6.6)",10.3,"( 9.4, 11.3)",20.5,"(18.4, 22.6)",19.8,"(18.0, 21.8)",7.7,"( 7.0,  8.4)",12.9,"(11.6, 14.3)",37.5,"(34.1, 40.7)",POINT (-71.08502089 42.32402563)
02124,47783,7.7,"( 6.6,  8.9)",22.4,"(20.0, 25.0)",16.0,"(13.9, 18.4)",32.5,"(29.7, 35.6)",74.4,"(71.3, 77.3)",5.4,"( 4.9,  5.9)",12.9,"(11.6, 14.4)",83.0,"(82.4, 83.6)",5.1,"( 4.6,  5.7)",74.9,"(71.7, 78.1)",85.0,"(82.7, 87.1)",78.0,"(77.4, 78.7)",6.5,"( 5.7,  7.3)",43.0,"(41.1, 44.9)",38.1,"(36.3, 39.8)",16.5,"(14.3, 18.8)",59.4,"(58.4, 60.4)",20.2,"(17.7, 22.9)",11.9,"(10.5, 13.4)",19.3,"(17.2, 21.3)",30.3,"(27.5, 33.4)",3.2,"( 2.9,  3.5)",29.2,"(26.1, 32.5)",83.8,"(83.2, 84.4)",17.8,"(15.9, 19.7)",30.3,"(26.5, 34.7)",11.4,"(10.1, 12.7)",38.7,"(38.3, 39.0)",3.5,"( 3.3,  3.8)",17.8,"(16.2, 19.5)",4.9,"( 4.4,  5.4)",7.1,"( 6.5,  7.7)",16.8,"(15.0, 18.6)",15.4,"(13.8, 17.1)",5.3,"( 4.9,  5.8)",9.9,"( 8.9, 11.0)",31.3,"(28.3, 34.3)",POINT (-71.07137829 42.28596194)
02127,31799,4.6,"( 3.9,  5.5)",16.7,"(14.8, 18.7)",22.8,"(20.1, 25.9)",20.0,"(17.9, 22.3)",67.8,"(64.5, 70.9)",5.3,"( 4.8,  5.8)",10.7,"( 9.6, 12.0)",84.6,"(83.6, 85.5)",3.5,"( 3.1,  3.9)",68.9,"(65.1, 72.6)",84.6,"(82.2, 86.8)",79.4,"(78.5, 80.1)",4.1,"( 3.6,  4.7)",55.8,"(53.1, 58.2)",46.5,"(43.7, 49.0)",10.1,"( 8.7, 11.7)",73.0,"(71.6, 74.3)",23,"(20.2, 26.0)",5.8,"( 5.1,  6.6)",10.1,"( 9.0, 11.3)",26.4,"(23.8, 29.2)",2.0,"( 1.9,  2.2)",17.3,"(15.1, 19.7)",81.8,"(80.8, 82.8)",15.3,"(13.6, 17.1)",20.9,"(17.7, 24.4)",7.3,"( 6.5,  8.3)",29.0,"(28.4, 29.6)",1.8,"( 1.7,  2.0)",8.9,"( 7.5, 11.1)",4.3,"( 3.8,  4.8)",3.6,"( 3.3,  4.0)",11.8,"(10.6, 13.3)",8.1,"( 7.1,  9.1)",2.6,"( 2.3,  2.8)",5.7,"( 5.1,  6.4)",21,"(18.9, 23.4)",POINT (-71.05000701 42.33258472)
02128,40508,13.2,"(11.4, 15.3)",17.9,"(16.0, 20.1)",20.0,"(17.5, 22.9)",23.5,"(21.2, 26.0)",67.1,"(63.7, 70.3)",4.8,"( 4.4,  5.3)",11,"( 9.9, 12.3)",80.9,"(80.1, 81.8)",4.6,"( 4.1,  5.1)",67.5,"(63.6, 71.2)",80.9,"(78.1, 83.4)",73.3,"(72.4, 74.2)",5.8,"( 5.1,  6.5)",46.4,"(43.6, 48.9)",37.5,"(35.2, 39.9)",15.3,"(13.3, 17.4)",59.1,"(57.7, 60.5)",22.2,"(19.6, 25.0)",8.5,"( 7.5,  9.7)",17.8,"(16.0, 19.8)",29.0,"(26.2, 31.9)",2.6,"( 2.4,  2.8)",28.3,"(24.9, 31.4)",79.9,"(78.9, 81.0)",17.4,"(15.6, 19.4)",26.3,"(22.6, 30.4)",10.7,"( 9.5, 12.0)",33.0,"(32.5, 33.4)",2.5,"( 2.3,  2.7)",17.8,"(15.4, 20.4)",5.8,"( 5.2,  6.4)",6.4,"( 5.8,  7.0)",17.4,"(15.7, 19.3)",12.3,"(10.9, 13.7)",4.2,"( 3.8,  4.5)",8.6,"( 7.7,  9.5)",30.4,"(27.7, 33.4)",POINT (-71.015624 42.36281022)
02130,35401,5.1,"( 4.3,  6.1)",18.2,"(16.2, 20.5)",20.2,"(17.7, 23.0)",23.0,"(20.7, 25.4)",70.7,"(67.6, 73.8)",5.6,"( 5.1,  6.1)",10.8,"( 9.6, 12.1)",85.1,"(84.5, 85.7)",3.9,"( 3.5,  4.4)",71.0,"(67.4, 74.6)",85.9,"(83.7, 87.9)",80.0,"(79.3, 80.6)",4.3,"( 3.8,  4.8)",51.8,"(50.0, 53.6)",43.2,"(41.4, 44.9)",10.1,"( 8.7, 11.7)",71.8,"(70.7, 72.8)",21.5,"(19.0, 24.3)",7.3,"( 6.4,  8.3)",11.4,"(10.2, 12.7)",28.3,"(25.6, 31.3)",2.4,"( 2.2,  2.6)",19.1,"(16.9, 21.7)",83.7,"(82.9, 84.4)",14.8,"(13.3, 16.6)",22.8,"(19.5, 26.5)",7.9,"( 7.1,  8.9)",30.1,"(29.7, 30.6)",2.2,"( 2.0,  2.4)",9.5,"( 8.2, 11.2)",4.6,"( 4.1,  5.1)",4.1,"( 3.7,  4.5)",11.9,"(10.6, 13.3)",9.4,"( 8.4, 10.5)",2.9,"( 2.7,  3.2)",6,"( 5.4,  6.7)",22.6,"(20.3, 25.0)",POINT (-71.11485808 42.3098728)
02132,25861,3.5,"( 2.9,  4.2)",24.5,"(21.9, 27.3)",18.2,"(15.9, 20.8)",27.9,"(25.2, 30.8)",76.6,"(73.4, 79.7)",8.4,"( 7.7,  9.2)",10.1,"( 9.0, 11.3)",86.5,"(85.6, 87.3)",5.4,"( 4.8,  6.1)",74.4,"(71.1, 77.6)",90.0,"(88.4, 91.5)",81.2,"(80.3, 82.1)",5.4,"( 4.7,  6.2)",55.6,"(52.8, 58.4)",45.5,"(42.7, 48.3)",9.9,"( 8.4, 11.6)",75.3,"(74.0, 76.4)",20.3,"(17.8, 23.0)",7.9,"( 6.9,  9.0)",10.9,"( 9.7, 12.4)",34.0,"(31.0, 37.4)",2.9,"( 2.7,  3.2)",18.9,"(16.4, 21.5)",81.6,"(80.2, 82.9)",12.8,"(11.4, 14.4)",21.5,"(18.3, 25.1)",8.5,"( 7.5,  9.6)",28.8,"(28.2, 29.4)",2.7,"( 2.5,  3.0)",9.1,"( 7.3, 11.1)",6.2,"( 5.6,  6.9)",3.4,"( 3.1,  3.8)",10.2,"( 9.0, 11.4)",11,"( 9.6, 12.5)",2.7,"( 2.5,  3.0)",5.6,"( 5.0,  6.3)",23.6,"(21.1, 26.2)",POINT (-71.16149883 42.28022681)
