Number,Name,Latitude,Longitude,District,Public,Total docks,Deployment Year
A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,16,2019
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,Boston,Yes,19,2019
B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15,2016
D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Boston,Yes,31,2011
D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15,2011
D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19,2018
C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Boston,Yes,19,2011
B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,14,2018
B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15,2023
S32050,Boynton Yards at 101 South Street,42.3754476,-71.09117389,Somerville,Yes,19,2023
A32055,Bremen St at Marion St,42.37410622,-71.03276253,Boston,Yes,11,2023
T32016,Bridge Street Neck,42.52810052,-70.88971138,Salem,Yes,11,2021
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15,2011
D32058,Brighton Ave at Linden St,42.3528376,-71.1296752,Boston,Yes,19,2022
D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,16,2015
A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15,2011
M32082,Broad Canal Way at Third Street,42.3630455,-71.08287079,Cambridge,Yes,19,2022
A32047,Broad St at Central St,42.35849449,-71.0542647,Boston,Yes,15,2020
V32011,Broadway at Beacham St,42.3983606,-71.06373843,Everett,Yes,13,2019
S32016,Broadway at Central St,42.3951715,-71.09850592,Somerville,Yes,19,2018
H32004,Broadway at Gerrish Ave,42.39453079,-71.03085594,Chelsea,Yes,11,2021
L32004,Broadway at Grafton St,42.40994213,-71.1400932,Arlington,Yes,11,2020
V32004,Broadway at Lynde St,42.39648358,-71.0654676,Everett,Yes,15,2019
V32008,Broadway at Maple St,42.41034691,-71.05260458,Everett,Yes,13,2019
S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,Yes,19,2016
C32053,Broadway T Stop,42.34304858,-71.0580343,Boston,Yes,19,2018
K32005,Brookline Town Hall,42.33376473,-71.12046447,Brookline,Yes,15,2016
K32003,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,Brookline,Yes,15,2012
A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23,2015
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,15,2013
N32011,California at Chapel,42.36514871,-71.20236039,Newton,Yes,12,2021
M32077,Cambridge Crossing at North First Street,42.371141,-71.076198,Cambridge,Yes,23,2021
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,Cambridge,Yes,19,2017
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19,2012
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15,2012
D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15,2011
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.36707407,-71.07679278,Cambridge,Yes,15,2012
A32046,Canal St at Causeway St,42.36530095,-71.06092191,Boston,Yes,22,2020
H32001,Cary Square,42.39813565,-71.03070972,Chelsea,Yes,12,2021
C23109,Cedar Grove T Stop,42.2796076,-71.0602212,,Yes,18,
C32088,Central Ave at River St,42.27094707,-71.07337901,Boston,Yes,15,2019
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17,2012
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19,2012
A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15,2019
N32018,Centre St at Commonwealth Ave,42.3362358,-71.1934421,Newton,Yes,11,2022
C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,17,2019
E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston,Yes,15,2018
C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19,2019
N32000,Centre St at Washington St,42.35574335,-71.18641943,Newton,Yes,11,2020
D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19,2011
D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23,2018
H32003,Chelsea Square,42.39022671,-71.03857018,Chelsea,Yes,11,2021
V32016,Chelsea St at Vine St,42.40336946,-71.04731441,Everett,Yes,11,2023
H32005,Chelsea Station,42.39636528,-71.03987179,Chelsea,Yes,11,2021
M32049,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,Cambridge,Yes,23,2016
D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19,2011
D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,2012
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19,2011
M32087,Church St,42.37433925,-71.11966431,Cambridge,Yes,15,2023
C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19,2021
S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15,2013
D32047,Clarendon St at Newbury St,42.35159662,-71.07561663,Boston,Yes,19,2019
C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16,2021
B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15,2018
D32057,Clinton St at North St,42.36070284,-71.05524927,Boston,Yes,18,2021
C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17,2018
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,14,2011
B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15,2016
C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19,2018
C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19,2019
A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15,2011
K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Brookline,Yes,15,2017
D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19,2018
A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15,2012
D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15,2018
T32013,Community Life Center,42.520136,-70.906271,Salem,Yes,9,2022
S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Somerville,Yes,15,2018
S32040,Community Path at Lowell St,42.392525,-71.105587,Somerville,Yes,19,2020
M32074,Concord Ave at Spinelli Place,42.390719,-71.1538877,Cambridge,Yes,19,2021
D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23,2011
C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15,2016
C32010,Congress St at Sleeper St,42.3510045,-71.04930013,Boston,Yes,19,2011
S32004,Conway Park - Somerville Avenue,42.38363895,-71.10853672,Somerville,Yes,23,2012
K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19,2012
W32001,Coolidge Sq.,42.37207611,-71.15683131,Watertown,Yes,12,2020
D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,28,2011
S32037,Craigie St at Summer St,42.38831608,-71.11068249,Somerville,Yes,19,2019
D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19,2011
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15,2013
K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Brookline,Yes,15,2018
M32030,Dana Park,42.36178044,-71.10809952,Cambridge,Yes,19,2014
M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17,2014
M32075,Danehy Park at New Street,42.389456,-71.139019,Cambridge,Yes,19,2021
D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Boston,Yes,19,2018
S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25,2012
A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16,2020
B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,6,2018
T32018,Derby Street,42.52009618,-70.89139044,Salem,Yes,11,2023
M32066,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,Cambridge,Yes,23,2019
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15,2011
C32066,Dorchester Ave at King St,42.291718,-71.062571,Boston,Yes,15,2023
B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,18,2011
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15,2012
C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,Yes,19,2013
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16,2016
S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Somerville,Yes,15,2018
S32038,Edgerly Education Center,42.38717463,-71.08714389,Somerville,Yes,15,2019
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,2015
M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,Yes,23,2014
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15,2013
S32039,Elm St at White St,42.38952436,-71.1169414,Somerville,Yes,19,2019
V32005,Encore,42.39329263,-71.0724476,Everett,Yes,15,2019
T32011,Essex St at Dalton Parkway,42.516223,-70.905535,Salem,Yes,11,2022
V32003,Everett Square (Broadway at Chelsea St),42.40701602,-71.05645001,Everett,Yes,16,2019
A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15,2011
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,2018
C32041,Fields Corner T Stop,42.29963349,-71.06068976,Boston,Yes,15,2018
B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Boston,Yes,15,2022
S32047,Foley St at Grand Union Blvd,42.3930184,-71.08071685,Somerville,Yes,19,2021
E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40,2019
T32010,Forest River Park,42.506395,-70.88693,Salem,Yes,11,2022
B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Boston,Yes,15,2021
S32015,Foss Park,42.39108438,-71.09039426,Somerville,Yes,15,2018
C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,Yes,11,2018
C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Boston,Yes,15,2015
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14,2015
M32051,Fresh Pond Reservation,42.38267828,-71.14347895,Cambridge,Yes,17,2017
M32078,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,Cambridge,Yes,19,2022
M32072,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,Cambridge,Yes,19,2020
C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,Yes,15,2018
C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Boston,Yes,18,2019
S32046,Gilman Square T at Medford St,42.3867355,-71.0946444,Somerville,Yes,19,2021
V32006,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,Everett,Yes,15,2019
A32034,Glendon St at Condor St,42.38240378,-71.03024304,Boston,Yes,19,2016
T32014,Goodhue St at Grove St,42.520897,-70.910528,Salem,Yes,11,2022
M32081,Gore Street at Lambert Street,42.3730798,-71.08634234,Cambridge,Yes,19,2022
A32049,Gove St at Orleans St,42.37057753,-71.0355854,Boston,Yes,19,2020
B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Boston,Yes,35,2018
M32068,Graham and Parks School ? Linnaean St at Walker St,42.3829443,-71.12449831,Cambridge,Yes,19,2020
V32015,Gramsdorf Playground,42.408156,-71.0429,Everett,Yes,14,2022
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23,2013
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15,2016
S32019,Grove St at Community Path,42.39638681,-71.12011306,Somerville,Yes,15,2018
F32005,Haines Square,42.42333137,-71.09124541,Medford,Yes,11,2023
V32012,Hale Park,42.4153271,-71.0528183,Everett,Yes,11,2020
F32004,Harris Park,42.41081837,-71.08152866,Medford,Yes,11,2023
D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Boston,Yes,19,2018
C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Boston,Yes,19,2020
C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Boston,Yes,19,2018
D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Boston,Yes,15,2018
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,Cambridge,Yes,23,2012
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19,2012
M32017,Harvard Square at Brattle St / Eliot St,42.3733288,-71.12098601,Cambridge,Yes,15,2012
M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge,Yes,19,2012
K32017,Harvard St and Stedman St,42.34435176,-71.12490356,Brookline,Yes,15,2021
M32055,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,Cambridge,Yes,19,2018
A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Boston,Yes,15,2020
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge,Yes,17,2012
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Cambridge,Yes,15,2013
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15,2012
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19,2012
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36923907,-71.11687034,Cambridge,Yes,21,2012
T32008,Hawthorne Boulevard,42.5223714,-70.8903331,Salem,Yes,9,2022
D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,Yes,19,2013
K32010,High St at Cypress St,42.32464511,-71.12135231,Brookline,Yes,15,2019
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Boston,Yes,25,2011
A32040,Honan Library,42.3602737,-71.12852452,Boston,Yes,15,2018
D32060,Hood Park,42.38004535,-71.07304573,Boston,Yes,23,2022
F32006,Hormel Stadium,42.40721644,-71.09651506,Medford,Yes,11,2023
B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,Yes,15,2018
M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Cambridge,Yes,19,2017
C32100,Hyde Park Ave at Arlington St,42.26286746,-71.12163126,Boston,Yes,19,2021
C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Boston,Yes,15,2019
E32013,Hyde Park Library,42.2568376,-71.122509,Boston,Yes,15,2021
E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15,2013
C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,2014
C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,2014
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,25,2015
M32062,Inman Square at Springfield St.,42.37426714,-71.10026479,Cambridge,Yes,25,2019
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19,2011
E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18,2013
D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19,2019
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Brookline,Yes,15,2013
C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,31,2012
M32083,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,Cambridge,Yes,19,2022
V32013,Kearins Playground,42.40616124,-71.06041655,Everett,Yes,11,2020
M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,Yes,17,2014
M32004,Kendall T,42.36242784,-71.08495474,Cambridge,Yes,23,2016
B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,26,2011
M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Cambridge,Yes,19,2019
C32096,Knoll St at Centre St,42.29376656,-71.1365658,Boston,Yes,19,2021
T32006,Lafayette at Leach St,42.51142784,-70.89183301,Salem,Yes,11,2021
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,Yes,15,2012
B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Boston,Yes,15,2011
N32008,Langley Lot,42.330528,-71.192861,Newton,Yes,11,2020
B32058,Lansdowne T Stop,42.34734473,-71.10016808,Boston,Yes,27,2019
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge,Yes,19,2012
D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Boston,Yes,17,2023
M32039,Lesley University,42.38674802,-71.11901879,Cambridge,Yes,15,2015
A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Boston,Yes,21,2021
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,2011
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,Yes,19,2013
L32002,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,Arlington,Yes,11,2020
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,2011
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Cambridge,Yes,19,2012
S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Somerville,Yes,14,2014
D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11,2012
D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,2018
F32001,Main St at Brooks Park,42.411709,-71.110444,Medford,Yes,11,2022
D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,Yes,15,2018
M32080,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Cambridge,Yes,23,2022
G32001,Malden Center T Station,42.426541,-71.073179,Malden,Yes,11,2022
G32003,Malden High School,42.42653766,-71.06393695,Malden,Yes,11,2022
K32012,Marion St at Harvard St,42.34012243,-71.12070564,Brookline,Yes,15,2019
A32048,Marion St at White St,42.38066931,-71.03907316,Boston,Yes,19,2020
E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16,2020
M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Cambridge,Yes,16,2019
L32006,Mass Ave at Broadway,42.41420213,-71.15051883,Arlington,Yes,11,2021
L32003,Mass Ave at Grafton St,42.40726052,-71.14382132,Arlington,Yes,11,2020
M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Cambridge,Yes,18,2018
C32063,Mass Ave T Station,42.34135616,-71.08336953,Boston,Yes,14,2019
M32085,Mass Ave/Lafayette Square,42.36356499,-71.10044184,Cambridge,Yes,15,2023
C32004,Massachusetts Ave at Columbus Ave,42.340814,-71.0816197,Boston,Yes,14,2011
C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15,2018
C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15,2018
A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,Yes,33,2016
A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Boston,Yes,15,2019
T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,Salem,Yes,11,2021
F32002,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,Medford,Yes,11,2022
D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Boston,Yes,19,2018
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27,2012
M32070,MIT Carleton St at Amherst St,42.36054174,-71.08669817,Cambridge,Yes,27,2020
M32071,MIT Hayward St at Amherst St,42.36085937,-71.08551858,Cambridge,Yes,27,2020
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Cambridge,Yes,19,2015
M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Cambridge,Yes,35,2012
M32042,MIT Vassar St,42.35560121,-71.10394478,Cambridge,Yes,53,2015
B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Boston,Yes,15,2016
M32086,Morgan Ave at North First St,42.37197726,-71.07585847,Cambridge,Yes,23,2023
C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Boston,Yes,15,2021
C23045,Morton St T,42.28072514,-71.08617242,Boston,Yes,15,2018
M32043,Mt Auburn,42.37478629,-71.13320231,Cambridge,Yes,19,2015
C32080,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,Boston,Yes,19,2019
D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,Yes,19,2011
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19,2014
M32045,Museum of Science,42.36769018,-71.07116282,Cambridge,Yes,19,2017
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,36,2016
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15,2016
D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,Yes,14,2011
B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,Yes,23,2011
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15,2014
N32010,Newton Highlands T,42.32206566,-71.20637298,Newton,Yes,15,2021
