Name,Median Household Income in the Past 12 Months (in 2021 Inflation-adjusted Dollars)
Allston,60900
Back Bay,111141
Bay Village,Nan
Brighton,85163
Charlestown,130090
Dorchester,59379
East Boston,63721
Fenway,44288
Harbor Islands,Nan
Hyde Park,78898
Jamaica Plain,100732
Leather District,Nan
Longwood Medical Area,57962
Mattapan,58633
Mission Hill,45392
North End,101052
Roslindale,88158
Roxbury,33322
South Boston,122635
South Boston Waterfront, 170750
South End, 93610
