"Label (Grouping)","ZCTA5 02118!!Total!!Estimate","ZCTA5 02118!!Total!!Margin of Error","ZCTA5 02118!!Percent!!Estimate","ZCTA5 02118!!Percent!!Margin of Error","ZCTA5 02118!!Male!!Estimate","ZCTA5 02118!!Male!!Margin of Error","ZCTA5 02118!!Percent Male!!Estimate","ZCTA5 02118!!Percent Male!!Margin of Error","ZCTA5 02118!!Female!!Estimate","ZCTA5 02118!!Female!!Margin of Error","ZCTA5 02118!!Percent Female!!Estimate","ZCTA5 02118!!Percent Female!!Margin of Error","ZCTA5 02119!!Total!!Estimate","ZCTA5 02119!!Total!!Margin of Error","ZCTA5 02119!!Percent!!Estimate","ZCTA5 02119!!Percent!!Margin of Error","ZCTA5 02119!!Male!!Estimate","ZCTA5 02119!!Male!!Margin of Error","ZCTA5 02119!!Percent Male!!Estimate","ZCTA5 02119!!Percent Male!!Margin of Error","ZCTA5 02119!!Female!!Estimate","ZCTA5 02119!!Female!!Margin of Error","ZCTA5 02119!!Percent Female!!Estimate","ZCTA5 02119!!Percent Female!!Margin of Error","ZCTA5 02121!!Total!!Estimate","ZCTA5 02121!!Total!!Margin of Error","ZCTA5 02121!!Percent!!Estimate","ZCTA5 02121!!Percent!!Margin of Error","ZCTA5 02121!!Male!!Estimate","ZCTA5 02121!!Male!!Margin of Error","ZCTA5 02121!!Percent Male!!Estimate","ZCTA5 02121!!Percent Male!!Margin of Error","ZCTA5 02121!!Female!!Estimate","ZCTA5 02121!!Female!!Margin of Error","ZCTA5 02121!!Percent Female!!Estimate","ZCTA5 02121!!Percent Female!!Margin of Error","ZCTA5 02125!!Total!!Estimate","ZCTA5 02125!!Total!!Margin of Error","ZCTA5 02125!!Percent!!Estimate","ZCTA5 02125!!Percent!!Margin of Error","ZCTA5 02125!!Male!!Estimate","ZCTA5 02125!!Male!!Margin of Error","ZCTA5 02125!!Percent Male!!Estimate","ZCTA5 02125!!Percent Male!!Margin of Error","ZCTA5 02125!!Female!!Estimate","ZCTA5 02125!!Female!!Margin of Error","ZCTA5 02125!!Percent Female!!Estimate","ZCTA5 02125!!Percent Female!!Margin of Error","ZCTA5 02215!!Total!!Estimate","ZCTA5 02215!!Total!!Margin of Error","ZCTA5 02215!!Percent!!Estimate","ZCTA5 02215!!Percent!!Margin of Error","ZCTA5 02215!!Male!!Estimate","ZCTA5 02215!!Male!!Margin of Error","ZCTA5 02215!!Percent Male!!Estimate","ZCTA5 02215!!Percent Male!!Margin of Error","ZCTA5 02215!!Female!!Estimate","ZCTA5 02215!!Female!!Margin of Error","ZCTA5 02215!!Percent Female!!Estimate","ZCTA5 02215!!Percent Female!!Margin of Error"
"        40 to 44 years","1,538","±382","5.3%","±1.3","627","±211","4.4%","±1.4","911","±269","6.2%","±1.8","1,763","±334","6.4%","±1.2","791","±213","6.3%","±1.7","972","±274","6.5%","±1.7","1,574","±338","5.3%","±1.1","594","±207","4.2%","±1.4","980","±256","6.3%","±1.5","1,775","±308","5.1%","±0.8","877","±219","5.3%","±1.2","898","±224","4.9%","±1.2","584","±236","2.2%","±0.9","434","±234","3.8%","±2.0","150","±87","1.0%","±0.6"
"        45 to 49 years","1,835","±386","6.4%","±1.3","1,159","±312","8.2%","±2.1","676","±194","4.6%","±1.3","1,489","±321","5.4%","±1.1","607","±188","4.9%","±1.4","882","±253","5.9%","±1.6","1,391","±390","4.7%","±1.2","444","±188","3.2%","±1.2","947","±276","6.1%","±1.7","1,629","±251","4.7%","±0.7","742","±183","4.5%","±1.1","887","±174","4.9%","±1.0","387","±155","1.5%","±0.6","227","±128","2.0%","±1.1","160","±77","1.1%","±0.5"
"        50 to 54 years","2,235","±432","7.7%","±1.4","1,308","±418","9.2%","±2.7","927","±275","6.3%","±1.9","1,717","±327","6.3%","±1.2","780","±213","6.2%","±1.6","937","±238","6.3%","±1.7","1,784","±349","6.0%","±1.1","939","±247","6.7%","±1.7","845","±235","5.4%","±1.5","2,274","±315","6.5%","±0.9","963","±176","5.8%","±1.0","1,311","±252","7.2%","±1.4","406","±174","1.5%","±0.7","226","±134","2.0%","±1.1","180","±116","1.2%","±0.8"
"        55 to 59 years","1,859","±433","6.4%","±1.4","835","±252","5.9%","±1.7","1,024","±354","7.0%","±2.3","1,602","±363","5.8%","±1.3","794","±262","6.3%","±2.1","808","±192","5.4%","±1.3","2,370","±468","8.0%","±1.5","759","±265","5.4%","±1.8","1,611","±400","10.3%","±2.4","2,146","±344","6.2%","±0.9","937","±194","5.7%","±1.2","1,209","±256","6.6%","±1.3","315","±113","1.2%","±0.4","169","±86","1.5%","±0.7","146","±88","1.0%","±0.6"
"        60 to 64 years","1,498","±322","5.2%","±1.1","700","±217","4.9%","±1.5","798","±241","5.4%","±1.7","2,047","±434","7.5%","±1.6","793","±249","6.3%","±1.9","1,254","±367","8.4%","±2.4","1,332","±320","4.5%","±1.1","712","±248","5.1%","±1.8","620","±199","4.0%","±1.3","1,597","±331","4.6%","±0.9","742","±176","4.5%","±1.1","855","±273","4.7%","±1.4","453","±163","1.7%","±0.6","195","±105","1.7%","±0.9","258","±105","1.8%","±0.7"
"        65 to 69 years","1,165","±304","4.0%","±1.0","730","±238","5.1%","±1.6","435","±158","3.0%","±1.1","1,353","±302","4.9%","±1.1","693","±232","5.5%","±1.9","660","±178","4.4%","±1.2","1,354","±262","4.6%","±0.9","610","±168","4.4%","±1.2","744","±207","4.8%","±1.4","1,277","±290","3.7%","±0.8","586","±207","3.5%","±1.2","691","±167","3.8%","±0.9","179","±68","0.7%","±0.3","93","±50","0.8%","±0.4","86","±35","0.6%","±0.2"
"        70 to 74 years","1,081","±342","3.7%","±1.2","552","±204","3.9%","±1.4","529","±204","3.6%","±1.4","1,007","±280","3.7%","±1.0","395","±191","3.2%","±1.5","612","±199","4.1%","±1.3","1,182","±357","4.0%","±1.2","597","±304","4.3%","±2.2","585","±182","3.8%","±1.2","1,158","±314","3.3%","±0.9","500","±162","3.0%","±1.0","658","±196","3.6%","±1.1","289","±157","1.1%","±0.6","140","±81","1.2%","±0.7","149","±94","1.0%","±0.6"
"        75 to 79 years","552","±156","1.9%","±0.5","194","±76","1.4%","±0.5","358","±135","2.4%","±0.9","671","±160","2.4%","±0.6","204","±80","1.6%","±0.6","467","±158","3.1%","±1.1","518","±165","1.8%","±0.5","227","±119","1.6%","±0.9","291","±110","1.9%","±0.7","516","±231","1.5%","±0.7","215","±108","1.3%","±0.7","301","±167","1.7%","±0.9","58","±36","0.2%","±0.1","26","±29","0.2%","±0.3","32","±22","0.2%","±0.1"
"        80 to 84 years","246","±131","0.9%","±0.5","88","±77","0.6%","±0.5","158","±97","1.1%","±0.7","411","±170","1.5%","±0.6","215","±114","1.7%","±0.9","196","±127","1.3%","±0.9","290","±142","1.0%","±0.5","135","±149","1.0%","±1.1","155","±91","1.0%","±0.6","440","±138","1.3%","±0.4","251","±113","1.5%","±0.7","189","±99","1.0%","±0.6","134","±92","0.5%","±0.4","57","±54","0.5%","±0.5","77","±74","0.5%","±0.5"
"        85 years and over","638","±373","2.2%","±1.3","190","±177","1.3%","±1.2","448","±237","3.0%","±1.6","459","±248","1.7%","±0.9","133","±106","1.1%","±0.8","326","±201","2.2%","±1.3","376","±178","1.3%","±0.6","169","±92","1.2%","±0.7","207","±135","1.3%","±0.9","317","±117","0.9%","±0.3","91","±51","0.6%","±0.3","226","±109","1.2%","±0.6","123","±90","0.5%","±0.3","68","±74","0.6%","±0.6","55","±62","0.4%","±0.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","2,057","±474","7.1%","±1.5","931","±235","6.6%","±1.5","1,126","±356","7.7%","±2.3","3,118","±600","11.4%","±1.9","1,556","±371","12.4%","±2.8","1,562","±480","10.5%","±2.8","4,387","±591","14.8%","±1.5","2,330","±343","16.7%","±2.1","2,057","±426","13.2%","±2.2","3,726","±538","10.7%","±1.4","1,831","±276","11.1%","±1.6","1,895","±401","10.4%","±2.0","225","±165","0.9%","±0.6","103","±89","0.9%","±0.8","122","±88","0.8%","±0.6"
"        15 to 17 years","619","±253","2.1%","±0.8","390","±211","2.7%","±1.4","229","±129","1.6%","±0.9","840","±229","3.1%","±0.8","353","±160","2.8%","±1.2","487","±192","3.3%","±1.3","1,480","±368","5.0%","±1.1","657","±211","4.7%","±1.4","823","±267","5.3%","±1.5","1,134","±192","3.3%","±0.6","521","±134","3.1%","±0.8","613","±176","3.4%","±1.0","111","±80","0.4%","±0.3","78","±77","0.7%","±0.7","33","±33","0.2%","±0.2"
"        Under 18 years","3,920","±687","13.6%","±2.1","1,930","±362","13.6%","±2.3","1,990","±453","13.5%","±2.8","5,634","±796","20.5%","±2.3","2,782","±471","22.2%","±3.1","2,852","±574","19.1%","±3.1","7,274","±926","24.6%","±2.2","3,724","±473","26.6%","±2.8","3,550","±637","22.8%","±2.9","6,439","±676","18.5%","±1.6","3,231","±415","19.5%","±2.2","3,208","±449","17.6%","±2.0","661","±284","2.5%","±1.1","339","±162","2.9%","±1.4","322","±180","2.2%","±1.2"
"        18 to 24 years","2,710","±478","9.4%","±1.6","1,162","±189","8.2%","±1.3","1,548","±455","10.5%","±2.9","3,208","±461","11.7%","±1.5","1,791","±327","14.3%","±2.2","1,417","±301","9.5%","±1.8","3,350","±655","11.3%","±1.9","1,778","±446","12.7%","±2.8","1,572","±421","10.1%","±2.3","4,304","±548","12.4%","±1.5","2,133","±356","12.9%","±1.9","2,171","±410","11.9%","±2.1","15,706","±1,053","59.8%","±3.1","6,200","±611","53.9%","±4.5","9,506","±693","64.5%","±3.7"
"        15 to 44 years","14,482","±922","50.1%","±2.6","6,902","±609","48.6%","±3.2","7,580","±707","51.6%","±3.6","11,876","±886","43.3%","±2.3","5,461","±622","43.7%","±3.5","6,415","±689","43.0%","±3.1","13,179","±1,467","44.6%","±2.5","6,320","±958","45.2%","±4.1","6,859","±894","44.0%","±2.8","18,066","±978","52.0%","±1.9","8,803","±710","53.2%","±2.6","9,263","±645","50.9%","±2.4","23,349","±1,453","89.0%","±1.5","10,045","±1,022","87.3%","±2.5","13,304","±909","90.3%","±1.6"
"        16 years and over","25,468","±1,346","88.1%","±1.7","12,593","±1,056","88.7%","±2.1","12,875","±885","87.6%","±2.7","22,272","±1,191","81.2%","±2.4","9,996","±772","79.9%","±3.2","12,276","±896","82.3%","±3.1","23,098","±1,822","78.1%","±2.1","10,620","±1,126","76.0%","±2.8","12,478","±1,123","80.0%","±2.7","29,094","±1,299","83.8%","±1.7","13,687","±859","82.8%","±2.1","15,407","±794","84.7%","±2.1","25,692","±1,440","97.9%","±1.0","11,245","±1,019","97.7%","±1.2","14,447","±887","98.0%","±1.2"
"        18 years and over","24,972","±1,296","86.4%","±2.1","12,268","±997","86.4%","±2.3","12,704","±904","86.5%","±2.8","21,792","±1,154","79.5%","±2.3","9,722","±731","77.8%","±3.1","12,070","±885","80.9%","±3.1","22,296","±1,789","75.4%","±2.2","10,255","±1,085","73.4%","±2.8","12,041","±1,105","77.2%","±2.9","28,286","±1,285","81.5%","±1.6","13,309","±857","80.5%","±2.2","14,977","±783","82.4%","±2.0","25,582","±1,436","97.5%","±1.1","11,168","±1,016","97.1%","±1.4","14,414","±889","97.8%","±1.2"
"        21 years and over","24,083","±1,304","83.4%","±2.2","11,876","±992","83.6%","±2.4","12,207","±877","83.1%","±3.1","20,814","±1,103","75.9%","±2.4","9,244","±711","73.9%","±3.2","11,570","±817","77.5%","±3.1","21,226","±1,696","71.8%","±2.2","9,684","±1,013","69.3%","±2.9","11,542","±1,070","74.0%","±2.9","26,450","±1,192","76.2%","±1.6","12,447","±792","75.3%","±2.2","14,003","±775","77.0%","±2.2","14,833","±1,136","56.5%","±3.0","7,008","±843","60.9%","±3.8","7,825","±731","53.1%","±3.7"
"        60 years and over","5,180","±641","17.9%","±1.9","2,454","±415","17.3%","±2.5","2,726","±381","18.6%","±2.3","5,948","±678","21.7%","±2.6","2,433","±368","19.5%","±3.0","3,515","±507","23.6%","±3.3","5,052","±687","17.1%","±2.5","2,450","±484","17.5%","±3.6","2,602","±353","16.7%","±2.5","5,305","±595","15.3%","±1.5","2,385","±349","14.4%","±2.0","2,920","±384","16.1%","±2.0","1,236","±268","4.7%","±1.1","579","±172","5.0%","±1.6","657","±162","4.5%","±1.1"
"        62 years and over","4,387","±656","15.2%","±2.1","2,050","±391","14.4%","±2.5","2,337","±391","15.9%","±2.4","5,092","±650","18.6%","±2.5","2,213","±362","17.7%","±3.0","2,879","±460","19.3%","±3.0","4,534","±649","15.3%","±2.3","2,253","±475","16.1%","±3.5","2,281","±345","14.6%","±2.4","4,719","±573","13.6%","±1.5","2,046","±322","12.4%","±1.8","2,673","±385","14.7%","±2.0","1,125","±264","4.3%","±1.0","552","±173","4.8%","±1.6","573","±157","3.9%","±1.1"
"        65 years and over","3,682","±639","12.7%","±2.0","1,754","±368","12.4%","±2.3","1,928","±408","13.1%","±2.5","3,901","±538","14.2%","±2.0","1,640","±303","13.1%","±2.6","2,261","±402","15.2%","±2.7","3,720","±544","12.6%","±2.0","1,738","±438","12.4%","±3.2","1,982","±309","12.7%","±2.1","3,708","±488","10.7%","±1.3","1,643","±302","9.9%","±1.7","2,065","±323","11.4%","±1.8","783","±211","3.0%","±0.8","384","±133","3.3%","±1.2","399","±123","2.7%","±0.9"
"        75 years and over","1,436","±450","5.0%","±1.5","472","±223","3.3%","±1.6","964","±285","6.6%","±1.8","1,541","±345","5.6%","±1.3","552","±167","4.4%","±1.4","989","±276","6.6%","±1.9","1,184","±268","4.0%","±0.9","531","±224","3.8%","±1.7","653","±182","4.2%","±1.1","1,273","±285","3.7%","±0.8","557","±174","3.4%","±1.0","716","±232","3.9%","±1.3","315","±129","1.2%","±0.5","151","±88","1.3%","±0.8","164","±94","1.1%","±0.6"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","35.4","±1.6","(X)","(X)","36.8","±2.3","(X)","(X)","34.3","±1.6","(X)","(X)","35.0","±2.9","(X)","(X)","33.1","±2.0","(X)","(X)","37.4","±4.0","(X)","(X)","33.5","±1.8","(X)","(X)","30.4","±2.2","(X)","(X)","35.7","±2.9","(X)","(X)","32.9","±0.8","(X)","(X)","32.0","±1.6","(X)","(X)","33.6","±1.1","(X)","(X)","21.7","±0.3","(X)","(X)","22.7","±1.0","(X)","(X)","21.3","±0.4","(X)","(X)"
"        Sex ratio (males per 100 females)","96.6","±9.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","83.8","±8.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","89.7","±9.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","91.0","±6.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","78.1","±7.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","35.7","±4.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","53.3","±5.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","59.2","±6.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.3","±3.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.8","±1.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.3","±3.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.8","±3.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.0","±3.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","15.1","±2.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3.2","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","18.4","±3.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.5","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.2","±4.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.2","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.7","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
