"Label (Grouping)","ZCTA5 02118!!Total!!Estimate","ZCTA5 02118!!Total!!Margin of Error","ZCTA5 02118!!Percent!!Estimate","ZCTA5 02118!!Percent!!Margin of Error","ZCTA5 02118!!Male!!Estimate","ZCTA5 02118!!Male!!Margin of Error","ZCTA5 02118!!Percent Male!!Estimate","ZCTA5 02118!!Percent Male!!Margin of Error","ZCTA5 02118!!Female!!Estimate","ZCTA5 02118!!Female!!Margin of Error","ZCTA5 02118!!Percent Female!!Estimate","ZCTA5 02118!!Percent Female!!Margin of Error","ZCTA5 02119!!Total!!Estimate","ZCTA5 02119!!Total!!Margin of Error","ZCTA5 02119!!Percent!!Estimate","ZCTA5 02119!!Percent!!Margin of Error","ZCTA5 02119!!Male!!Estimate","ZCTA5 02119!!Male!!Margin of Error","ZCTA5 02119!!Percent Male!!Estimate","ZCTA5 02119!!Percent Male!!Margin of Error","ZCTA5 02119!!Female!!Estimate","ZCTA5 02119!!Female!!Margin of Error","ZCTA5 02119!!Percent Female!!Estimate","ZCTA5 02119!!Percent Female!!Margin of Error","ZCTA5 02121!!Total!!Estimate","ZCTA5 02121!!Total!!Margin of Error","ZCTA5 02121!!Percent!!Estimate","ZCTA5 02121!!Percent!!Margin of Error","ZCTA5 02121!!Male!!Estimate","ZCTA5 02121!!Male!!Margin of Error","ZCTA5 02121!!Percent Male!!Estimate","ZCTA5 02121!!Percent Male!!Margin of Error","ZCTA5 02121!!Female!!Estimate","ZCTA5 02121!!Female!!Margin of Error","ZCTA5 02121!!Percent Female!!Estimate","ZCTA5 02121!!Percent Female!!Margin of Error","ZCTA5 02125!!Total!!Estimate","ZCTA5 02125!!Total!!Margin of Error","ZCTA5 02125!!Percent!!Estimate","ZCTA5 02125!!Percent!!Margin of Error","ZCTA5 02125!!Male!!Estimate","ZCTA5 02125!!Male!!Margin of Error","ZCTA5 02125!!Percent Male!!Estimate","ZCTA5 02125!!Percent Male!!Margin of Error","ZCTA5 02125!!Female!!Estimate","ZCTA5 02125!!Female!!Margin of Error","ZCTA5 02125!!Percent Female!!Estimate","ZCTA5 02125!!Percent Female!!Margin of Error","ZCTA5 02215!!Total!!Estimate","ZCTA5 02215!!Total!!Margin of Error","ZCTA5 02215!!Percent!!Estimate","ZCTA5 02215!!Percent!!Margin of Error","ZCTA5 02215!!Male!!Estimate","ZCTA5 02215!!Male!!Margin of Error","ZCTA5 02215!!Percent Male!!Estimate","ZCTA5 02215!!Percent Male!!Margin of Error","ZCTA5 02215!!Female!!Estimate","ZCTA5 02215!!Female!!Margin of Error","ZCTA5 02215!!Percent Female!!Estimate","ZCTA5 02215!!Percent Female!!Margin of Error"
"Total population","28,892","±1,545","(X)","(X)","14,198","±1,091","(X)","(X)","14,694","±988","(X)","(X)","27,426","±1,555","(X)","(X)","12,504","±896","(X)","(X)","14,922","±1,160","(X)","(X)","29,570","±2,324","(X)","(X)","13,979","±1,294","(X)","(X)","15,591","±1,471","(X)","(X)","34,725","±1,556","(X)","(X)","16,540","±982","(X)","(X)","18,185","±986","(X)","(X)","26,243","±1,441","(X)","(X)","11,507","±1,030","(X)","(X)","14,736","±882","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","1,244","±280","4.3%","±1.0","609","±193","4.3%","±1.4","635","±249","4.3%","±1.6","1,676","±386","6.1%","±1.3","873","±241","7.0%","±1.8","803","±246","5.4%","±1.5","1,407","±408","4.8%","±1.3","737","±256","5.3%","±1.8","670","±241","4.3%","±1.5","1,579","±340","4.5%","±0.9","879","±237","5.3%","±1.3","700","±206","3.8%","±1.1","325","±163","1.2%","±0.6","158","±103","1.4%","±0.9","167","±117","1.1%","±0.8"
"        5 to 9 years","1,049","±252","3.6%","±0.8","503","±155","3.5%","±1.0","546","±205","3.7%","±1.4","1,419","±287","5.2%","±1.0","795","±217","6.4%","±1.7","624","±199","4.2%","±1.2","2,094","±358","7.1%","±1.1","1,158","±266","8.3%","±1.7","936","±245","6.0%","±1.5","1,624","±397","4.7%","±1.1","924","±211","5.6%","±1.2","700","±248","3.8%","±1.3","149","±159","0.6%","±0.6","80","±84","0.7%","±0.7","69","±81","0.5%","±0.5"
"        10 to 14 years","1,008","±329","3.5%","±1.1","428","±197","3.0%","±1.3","580","±241","3.9%","±1.6","1,699","±468","6.2%","±1.6","761","±251","6.1%","±1.9","938","±423","6.3%","±2.7","2,293","±456","7.8%","±1.4","1,172","±240","8.4%","±1.7","1,121","±335","7.2%","±1.9","2,102","±284","6.1%","±0.8","907","±192","5.5%","±1.1","1,195","±264","6.6%","±1.3","76","±46","0.3%","±0.2","23","±28","0.2%","±0.2","53","±44","0.4%","±0.3"
"        15 to 19 years","1,149","±277","4.0%","±0.9","635","±226","4.5%","±1.5","514","±176","3.5%","±1.2","1,577","±314","5.8%","±1.1","730","±218","5.8%","±1.6","847","±242","5.7%","±1.6","2,110","±421","7.1%","±1.2","1,028","±272","7.4%","±1.8","1,082","±271","6.9%","±1.5","2,458","±338","7.1%","±0.9","1,123","±245","6.8%","±1.4","1,335","±299","7.3%","±1.6","7,500","±828","28.6%","±2.5","3,069","±382","26.7%","±3.0","4,431","±608","30.1%","±3.5"
"        20 to 24 years","2,180","±485","7.5%","±1.7","917","±171","6.5%","±1.2","1,263","±440","8.6%","±2.8","2,471","±394","9.0%","±1.3","1,414","±313","11.3%","±2.2","1,057","±245","7.1%","±1.5","2,720","±601","9.2%","±1.8","1,407","±416","10.1%","±2.7","1,313","±387","8.4%","±2.1","2,980","±418","8.6%","±1.2","1,531","±269","9.3%","±1.5","1,449","±322","8.0%","±1.7","8,317","±570","31.7%","±2.2","3,209","±428","27.9%","±3.5","5,108","±444","34.7%","±3.2"
"        25 to 29 years","4,121","±534","14.3%","±1.9","1,939","±412","13.7%","±2.7","2,182","±383","14.8%","±2.5","2,453","±408","8.9%","±1.4","1,040","±196","8.3%","±1.6","1,413","±306","9.5%","±1.7","2,700","±518","9.1%","±1.6","1,386","±370","9.9%","±2.3","1,314","±349","8.4%","±2.1","4,632","±518","13.3%","±1.5","2,448","±352","14.8%","±2.0","2,184","±371","12.0%","±2.0","3,495","±573","13.3%","±2.0","1,696","±444","14.7%","±3.2","1,799","±367","12.2%","±2.3"
"        30 to 34 years","3,525","±420","12.2%","±1.5","1,661","±266","11.7%","±2.0","1,864","±297","12.7%","±2.1","2,423","±389","8.8%","±1.4","957","±240","7.7%","±1.8","1,466","±281","9.8%","±1.9","2,258","±484","7.6%","±1.4","1,172","±332","8.4%","±2.2","1,086","±296","7.0%","±1.7","3,395","±500","9.8%","±1.3","1,373","±328","8.3%","±1.9","2,022","±304","11.1%","±1.6","2,365","±462","9.0%","±1.5","1,271","±381","11.0%","±2.7","1,094","±224","7.4%","±1.4"
"        35 to 39 years","1,969","±359","6.8%","±1.2","1,123","±251","7.9%","±1.7","846","±192","5.8%","±1.3","1,189","±290","4.3%","±1.0","529","±204","4.2%","±1.6","660","±167","4.4%","±1.1","1,817","±394","6.1%","±1.2","733","±276","5.2%","±1.9","1,084","±261","7.0%","±1.6","2,826","±371","8.1%","±1.1","1,451","±270","8.8%","±1.6","1,375","±251","7.6%","±1.3","1,088","±499","4.1%","±1.8","366","±152","3.2%","±1.3","722","±450","4.9%","±2.9"
