"Label (Grouping)","ZCTA5 02118!!Total!!Estimate","ZCTA5 02118!!Total!!Margin of Error","ZCTA5 02118!!Percent!!Estimate","ZCTA5 02118!!Percent!!Margin of Error","ZCTA5 02118!!Male!!Estimate","ZCTA5 02118!!Male!!Margin of Error","ZCTA5 02118!!Percent Male!!Estimate","ZCTA5 02118!!Percent Male!!Margin of Error","ZCTA5 02118!!Female!!Estimate","ZCTA5 02118!!Female!!Margin of Error","ZCTA5 02118!!Percent Female!!Estimate","ZCTA5 02118!!Percent Female!!Margin of Error","ZCTA5 02119!!Total!!Estimate","ZCTA5 02119!!Total!!Margin of Error","ZCTA5 02119!!Percent!!Estimate","ZCTA5 02119!!Percent!!Margin of Error","ZCTA5 02119!!Male!!Estimate","ZCTA5 02119!!Male!!Margin of Error","ZCTA5 02119!!Percent Male!!Estimate","ZCTA5 02119!!Percent Male!!Margin of Error","ZCTA5 02119!!Female!!Estimate","ZCTA5 02119!!Female!!Margin of Error","ZCTA5 02119!!Percent Female!!Estimate","ZCTA5 02119!!Percent Female!!Margin of Error","ZCTA5 02121!!Total!!Estimate","ZCTA5 02121!!Total!!Margin of Error","ZCTA5 02121!!Percent!!Estimate","ZCTA5 02121!!Percent!!Margin of Error","ZCTA5 02121!!Male!!Estimate","ZCTA5 02121!!Male!!Margin of Error","ZCTA5 02121!!Percent Male!!Estimate","ZCTA5 02121!!Percent Male!!Margin of Error","ZCTA5 02121!!Female!!Estimate","ZCTA5 02121!!Female!!Margin of Error","ZCTA5 02121!!Percent Female!!Estimate","ZCTA5 02121!!Percent Female!!Margin of Error","ZCTA5 02125!!Total!!Estimate","ZCTA5 02125!!Total!!Margin of Error","ZCTA5 02125!!Percent!!Estimate","ZCTA5 02125!!Percent!!Margin of Error","ZCTA5 02125!!Male!!Estimate","ZCTA5 02125!!Male!!Margin of Error","ZCTA5 02125!!Percent Male!!Estimate","ZCTA5 02125!!Percent Male!!Margin of Error","ZCTA5 02125!!Female!!Estimate","ZCTA5 02125!!Female!!Margin of Error","ZCTA5 02125!!Percent Female!!Estimate","ZCTA5 02125!!Percent Female!!Margin of Error","ZCTA5 02215!!Total!!Estimate","ZCTA5 02215!!Total!!Margin of Error","ZCTA5 02215!!Percent!!Estimate","ZCTA5 02215!!Percent!!Margin of Error","ZCTA5 02215!!Male!!Estimate","ZCTA5 02215!!Male!!Margin of Error","ZCTA5 02215!!Percent Male!!Estimate","ZCTA5 02215!!Percent Male!!Margin of Error","ZCTA5 02215!!Female!!Estimate","ZCTA5 02215!!Female!!Margin of Error","ZCTA5 02215!!Percent Female!!Estimate","ZCTA5 02215!!Percent Female!!Margin of Error"
"        45 to 49 years","1,903","±303","6.7%","±1.1","1,249","±256","9.0%","±1.8","654","±177","4.5%","±1.2","1,858","±302","6.7%","±1.1","753","±204","6.0%","±1.6","1,105","±228","7.3%","±1.6","1,455","±329","4.8%","±1.1","516","±187","3.6%","±1.3","939","±244","5.9%","±1.5","1,670","±312","4.8%","±0.9","827","±192","4.7%","±1.1","843","±214","4.9%","±1.2","470","±187","1.8%","±0.7","273","±153","2.5%","±1.4","197","±98","1.3%","±0.6"
"        50 to 54 years","1,809","±289","6.4%","±1.0","973","±186","7.0%","±1.4","836","±212","5.8%","±1.4","1,743","±315","6.3%","±1.1","608","±181","4.8%","±1.4","1,135","±280","7.4%","±1.8","1,772","±338","5.9%","±1.1","956","±257","6.8%","±1.8","816","±210","5.1%","±1.3","2,329","±308","6.7%","±0.9","1,012","±208","5.8%","±1.2","1,317","±240","7.6%","±1.4","338","±150","1.3%","±0.6","160","±83","1.4%","±0.8","178","±95","1.2%","±0.6"
"        55 to 59 years","1,494","±305","5.3%","±1.0","773","±236","5.6%","±1.6","721","±161","5.0%","±1.1","1,583","±300","5.7%","±1.1","754","±181","6.0%","±1.6","829","±203","5.4%","±1.3","1,993","±387","6.6%","±1.3","653","±212","4.6%","±1.5","1,340","±278","8.4%","±1.7","2,201","±361","6.3%","±1.0","963","±225","5.5%","±1.2","1,238","±240","7.1%","±1.4","451","±155","1.8%","±0.6","205","±103","1.9%","±0.9","246","±115","1.7%","±0.8"
"        60 to 64 years","1,397","±282","4.9%","±1.0","639","±174","4.6%","±1.2","758","±198","5.2%","±1.4","1,706","±272","6.1%","±1.0","662","±198","5.3%","±1.5","1,044","±187","6.9%","±1.3","1,555","±334","5.2%","±1.1","662","±200","4.7%","±1.3","893","±268","5.6%","±1.7","1,542","±269","4.4%","±0.8","858","±209","4.9%","±1.2","684","±153","3.9%","±0.9","513","±177","2.0%","±0.7","246","±126","2.2%","±1.1","267","±108","1.8%","±0.7"
"        65 to 69 years","1,143","±198","4.0%","±0.7","663","±151","4.8%","±1.1","480","±144","3.3%","±1.0","1,339","±285","4.8%","±1.0","685","±233","5.4%","±1.8","654","±185","4.3%","±1.2","1,418","±262","4.7%","±0.9","727","±193","5.1%","±1.4","691","±198","4.3%","±1.2","1,252","±194","3.6%","±0.5","556","±137","3.2%","±0.8","696","±118","4.0%","±0.7","203","±81","0.8%","±0.3","115","±67","1.0%","±0.6","88","±42","0.6%","±0.3"
"        70 to 74 years","972","±192","3.4%","±0.7","535","±136","3.9%","±1.0","437","±138","3.0%","±1.0","925","±192","3.3%","±0.7","343","±112","2.7%","±0.8","582","±160","3.8%","±1.0","898","±205","3.0%","±0.7","349","±143","2.5%","±1.0","549","±154","3.4%","±1.0","1,031","±189","3.0%","±0.5","432","±125","2.5%","±0.7","599","±139","3.4%","±0.8","202","±96","0.8%","±0.4","119","±71","1.1%","±0.6","83","±56","0.6%","±0.4"
"        75 to 79 years","579","±177","2.0%","±0.6","206","±85","1.5%","±0.6","373","±156","2.6%","±1.1","777","±223","2.8%","±0.8","251","±82","2.0%","±0.7","526","±201","3.5%","±1.3","601","±145","2.0%","±0.5","225","±110","1.6%","±0.8","376","±124","2.3%","±0.8","565","±159","1.6%","±0.4","247","±103","1.4%","±0.6","318","±105","1.8%","±0.6","71","±44","0.3%","±0.2","22","±24","0.2%","±0.2","49","±38","0.3%","±0.3"
"        80 to 84 years","242","±102","0.9%","±0.4","90","±67","0.7%","±0.5","152","±82","1.1%","±0.6","460","±119","1.7%","±0.4","255","±119","2.0%","±0.9","205","±91","1.3%","±0.6","372","±203","1.2%","±0.7","200","±179","1.4%","±1.3","172","±95","1.1%","±0.6","444","±130","1.3%","±0.4","249","±109","1.4%","±0.6","195","±84","1.1%","±0.5","57","±41","0.2%","±0.2","19","±21","0.2%","±0.2","38","±39","0.3%","±0.3"
"        85 years and over","391","±164","1.4%","±0.6","161","±128","1.2%","±0.9","230","±109","1.6%","±0.8","221","±75","0.8%","±0.3","44","±35","0.3%","±0.3","177","±63","1.2%","±0.4","527","±204","1.7%","±0.7","217","±104","1.5%","±0.7","310","±161","1.9%","±1.0","352","±125","1.0%","±0.4","84","±51","0.5%","±0.3","268","±103","1.5%","±0.6","134","±101","0.5%","±0.4","72","±75","0.7%","±0.7","62","±67","0.4%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","2,181","±336","7.7%","±1.1","836","±180","6.1%","±1.3","1,345","±279","9.3%","±1.8","3,196","±429","11.5%","±1.5","1,757","±340","14.0%","±2.7","1,439","±288","9.4%","±1.7","4,966","±691","16.5%","±1.9","2,522","±448","17.8%","±2.7","2,444","±466","15.3%","±2.5","3,280","±429","9.4%","±1.1","1,720","±277","9.8%","±1.5","1,560","±305","9.0%","±1.6","315","±217","1.2%","±0.8","161","±132","1.5%","±1.2","154","±115","1.0%","±0.8"
"        15 to 17 years","518","±143","1.8%","±0.5","260","±106","1.9%","±0.7","258","±90","1.8%","±0.6","957","±248","3.4%","±0.9","312","±115","2.5%","±0.9","645","±229","4.2%","±1.4","1,223","±237","4.1%","±0.7","613","±148","4.3%","±1.1","610","±189","3.8%","±1.1","1,293","±218","3.7%","±0.6","637","±173","3.6%","±1.0","656","±157","3.8%","±0.9","81","±67","0.3%","±0.3","55","±62","0.5%","±0.6","26","±27","0.2%","±0.2"
"        Under 18 years","4,062","±504","14.4%","±1.6","1,755","±238","12.7%","±1.5","2,307","±474","16.0%","±2.8","5,928","±619","21.3%","±1.8","3,090","±408","24.6%","±3.0","2,838","±443","18.6%","±2.2","7,888","±912","26.2%","±2.3","3,939","±597","27.8%","±3.4","3,949","±531","24.7%","±2.4","6,269","±539","18.0%","±1.3","3,333","±388","19.1%","±2.1","2,936","±366","16.9%","±1.7","622","±304","2.4%","±1.1","352","±178","3.2%","±1.5","270","±179","1.8%","±1.2"
"        18 to 24 years","2,711","±369","9.6%","±1.3","1,286","±223","9.3%","±1.6","1,425","±326","9.9%","±2.2","3,568","±558","12.8%","±1.8","2,006","±388","15.9%","±2.5","1,562","±361","10.3%","±2.1","3,124","±404","10.4%","±1.3","1,635","±269","11.6%","±1.9","1,489","±268","9.3%","±1.6","4,466","±408","12.8%","±1.1","2,487","±327","14.2%","±1.8","1,979","±258","11.4%","±1.4","15,411","±1,060","59.8%","±2.5","5,990","±588","54.2%","±3.7","9,421","±777","64.0%","±2.9"
"        15 to 44 years","14,788","±998","52.3%","±2.4","7,019","±668","50.9%","±3.2","7,769","±583","53.7%","±3.0","12,235","±891","44.0%","±2.4","5,449","±610","43.3%","±3.4","6,786","±703","44.5%","±3.0","12,903","±930","42.8%","±2.2","6,313","±649","44.6%","±3.8","6,590","±515","41.1%","±2.1","18,485","±755","53.0%","±1.3","9,542","±631","54.6%","±2.4","8,943","±462","51.5%","±1.9","22,790","±1,197","88.4%","±1.6","9,531","±692","86.2%","±2.5","13,259","±871","90.1%","±1.7"
"        16 years and over","24,560","±1,111","86.9%","±1.5","12,243","±809","88.7%","±1.4","12,317","±682","85.2%","±2.8","22,390","±972","80.5%","±1.9","9,720","±738","77.3%","±3.0","12,670","±703","83.2%","±2.2","22,995","±1,061","76.2%","±2.3","10,564","±700","74.7%","±3.4","12,431","±644","77.6%","±2.3","29,464","±990","84.6%","±1.3","14,541","±736","83.3%","±2.0","14,923","±554","85.9%","±1.7","25,229","±1,211","97.9%","±1.1","10,762","±708","97.3%","±1.5","14,467","±872","98.3%","±1.2"
"        18 years and over","24,200","±1,085","85.6%","±1.6","12,048","±792","87.3%","±1.5","12,152","±661","84.0%","±2.8","21,890","±926","78.7%","±1.8","9,492","±723","75.4%","±3.0","12,398","±673","81.4%","±2.2","22,271","±1,067","73.8%","±2.3","10,205","±717","72.2%","±3.4","12,066","±645","75.3%","±2.4","28,578","±986","82.0%","±1.3","14,133","±743","80.9%","±2.1","14,445","±533","83.1%","±1.7","25,148","±1,208","97.6%","±1.1","10,707","±696","96.8%","±1.5","14,441","±874","98.2%","±1.2"
"        21 years and over","23,242","±1,022","82.2%","±1.5","11,670","±773","84.5%","±1.7","11,572","±602","80.0%","±2.9","20,771","±860","74.7%","±2.0","8,933","±697","71.0%","±3.0","11,838","±622","77.7%","±2.4","21,068","±1,087","69.9%","±2.6","9,549","±724","67.5%","±3.6","11,519","±645","71.9%","±2.6","26,685","±953","76.6%","±1.5","13,076","±743","74.9%","±2.3","13,609","±517","78.3%","±2.0","14,737","±774","57.2%","±2.4","6,702","±530","60.6%","±3.0","8,035","±557","54.6%","±3.3"
"        60 years and over","4,724","±417","16.7%","±1.4","2,294","±315","16.6%","±2.1","2,430","±291","16.8%","±2.0","5,428","±560","19.5%","±2.0","2,240","±388","17.8%","±2.8","3,188","±389","20.9%","±2.6","5,371","±625","17.8%","±2.1","2,380","±414","16.8%","±2.9","2,991","±376","18.7%","±2.4","5,186","±429","14.9%","±1.2","2,426","±325","13.9%","±1.8","2,760","±252","15.9%","±1.5","1,180","±243","4.6%","±1.0","593","±180","5.4%","±1.6","587","±150","4.0%","±1.0"
"        62 years and over","4,086","±401","14.5%","±1.4","2,043","±289","14.8%","±1.9","2,043","±298","14.1%","±2.0","4,607","±470","16.6%","±1.7","1,957","±340","15.6%","±2.5","2,650","±353","17.4%","±2.3","4,692","±539","15.6%","±1.8","2,140","±403","15.1%","±2.8","2,552","±337","15.9%","±2.2","4,434","±398","12.7%","±1.0","1,956","±287","11.2%","±1.5","2,478","±239","14.3%","±1.4","1,045","±234","4.1%","±0.9","552","±175","5.0%","±1.6","493","±139","3.4%","±1.0"
"        65 years and over","3,327","±351","11.8%","±1.2","1,655","±265","12.0%","±1.8","1,672","±256","11.6%","±1.8","3,722","±428","13.4%","±1.5","1,578","±287","12.5%","±2.2","2,144","±334","14.1%","±2.1","3,816","±450","12.7%","±1.6","1,718","±359","12.1%","±2.6","2,098","±290","13.1%","±1.9","3,644","±321","10.5%","±0.9","1,568","±244","9.0%","±1.3","2,076","±210","11.9%","±1.3","667","±148","2.6%","±0.6","347","±108","3.1%","±1.0","320","±111","2.2%","±0.8"
"        75 years and over","1,212","±256","4.3%","±0.9","457","±167","3.3%","±1.2","755","±185","5.2%","±1.3","1,458","±254","5.2%","±0.9","550","±147","4.4%","±1.2","908","±213","6.0%","±1.4","1,500","±317","5.0%","±1.1","642","±236","4.5%","±1.7","858","±217","5.4%","±1.3","1,361","±216","3.9%","±0.6","580","±156","3.3%","±0.9","781","±161","4.5%","±1.0","262","±114","1.0%","±0.4","113","±78","1.0%","±0.7","149","±88","1.0%","±0.6"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","34.5","±1.0","(X)","(X)","36.3","±1.9","(X)","(X)","33.1","±1.4","(X)","(X)","33.6","±1.4","(X)","(X)","30.8","±1.7","(X)","(X)","36.6","±2.7","(X)","(X)","33.0","±2.2","(X)","(X)","30.6","±1.7","(X)","(X)","35.7","±2.3","(X)","(X)","32.4","±0.6","(X)","(X)","30.9","±1.2","(X)","(X)","33.4","±0.9","(X)","(X)","21.8","±0.3","(X)","(X)","22.6","±0.7","(X)","(X)","21.4","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","95.5","±7.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","82.6","±7.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","88.3","±6.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","100.5","±5.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","75.2","±5.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","35.4","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","53.1","±4.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","63.4","±6.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.8","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.3","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","15.9","±1.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.5","±2.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.7","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","14.6","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.7","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","19.5","±2.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.6","±3.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.7","±5.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.1","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.5","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","3.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
