"Label (Grouping)","ZCTA5 02118!!Total!!Estimate","ZCTA5 02118!!Total!!Margin of Error","ZCTA5 02118!!Percent!!Estimate","ZCTA5 02118!!Percent!!Margin of Error","ZCTA5 02118!!Male!!Estimate","ZCTA5 02118!!Male!!Margin of Error","ZCTA5 02118!!Percent Male!!Estimate","ZCTA5 02118!!Percent Male!!Margin of Error","ZCTA5 02118!!Female!!Estimate","ZCTA5 02118!!Female!!Margin of Error","ZCTA5 02118!!Percent Female!!Estimate","ZCTA5 02118!!Percent Female!!Margin of Error","ZCTA5 02119!!Total!!Estimate","ZCTA5 02119!!Total!!Margin of Error","ZCTA5 02119!!Percent!!Estimate","ZCTA5 02119!!Percent!!Margin of Error","ZCTA5 02119!!Male!!Estimate","ZCTA5 02119!!Male!!Margin of Error","ZCTA5 02119!!Percent Male!!Estimate","ZCTA5 02119!!Percent Male!!Margin of Error","ZCTA5 02119!!Female!!Estimate","ZCTA5 02119!!Female!!Margin of Error","ZCTA5 02119!!Percent Female!!Estimate","ZCTA5 02119!!Percent Female!!Margin of Error","ZCTA5 02121!!Total!!Estimate","ZCTA5 02121!!Total!!Margin of Error","ZCTA5 02121!!Percent!!Estimate","ZCTA5 02121!!Percent!!Margin of Error","ZCTA5 02121!!Male!!Estimate","ZCTA5 02121!!Male!!Margin of Error","ZCTA5 02121!!Percent Male!!Estimate","ZCTA5 02121!!Percent Male!!Margin of Error","ZCTA5 02121!!Female!!Estimate","ZCTA5 02121!!Female!!Margin of Error","ZCTA5 02121!!Percent Female!!Estimate","ZCTA5 02121!!Percent Female!!Margin of Error","ZCTA5 02125!!Total!!Estimate","ZCTA5 02125!!Total!!Margin of Error","ZCTA5 02125!!Percent!!Estimate","ZCTA5 02125!!Percent!!Margin of Error","ZCTA5 02125!!Male!!Estimate","ZCTA5 02125!!Male!!Margin of Error","ZCTA5 02125!!Percent Male!!Estimate","ZCTA5 02125!!Percent Male!!Margin of Error","ZCTA5 02125!!Female!!Estimate","ZCTA5 02125!!Female!!Margin of Error","ZCTA5 02125!!Percent Female!!Estimate","ZCTA5 02125!!Percent Female!!Margin of Error","ZCTA5 02215!!Total!!Estimate","ZCTA5 02215!!Total!!Margin of Error","ZCTA5 02215!!Percent!!Estimate","ZCTA5 02215!!Percent!!Margin of Error","ZCTA5 02215!!Male!!Estimate","ZCTA5 02215!!Male!!Margin of Error","ZCTA5 02215!!Percent Male!!Estimate","ZCTA5 02215!!Percent Male!!Margin of Error","ZCTA5 02215!!Female!!Estimate","ZCTA5 02215!!Female!!Margin of Error","ZCTA5 02215!!Percent Female!!Estimate","ZCTA5 02215!!Percent Female!!Margin of Error"
"Total population","28,262","±1,258","(X)","(X)","13,803","±886","(X)","(X)","14,459","±816","(X)","(X)","27,818","±1,146","(X)","(X)","12,582","±785","(X)","(X)","15,236","±919","(X)","(X)","30,159","±1,461","(X)","(X)","14,144","±898","(X)","(X)","16,015","±952","(X)","(X)","34,847","±1,175","(X)","(X)","17,466","±801","(X)","(X)","17,381","±697","(X)","(X)","25,770","±1,299","(X)","(X)","11,059","±741","(X)","(X)","14,711","±893","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","1,363","±329","4.8%","±1.1","659","±205","4.8%","±1.4","704","±318","4.9%","±2.1","1,775","±377","6.4%","±1.3","1,021","±228","8.1%","±1.7","754","±264","4.9%","±1.7","1,699","±433","5.6%","±1.4","804","±270","5.7%","±1.8","895","±269","5.6%","±1.6","1,696","±375","4.9%","±1.0","976","±257","5.6%","±1.4","720","±200","4.1%","±1.1","226","±143","0.9%","±0.5","136","±114","1.2%","±1.0","90","±85","0.6%","±0.6"
"        5 to 9 years","1,036","±233","3.7%","±0.8","515","±161","3.7%","±1.1","521","±157","3.6%","±1.1","1,553","±294","5.6%","±1.0","911","±245","7.2%","±1.9","642","±168","4.2%","±1.0","2,584","±409","8.6%","±1.2","1,336","±337","9.4%","±2.1","1,248","±292","7.8%","±1.7","1,507","±285","4.3%","±0.8","818","±200","4.7%","±1.1","689","±177","4.0%","±1.0","180","±185","0.7%","±0.7","85","±93","0.8%","±0.8","95","±102","0.6%","±0.7"
"        10 to 14 years","1,145","±267","4.1%","±0.9","321","±137","2.3%","±1.0","824","±217","5.7%","±1.4","1,643","±306","5.9%","±1.1","846","±229","6.7%","±1.9","797","±198","5.2%","±1.2","2,382","±486","7.9%","±1.5","1,186","±274","8.4%","±1.9","1,196","±295","7.5%","±1.7","1,773","±264","5.1%","±0.7","902","±165","5.2%","±0.9","871","±228","5.0%","±1.2","135","±113","0.5%","±0.4","76","±97","0.7%","±0.9","59","±55","0.4%","±0.4"
"        15 to 19 years","1,150","±228","4.1%","±0.8","481","±139","3.5%","±1.0","669","±171","4.6%","±1.1","1,740","±300","6.3%","±1.0","788","±214","6.3%","±1.6","952","±262","6.2%","±1.6","2,040","±330","6.8%","±1.0","1,060","±222","7.5%","±1.6","980","±234","6.1%","±1.4","2,699","±343","7.7%","±1.0","1,366","±260","7.8%","±1.5","1,333","±232","7.7%","±1.3","6,896","±731","26.8%","±2.2","2,774","±357","25.1%","±3.0","4,122","±577","28.0%","±3.0"
"        20 to 24 years","2,079","±328","7.4%","±1.2","1,065","±207","7.7%","±1.5","1,014","±266","7.0%","±1.8","2,785","±512","10.0%","±1.7","1,530","±350","12.2%","±2.3","1,255","±342","8.2%","±2.1","2,307","±379","7.6%","±1.2","1,188","±257","8.4%","±1.9","1,119","±238","7.0%","±1.4","3,060","±299","8.8%","±0.9","1,758","±263","10.1%","±1.5","1,302","±224","7.5%","±1.3","8,596","±665","33.4%","±2.1","3,271","±479","29.6%","±3.5","5,325","±423","36.2%","±2.4"
"        25 to 29 years","4,124","±550","14.6%","±1.7","1,954","±383","14.2%","±2.5","2,170","±342","15.0%","±2.2","2,515","±378","9.0%","±1.4","1,043","±218","8.3%","±1.8","1,472","±301","9.7%","±1.9","2,496","±501","8.3%","±1.6","1,324","±350","9.4%","±2.4","1,172","±309","7.3%","±1.9","4,624","±567","13.3%","±1.5","2,552","±425","14.6%","±2.3","2,072","±333","11.9%","±1.8","3,638","±446","14.1%","±1.6","1,571","±300","14.2%","±2.4","2,067","±368","14.1%","±2.3"
"        30 to 34 years","3,523","±416","12.5%","±1.3","1,642","±250","11.9%","±1.6","1,881","±303","13.0%","±2.1","2,467","±422","8.9%","±1.5","939","±231","7.5%","±1.8","1,528","±279","10.0%","±1.8","2,331","±375","7.7%","±1.1","1,254","±268","8.9%","±1.7","1,077","±252","6.7%","±1.5","3,918","±408","11.2%","±1.1","1,598","±294","9.1%","±1.6","2,320","±285","13.3%","±1.7","2,234","±350","8.7%","±1.4","1,160","±242","10.5%","±2.3","1,074","±242","7.3%","±1.7"
"        35 to 39 years","2,106","±331","7.5%","±1.1","1,064","±249","7.7%","±1.7","1,042","±222","7.2%","±1.5","1,280","±276","4.6%","±1.0","483","±143","3.8%","±1.1","797","±222","5.2%","±1.4","1,997","±337","6.6%","±1.1","726","±221","5.1%","±1.5","1,271","±256","7.9%","±1.6","2,664","±333","7.6%","±0.9","1,469","±216","8.4%","±1.2","1,195","±231","6.9%","±1.3","804","±282","3.1%","±1.1","392","±158","3.5%","±1.4","412","±170","2.8%","±1.2"
"        40 to 44 years","1,806","±310","6.4%","±1.1","813","±243","5.9%","±1.8","993","±203","6.9%","±1.3","1,448","±312","5.2%","±1.1","666","±199","5.3%","±1.5","782","±220","5.1%","±1.4","1,732","±336","5.7%","±1.1","761","±242","5.4%","±1.7","971","±249","6.1%","±1.5","1,520","±273","4.4%","±0.7","799","±183","4.6%","±1.0","721","±178","4.1%","±1.0","622","±209","2.4%","±0.8","363","±163","3.3%","±1.5","259","±146","1.8%","±1.0"
