"Label (Grouping)","ZCTA5 02118!!Total!!Estimate","ZCTA5 02118!!Total!!Margin of Error","ZCTA5 02118!!Percent!!Estimate","ZCTA5 02118!!Percent!!Margin of Error","ZCTA5 02118!!Male!!Estimate","ZCTA5 02118!!Male!!Margin of Error","ZCTA5 02118!!Percent Male!!Estimate","ZCTA5 02118!!Percent Male!!Margin of Error","ZCTA5 02118!!Female!!Estimate","ZCTA5 02118!!Female!!Margin of Error","ZCTA5 02118!!Percent Female!!Estimate","ZCTA5 02118!!Percent Female!!Margin of Error","ZCTA5 02119!!Total!!Estimate","ZCTA5 02119!!Total!!Margin of Error","ZCTA5 02119!!Percent!!Estimate","ZCTA5 02119!!Percent!!Margin of Error","ZCTA5 02119!!Male!!Estimate","ZCTA5 02119!!Male!!Margin of Error","ZCTA5 02119!!Percent Male!!Estimate","ZCTA5 02119!!Percent Male!!Margin of Error","ZCTA5 02119!!Female!!Estimate","ZCTA5 02119!!Female!!Margin of Error","ZCTA5 02119!!Percent Female!!Estimate","ZCTA5 02119!!Percent Female!!Margin of Error","ZCTA5 02121!!Total!!Estimate","ZCTA5 02121!!Total!!Margin of Error","ZCTA5 02121!!Percent!!Estimate","ZCTA5 02121!!Percent!!Margin of Error","ZCTA5 02121!!Male!!Estimate","ZCTA5 02121!!Male!!Margin of Error","ZCTA5 02121!!Percent Male!!Estimate","ZCTA5 02121!!Percent Male!!Margin of Error","ZCTA5 02121!!Female!!Estimate","ZCTA5 02121!!Female!!Margin of Error","ZCTA5 02121!!Percent Female!!Estimate","ZCTA5 02121!!Percent Female!!Margin of Error","ZCTA5 02125!!Total!!Estimate","ZCTA5 02125!!Total!!Margin of Error","ZCTA5 02125!!Percent!!Estimate","ZCTA5 02125!!Percent!!Margin of Error","ZCTA5 02125!!Male!!Estimate","ZCTA5 02125!!Male!!Margin of Error","ZCTA5 02125!!Percent Male!!Estimate","ZCTA5 02125!!Percent Male!!Margin of Error","ZCTA5 02125!!Female!!Estimate","ZCTA5 02125!!Female!!Margin of Error","ZCTA5 02125!!Percent Female!!Estimate","ZCTA5 02125!!Percent Female!!Margin of Error","ZCTA5 02215!!Total!!Estimate","ZCTA5 02215!!Total!!Margin of Error","ZCTA5 02215!!Percent!!Estimate","ZCTA5 02215!!Percent!!Margin of Error","ZCTA5 02215!!Male!!Estimate","ZCTA5 02215!!Male!!Margin of Error","ZCTA5 02215!!Percent Male!!Estimate","ZCTA5 02215!!Percent Male!!Margin of Error","ZCTA5 02215!!Female!!Estimate","ZCTA5 02215!!Female!!Margin of Error","ZCTA5 02215!!Percent Female!!Estimate","ZCTA5 02215!!Percent Female!!Margin of Error"
"Total population","27,718","±1,402","(X)","(X)","13,776","±902","(X)","(X)","13,942","±984","(X)","(X)","28,307","±1,685","(X)","(X)","13,280","±1,029","(X)","(X)","15,027","±1,200","(X)","(X)","29,888","±2,160","(X)","(X)","13,818","±1,269","(X)","(X)","16,070","±1,260","(X)","(X)","32,614","±1,551","(X)","(X)","15,234","±886","(X)","(X)","17,380","±978","(X)","(X)","25,856","±1,230","(X)","(X)","11,384","±849","(X)","(X)","14,472","±840","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","961","±332","3.5%","±1.2","490","±208","3.6%","±1.5","471","±233","3.4%","±1.7","1,483","±318","5.2%","±1.0","656","±178","4.9%","±1.3","827","±254","5.5%","±1.5","1,634","±473","5.5%","±1.5","885","±321","6.4%","±2.1","749","±341","4.7%","±2.0","1,615","±351","5.0%","±1.0","964","±261","6.3%","±1.6","651","±188","3.7%","±1.0","208","±124","0.8%","±0.5","89","±72","0.8%","±0.6","119","±104","0.8%","±0.7"
"        5 to 9 years","810","±204","2.9%","±0.7","393","±117","2.9%","±0.8","417","±157","3.0%","±1.1","1,579","±388","5.6%","±1.3","988","±268","7.4%","±1.9","591","±225","3.9%","±1.4","2,066","±365","6.9%","±1.1","1,046","±290","7.6%","±1.9","1,020","±217","6.3%","±1.3","1,552","±323","4.8%","±0.9","911","±241","6.0%","±1.5","641","±171","3.7%","±0.9","128","±155","0.5%","±0.6","73","±86","0.6%","±0.8","55","±75","0.4%","±0.5"
"        10 to 14 years","820","±243","3.0%","±0.9","361","±170","2.6%","±1.2","459","±182","3.3%","±1.3","1,678","±388","5.9%","±1.2","693","±243","5.2%","±1.7","985","±398","6.6%","±2.4","2,400","±487","8.0%","±1.5","1,145","±276","8.3%","±1.9","1,255","±355","7.8%","±2.1","2,126","±380","6.5%","±1.1","892","±187","5.9%","±1.3","1,234","±319","7.1%","±1.7","157","±126","0.6%","±0.5","102","±123","0.9%","±1.1","55","±45","0.4%","±0.3"
"        15 to 19 years","965","±217","3.5%","±0.8","473","±146","3.4%","±1.0","492","±176","3.5%","±1.2","1,877","±370","6.6%","±1.2","922","±229","6.9%","±1.7","955","±306","6.4%","±1.8","1,942","±353","6.5%","±1.2","976","±281","7.1%","±2.1","966","±243","6.0%","±1.4","2,069","±327","6.3%","±1.0","965","±208","6.3%","±1.3","1,104","±256","6.4%","±1.4","7,248","±785","28.0%","±2.7","2,950","±451","25.9%","±3.9","4,298","±545","29.7%","±3.2"
"        20 to 24 years","2,066","±417","7.5%","±1.4","910","±208","6.6%","±1.4","1,156","±374","8.3%","±2.5","2,567","±441","9.1%","±1.3","1,486","±351","11.2%","±2.3","1,081","±230","7.2%","±1.5","2,478","±536","8.3%","±1.6","1,237","±365","9.0%","±2.4","1,241","±323","7.7%","±1.9","2,697","±400","8.3%","±1.3","1,304","±240","8.6%","±1.6","1,393","±292","8.0%","±1.6","8,439","±656","32.6%","±2.7","3,375","±513","29.6%","±4.3","5,064","±481","35.0%","±3.2"
"        25 to 29 years","3,471","±468","12.5%","±1.6","1,550","±267","11.3%","±2.0","1,921","±381","13.8%","±2.5","2,587","±439","9.1%","±1.5","1,162","±256","8.8%","±1.9","1,425","±334","9.5%","±2.1","2,784","±592","9.3%","±1.7","1,355","±387","9.8%","±2.6","1,429","±411","8.9%","±2.4","3,821","±525","11.7%","±1.5","1,824","±319","12.0%","±1.9","1,997","±349","11.5%","±1.9","3,540","±510","13.7%","±1.9","1,642","±431","14.4%","±3.4","1,898","±332","13.1%","±2.2"
"        30 to 34 years","3,896","±530","14.1%","±1.8","1,969","±322","14.3%","±2.3","1,927","±380","13.8%","±2.5","2,503","±486","8.8%","±1.6","962","±262","7.2%","±1.9","1,541","±349","10.3%","±2.1","2,602","±432","8.7%","±1.3","1,351","±293","9.8%","±2.2","1,251","±336","7.8%","±1.9","3,120","±481","9.6%","±1.4","1,324","±297","8.7%","±1.8","1,796","±320","10.3%","±1.8","2,243","±499","8.7%","±1.8","1,182","±376","10.4%","±2.9","1,061","±233","7.3%","±1.7"
"        35 to 39 years","2,126","±370","7.7%","±1.3","1,334","±295","9.7%","±2.2","792","±178","5.7%","±1.2","1,554","±313","5.5%","±1.0","845","±240","6.4%","±1.6","709","±197","4.7%","±1.3","1,869","±308","6.3%","±1.0","717","±184","5.2%","±1.3","1,152","±227","7.2%","±1.4","2,607","±410","8.0%","±1.1","1,295","±257","8.5%","±1.5","1,312","±253","7.5%","±1.4","1,163","±450","4.5%","±1.7","442","±154","3.9%","±1.3","721","±414","5.0%","±2.8"
