Zipcode,TotalPopulation,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CERVICAL_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation,Year,PM2.5
2111,7383,7.8,16.1,16.7,23.0,72.6,4.1,9.5,72.7,4.5,75.2,85.2,74.4,4.0,47.7,38.9,12.8,63.5,16.8,8.9,11.3,25.9,2.2,22.8,79.4,13.6,15.8,7.1,32.0,2.3,11.2,POINT (-71.05910467 42.35013318),2022.0,6.737533198229620
2113,6915,4.2,11.3,25.5,13.7,60.3,4.1,10.1,83.8,2.5,71.7,87.3,84.0,2.2,59.0,47.8,7.2,79.2,20.6,3.1,4.8,17.6,1.4,10.2,83.0,13.8,15.4,4.2,26.1,1.1,5.8,POINT (-71.05523575 42.36533484),2022.0,7.908399706293560
2118,26498,8.9,16.6,19.7,23.6,66.9,4.1,11.0,81.2,4.2,74.9,86.6,76.8,4.3,46.3,39.2,14.2,63.6,19.0,8.4,12.6,23.4,2.4,21.0,83.0,14.7,22.7,8.1,33.1,2.4,12.7,POINT (-71.07068615 42.3381858),2022.0,8.30109363126355
2124,47783,10.8,21.9,15.8,31.5,73.3,5.0,13.2,83.0,5.2,79.8,89.2,78.0,5.7,43.0,38.1,17.3,59.4,19.0,11.6,16.9,25.9,3.1,26.4,83.8,16.2,28.4,10.3,38.7,3.5,17.8,POINT (-71.07137829 42.28596194),2022.0,7.214042783462550
2127,31799,6.4,15.7,22.8,19.0,66.4,4.9,10.6,84.6,3.6,73.4,88.2,79.4,3.7,55.8,46.5,11.0,73.0,20.6,5.6,8.7,22.7,1.9,15.4,81.8,14.2,19.0,6.5,29.0,1.8,8.9,POINT (-71.05000701 42.33258472),2022.0,7.750316338089440
2128,40508,16.3,17.5,20.1,22.4,65.8,4.5,11.0,80.9,4.7,72.7,84.9,73.3,5.1,46.4,37.5,16.3,59.1,20.2,8.3,15.4,24.4,2.5,25.7,79.9,16.0,24.4,9.5,33.0,2.4,17.8,POINT (-71.015624 42.36281022),2022.0,7.087681606137020
2130,35401,7.2,17.3,20.0,21.7,70.0,5.2,10.7,85.1,4.0,75.6,89.4,80.0,3.8,51.8,43.2,10.9,71.8,19.4,7.1,9.9,24.7,2.3,17.2,83.7,13.8,20.9,7.0,30.1,2.1,9.5,POINT (-71.11485808 42.3098728),2022.0,7.1267489683218200
2135,42780,6.1,13.4,22.4,17.2,64.6,4.2,10.5,79.4,3.3,73.0,85.4,80.5,3.1,53.7,43.6,9.7,72.1,20.0,4.9,7.5,20.0,1.8,14.8,81.3,14.6,16.9,5.6,28.7,1.6,9.1,POINT (-71.15381592 42.34988596),2022.0,6.949341885101730
2139,36349,5.5,12.1,18.9,18.2,61.7,3.7,9.8,83.2,2.6,72.3,87.2,79.3,2.5,49.3,46.0,8.1,74.5,17.2,4.8,6.4,19.5,1.6,13.3,87.1,13.3,19.2,5.1,28.6,1.4,7.5,POINT (-71.10304364 42.36253913),2022.0,5.5317388905955900
