Zipcode,TotalPopulation,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CERVICAL_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,MOBILITY_CrudePrev,SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,Geolocation,Year,PM2.5
2111,7383,5.5,15.8,16.8,23.6,73.1,4.5,9.7,72.7,4.4,69.8,81.4,74.4,4.3,47.7,38.9,11.7,63.5,19.0,9.8,13.4,30.8,2.4,25.2,79.4,15.6,17.3,8.0,32.0,2.3,11.2,5.3,4.9,13.5,9.8,2.9,6.7,25.3,POINT (-71.05910467 42.35013318),2023.0,9.46450112608784
2113,6915,2.6,12.3,25.6,14.6,62.0,4.4,10.3,83.8,2.4,67.1,83.4,84.0,2.5,59.0,47.8,6.3,79.2,23.5,3.2,5.8,21.5,1.5,11.6,83.0,14.9,17.1,4.9,26.1,1.2,5.8,3.4,1.8,9.6,4.6,1.2,3.8,16.3,POINT (-71.05523575 42.36533484),2023.0,9.963605272521170
2118,26498,6.8,17.1,19.5,24.7,69.2,4.4,10.9,81.2,4.1,69.6,82.3,76.8,4.8,46.3,39.2,13.4,63.6,21.2,8.9,14.5,28.4,2.4,23.4,83.0,16.5,24.5,9.0,33.1,2.4,12.7,4.8,5.4,14.6,10.5,3.7,7.4,26.0,POINT (-71.07068615 42.3381858),2023.0,10.577657634928800
2124,47783,7.7,22.4,16.0,32.5,74.4,5.4,12.9,83.0,5.1,74.9,85.0,78.0,6.5,43.0,38.1,16.5,59.4,20.2,11.9,19.3,30.3,3.2,29.2,83.8,17.8,30.3,11.4,38.7,3.5,17.8,4.9,7.1,16.8,15.4,5.3,9.9,31.3,POINT (-71.07137829 42.28596194),2023.0,9.108688217096100
2127,31799,4.6,16.7,22.8,20.0,67.8,5.3,10.7,84.6,3.5,68.9,84.6,79.4,4.1,55.8,46.5,10.1,73.0,23.0,5.8,10.1,26.4,2.0,17.3,81.8,15.3,20.9,7.3,29.0,1.8,8.9,4.3,3.6,11.8,8.1,2.6,5.7,21.0,POINT (-71.05000701 42.33258472),2023.0,10.53246555261420
2128,40508,13.2,17.9,20.0,23.5,67.1,4.8,11.0,80.9,4.6,67.5,80.9,73.3,5.8,46.4,37.5,15.3,59.1,22.2,8.5,17.8,29.0,2.6,28.3,79.9,17.4,26.3,10.7,33.0,2.5,17.8,5.8,6.4,17.4,12.3,4.2,8.6,30.4,POINT (-71.015624 42.36281022),2023.0,9.646887162641880
2130,35401,5.1,18.2,20.2,23.0,70.7,5.6,10.8,85.1,3.9,71.0,85.9,80.0,4.3,51.8,43.2,10.1,71.8,21.5,7.3,11.4,28.3,2.4,19.1,83.7,14.8,22.8,7.9,30.1,2.2,9.5,4.6,4.1,11.9,9.4,2.9,6.0,22.6,POINT (-71.11485808 42.3098728),2023.0,8.71059789777081
2135,42780,4.1,14.0,22.3,18.0,65.9,4.6,10.5,79.4,3.2,67.9,81.1,80.5,3.5,53.7,43.6,8.6,72.1,22.7,5.2,8.9,24.3,1.9,16.8,81.3,16.2,18.6,6.5,28.7,1.6,9.1,4.3,3.1,12.3,6.8,2.0,5.4,21.2,POINT (-71.15381592 42.34988596),2023.0,8.870724229334190
2139,36349,3.6,13.2,20.9,17.7,64.1,3.9,10.3,83.2,2.5,68.3,83.0,79.3,2.9,49.3,46.0,7.7,74.5,20.6,4.9,8.3,24.4,1.7,15.1,87.1,15.0,21.8,6.3,28.6,1.4,7.5,3.2,2.6,11.2,5.6,1.7,4.7,18.4,POINT (-71.10304364 42.36253913),2023.0,9.111052355134080
