date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,CategoryNumber,CategoryName
2020-01-01,02163,Boston,MA,42.351,-71.051,24,19,1,Good
2020-01-02,02163,Boston,MA,42.351,-71.051,24,31,1,Good
2020-01-03,02163,Boston,MA,42.351,-71.051,8,41,1,Good
2020-01-04,02163,Boston,MA,42.351,-71.051,20,45,1,Good
2020-01-05,02163,Boston,MA,42.351,-71.051,27,16,1,Good
2020-01-06,02163,Boston,MA,42.351,-71.051,17,33,1,Good
2020-01-07,02163,Boston,MA,42.351,-71.051,24,33,1,Good
2020-01-08,02163,Boston,MA,42.351,-71.051,27,39,1,Good
2020-01-09,02163,Boston,MA,42.351,-71.051,23,30,1,Good
2020-01-10,02163,Boston,MA,42.351,-71.051,25,40,1,Good
2020-01-11,02163,Boston,MA,42.351,-71.051,36,25,1,Good
2020-01-12,02163,Boston,MA,42.351,-71.051,31,11,1,Good
2020-01-13,02163,Boston,MA,42.351,-71.051,18,32,1,Good
2020-01-14,02163,Boston,MA,42.351,-71.051,12,41,1,Good
2020-01-15,02163,Boston,MA,42.351,-71.051,19,39,1,Good
2020-01-16,02163,Boston,MA,42.351,-71.051,27,24,1,Good
2020-01-17,02163,Boston,MA,42.351,-71.051,33,28,1,Good
2020-01-18,02163,Boston,MA,42.351,-71.051,23,30,1,Good
2020-01-19,02163,Boston,MA,42.351,-71.051,28,41,1,Good
2020-01-20,02163,Boston,MA,42.351,-71.051,31,28,1,Good
2020-01-21,02163,Boston,MA,42.351,-71.051,28,42,1,Good
2020-01-22,02163,Boston,MA,42.351,-71.051,24,56,2,Moderate
2020-01-23,02163,Boston,MA,42.351,-71.051,23,60,2,Moderate
2020-01-24,02163,Boston,MA,42.351,-71.051,28,60,2,Moderate
2020-01-25,02163,Boston,MA,42.351,-71.051,32,20,1,Good
2020-01-26,02163,Boston,MA,42.351,-71.051,27,15,1,Good
2020-01-27,02163,Boston,MA,42.351,-71.051,18,20,1,Good
2020-01-28,02163,Boston,MA,42.351,-71.051,31,14,1,Good
2020-01-29,02163,Boston,MA,42.351,-71.051,31,26,1,Good
2020-01-30,02163,Boston,MA,42.351,-71.051,22,35,1,Good
2020-01-31,02163,Boston,MA,42.351,-71.051,31,45,1,Good
2020-02-01,02163,Boston,MA,42.351,-71.051,21,48,1,Good
2020-02-02,02163,Boston,MA,42.351,-71.051,22,54,2,Moderate
2020-02-03,02163,Boston,MA,42.351,-71.051,21,45,1,Good
2020-02-04,02163,Boston,MA,42.351,-71.051,12,50,1,Good
2020-02-05,02163,Boston,MA,42.351,-71.051,24,36,1,Good
2020-02-06,02163,Boston,MA,42.351,-71.051,21,23,1,Good
2020-02-07,02163,Boston,MA,42.351,-71.051,29,15,1,Good
2020-02-08,02163,Boston,MA,42.351,-71.051,31,28,1,Good
2020-02-09,02163,Boston,MA,42.351,-71.051,29,36,1,Good
2020-02-10,02163,Boston,MA,42.351,-71.051,29,39,1,Good
2020-02-11,02163,Boston,MA,42.351,-71.051,20,46,1,Good
2020-02-12,02163,Boston,MA,42.351,-71.051,31,38,1,Good
2020-02-13,02163,Boston,MA,42.351,-71.051,20,39,1,Good
2020-02-14,02163,Boston,MA,42.351,-71.051,31,27,1,Good
2020-02-15,02163,Boston,MA,42.351,-71.051,31,34,1,Good
2020-02-16,02163,Boston,MA,42.351,-71.051,28,42,1,Good
2020-02-17,02163,Boston,MA,42.351,-71.051,33,43,1,Good
2020-02-18,02163,Boston,MA,42.351,-71.051,28,33,1,Good
2020-02-19,02163,Boston,MA,42.351,-71.051,32,23,1,Good
2020-02-20,02163,Boston,MA,42.351,-71.051,31,24,1,Good
2020-02-21,02163,Boston,MA,42.351,-71.051,29,32,1,Good
