Zipcode,Estimated_Total_Households,Estimated_Average_Household_Size,Estimated_Average_Family_Size,Estimated_Total_Population,Estimated_Total_Population_Native,Percent_Total_Population_Native,Percent_Total_Population_Native_Born in United States,Estimated_Total_Population_Native_Born in United States,"Estimated_Total_Population_Native_Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","Percent_Total_Population_Native_Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Percent_Total_Population_Foreign born,Estimated_Total_Population_Foreign born,Percent_Foreign_Born_U.S._Citizenship_Status_Naturalized_US_cizitzen,Estimated_Foreign_Born_U.S._Citizenship_Status_Naturalized U.S. citizen,Percent_Foreign_Born_U.S._Citizenship_Status_Not a U.S. citizen,Estimated_Foreign_Born_U.S._Citizenship_Status_Not a U.S. citizen,Percent_Foreign_Born_World_Wide_Europe,Percent_Foreign_Born_World_Wide_Asia ,Percent_Foreign_Born_World_Wide_Africa,Percent_Foreign_Born_World_Wide_Oceania,Percent_Foreign_Born_World_Wide_Latin America,Percent_Foreign_Born_World_Wide_Northern America,Estimate_Foreign_Born_World_Wide_Europe,Estimate_Foreign_Born_World_Wide_Asia,Estimate_Foreign_Born_World_Wide_Africa,Estimate_Foreign_Born_World_Wide_Oceania,Estimate_Foreign_Born_World_Wide_Latin America,Estimate_Foreign_Born_World_Wide_Northern America,Estimated_Population_Over_25_Education_Attainment,Estimated_Population_Over_25_Education_Attainment_Less than 9th grade,"Estimated_Population_Over_25_Education_Attainment_9th to 12th grade, no diploma",Estimated_Population_Over_25_Education_Attainment_High school graduate or higher,Percent_Population_Over_25_Education_Attainment,Percent_Population_Over_25_Education_Attainment_Less than 9th grade,"Percent_Population_Over_25_Education_Attainment_9th to 12th grade, no diploma",Percent_Population_Over_25_Education_Attainment_High school graduate or higher
02045,4380,2.31,3.01,10120,9564,94.5,93.9,9502,62,0.6,5.5,556,80.2,446,19.8,110,54.3,20.1,2,0,20.7,2.9,302,112,11,0,115,16,8182,29,245,7908,8182,0.4,3,96.7
02108,1905,1.65,2.44,4225,3576,84.6,81.9,3460,116,2.7,15.4,649,70.9,460,29.1,189,24.2,38.5,6.8,0,16.8,13.7,157,250,44,0,109,89,2901,11,66,2824,2901,0.4,2.3,97.3
02109,1958,1.78,2.55,3627,3081,84.9,83.6,3032,49,1.4,15.1,546,56.8,310,43.2,236,21.1,53.5,2.4,1.3,2.7,19,115,292,13,7,15,104,3206,53,51,3102,3206,1.7,1.6,96.8
02110,1282,1.78,2.27,2307,1817,78.8,78.8,1817,0,0,21.2,490,62.2,305,37.8,185,52.7,28.6,3.9,0,7.8,7.1,258,140,19,0,38,35,2052,0,45,2007,2052,0,2.2,97.8
02111,3515,1.93,2.74,7841,4237,54,51.8,4061,176,2.2,46,3604,48.9,1764,51.1,1840,7.5,81.5,3,0,7.9,0.1,270,2936,108,0,285,5,5027,684,222,4121,5027,13.6,4.4,82
02113,4025,1.66,2.5,6726,5903,87.8,85.8,5770,133,2,12.2,823,45.3,373,54.7,450,44,18.7,5.8,0,24.1,7.4,362,154,48,0,198,61,5119,19,103,4997,5119,0.4,2,97.6
02114,7358,1.7,2.54,13401,10439,77.9,75.3,10086,353,2.6,22.1,2962,39.8,1179,60.2,1783,31.2,33.5,3.5,1.3,24.6,5.9,923,991,105,39,730,174,11460,176,241,11043,11460,1.5,2.1,96.4
02115,9455,1.71,2.63,28559,20934,73.3,70.3,20076,858,3,26.7,7625,33,2518,67,5107,16,50.5,5.4,0.7,23.6,3.8,1221,3850,415,52,1798,289,11389,532,523,10334,11389,4.7,4.6,90.7
02116,11707,1.71,2.48,22587,17623,78,76,17161,462,2,22,4964,50.7,2515,49.3,2449,23.2,51,5.6,2.3,14.7,3.1,1154,2532,279,113,731,155,16578,852,327,15399,16578,5.1,2,92.9
02118,13847,1.84,2.73,27718,19911,71.8,66.2,18352,1559,5.6,28.2,7807,63.2,4932,36.8,2875,9.3,46.1,12,0.9,28.9,2.8,723,3599,937,74,2259,215,22096,2477,1041,18578,22096,11.2,4.7,84.1
