Zipcode,Estimated_Total_Population,Estimated_Total_Population_Male,Estimated_Total_Population_Female,Estimated_Total_Population_White,Estimated_Total_Population_Black or African American,Estimated_Total_Population_American Indian and Alaska Native,Estimated_Total_Population_Asian,Estimated_Total_Population_Native Hawaiian and Other Pacific Islander,Estimated_Total_Population_Some other race,Estimated_Total_Population_Two or more races,Estimated_Total_population_Hispanic_or_Latino,Estimated_Total_population_Not_Hispanic_or_Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimated_Total_population_Hispanic_or_Latino_Cuban,Estimated_Total_population_Hispanic_or_Latino_Puerto Rican,Estimated_Total_population_Hispanic_or_Latino_Mexican,Estimated_Total_population_Not_Hispanic_or_Latino_White alone,Estimated_Total_population_Not_Hispanic_or_Latino_Black or African American alone,Estimated_Total_population_Not_Hispanic_or_Latino_American Indian and Alaska Native alone,Estimated_Total_population_Not_Hispanic_or_Latino_Asian alone,Estimated_Total_population_Not_Hispanic_or_Latino_Native Hawaiian and Other Pacific Islander alone,Estimated_Total_population_Not_Hispanic_or_Latino_Some other race alone,Estimated_Total_population_Not_Hispanic_or_Latino_Two or more races,Percent_Total_population_Hispanic_or_Latino_Other Hispanic or Latino,Percent_Total_population_Hispanic_or_Latino_Cuban,Percent_Total_population_Hispanic_or_Latino_Puerto Rican,Percent_Total_population_Hispanic_or_Latino_Mexican,Percent_Total_population_Not_Hispanic_or_Latino_White alone,Percent_Total_population_Not_Hispanic_or_Latino_Black or African American alone,Percent_Total_population_Not_Hispanic_or_Latino_American Indian and Alaska Native alone,Percent_Total_population_Not_Hispanic_or_Latino_Asian alone,Percent_Total_population_Not_Hispanic_or_Latino_Native Hawaiian and Other Pacific Islander alone,Percent_Total_population_Not_Hispanic_or_Latino_Some other race alone,Percent_Total_population_Not_Hispanic_or_Latino_Two or more races
02135,45024,22029,22995,29579,2665,88,7298,54,2819,2521,5801,39223,3078,224,1694,805,27596,2229,55,7286,54,714,1289,6.8,0.5,3.8,1.8,61.3,5,0.1,16.2,0.1,1.6,2.9
02138,39370,19174,20196,26224,2339,67,6588,14,961,3177,3677,35693,2089,80,929,579,24582,2074,55,6551,14,393,2024,5.3,0.2,2.4,1.5,62.4,5.3,0.1,16.6,0,1,5.1
02139,39707,20377,19330,23164,5497,24,7056,101,820,3045,3533,36174,2014,51,1028,440,21501,5192,11,7056,101,386,1927,5.1,0.1,2.6,1.1,54.1,13.1,0,17.8,0.3,1,4.9
02140,20060,9920,10140,11903,3173,11,3684,0,159,1130,1120,18940,609,69,276,166,11381,3050,7,3684,0,44,774,3,0.3,1.4,0.8,56.7,15.2,0,18.4,0,0.2,3.9
02141,13953,7032,6921,8832,1231,5,2701,8,407,769,1697,12256,1149,59,202,287,7802,1216,0,2670,8,61,499,8.2,0.4,1.4,2.1,55.9,8.7,0,19.1,0.1,0.4,3.6
02142,4172,2094,2078,2226,351,0,1356,0,36,203,261,3911,217,18,11,15,2075,312,0,1356,0,14,154,5.2,0.4,0.3,0.4,49.7,7.5,0,32.5,0,0.3,3.7
02143,25264,12318,12946,18637,1101,54,2823,7,759,1883,1878,23386,1059,292,318,209,17974,1064,53,2813,7,326,1149,4.2,1.2,1.3,0.8,71.1,4.2,0.2,11.1,0,1.3,4.5
02144,25367,12594,12773,20746,1038,71,2022,0,58,1432,1636,23731,1028,68,275,265,19870,969,0,2000,0,0,892,4.1,0.3,1.1,1,78.3,3.8,0,7.9,0,0,3.5
02145,27359,14189,13170,18821,1593,59,2228,6,2520,2132,6187,21172,5159,43,450,535,16036,1549,33,2215,6,413,920,18.9,0.2,1.6,2,58.6,5.7,0.1,8.1,0,1.5,3.4
02152,19088,9217,9871,16057,790,48,293,0,907,993,2546,16542,1959,45,488,54,15083,741,0,293,0,97,328,10.3,0.2,2.6,0.3,79,3.9,0,1.5,0,0.5,1.7
02163,2198,1278,920,1266,219,0,466,0,55,192,287,1911,237,0,9,41,1144,219,0,466,0,8,74,10.8,0,0.4,1.9,52,10,0,21.2,0,0.4,3.4
02170,20130,10327,9803,10997,835,4,7591,88,167,448,589,19541,555,0,0,34,10817,673,0,7547,88,27,389,2.8,0,0,0.2,53.7,3.3,0,37.5,0.4,0.1,1.9
02171,19923,10046,9877,10995,682,53,7255,0,219,719,800,19123,574,19,112,95,10793,682,12,7209,0,44,383,2.9,0.1,0.6,0.5,54.2,3.4,0.1,36.2,0,0.2,1.9
02199,1232,588,644,766,0,0,375,0,27,64,77,1155,50,0,27,0,716,0,0,375,0,0,64,4.1,0,2.2,0,58.1,0,0,30.4,0,0,5.2
02210,4830,2692,2138,4082,148,0,464,0,12,124,143,4687,83,4,44,12,3998,101,0,464,0,0,124,1.7,0.1,0.9,0.2,82.8,2.1,0,9.6,0,0,2.6
02215,25856,11384,14472,16548,1620,116,5154,0,744,1674,3095,22761,1527,272,700,596,14939,1310,68,5150,0,97,1197,5.9,1.1,2.7,2.3,57.8,5.1,0.3,19.9,0,0.4,4.6
