Zip code,Total population,Average Household Size,Percentage of Non US Citizens,Percentage of Non-English Speakers,Percentage of people commuting to work,Mean travel time to work (minutes),"Percentage of people commuting to work by car, truck or van -- drove alone",Percentage of people commuting to work by car -- carpoled,Percentage of people working from home,Unemployment rate,Percentage of private wage and salary workers,Percentage of government workers,Percentage of people in labor force,Percentage of employed people,Percentage of unemployed people,Median household income,Percentage of people with no health insurance,Percentage of owner occupied housing units,Percentage of renter occupied housing units,Median price of owner occupied units (dollars),Median price of rent occupied units (dollars),Median age (years),Percentage of white people,Percentage of Black or African American people,Percentage of Asian people,Percentage of Native Hawaiian and Other Pacific Islander people,Percentage of Hispanic or Latino People,OZONEAQI,PM2.5AQI
2108,4225,1.65,29.1,9.9,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,1.6,46.9,53.1,2000000.0,2368,35.7,82.3,5.4,5.2,0.0,7.0,31.083798882681563,33.36986301369863
2109,3627,1.78,43.2,15.9,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,1.4,39.9,60.1,792500.0,3212,35.6,86.6,1.0,8.6,0.0,1.6,31.07563025210084,33.37362637362637
2110,2307,1.78,37.8,14.2,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,0.8,63.1,36.9,1142200.0,3034,54.6,89.2,2.2,4.3,0.6,2.7,31.083798882681563,33.36986301369863
2111,7841,1.93,51.1,58.1,15.6,20.6,13.8,2.3,14.9,7.8,91.9,5.7,60.4,55.7,4.7,65587,1.5,27.7,72.3,887900.0,1619,31.2,40.7,2.1,48.3,0.0,8.8,31.083798882681563,33.36986301369863
2113,6726,1.66,54.7,21.7,22.0,25.9,19.4,1.2,19.0,2.0,89.2,6.0,86.8,85.1,1.7,100613,3.2,15.6,84.4,655500.0,2144,29.8,88.3,3.6,3.7,0.0,9.7,31.083798882681563,33.36986301369863
2114,13401,1.7,60.2,27.5,17.1,21.3,15.3,0.4,22.3,2.5,89.5,4.9,75.9,73.8,1.9,118125,1.0,23.1,76.9,864000.0,2650,33.8,78.2,4.1,8.5,0.0,9.6,31.083798882681563,33.36986301369863
2115,28559,1.71,67.0,36.6,23.2,21.7,12.1,2.7,9.5,12.5,93.2,4.5,54.4,47.6,6.8,47486,2.1,12.3,87.7,931300.0,1784,21.9,60.3,8.0,18.3,0.4,14.6,31.083798882681563,33.36986301369863
2116,22587,1.71,49.3,27.2,19.0,22.0,19.2,2.1,14.7,3.1,92.3,4.3,67.4,65.3,2.1,121967,2.1,36.0,64.0,1401900.0,2183,33.7,70.7,4.8,13.9,0.4,7.9,31.083798882681563,33.36986301369863
2118,27718,1.84,36.8,39.3,25.5,27.3,23.8,4.2,13.0,10.0,90.1,5.8,63.3,56.9,6.3,71096,2.4,27.6,72.4,946500.0,1418,36.7,49.8,17.4,16.1,0.0,18.0,31.083798882681563,33.36986301369863
2119,28307,2.32,44.3,44.4,34.6,30.3,40.5,5.1,6.3,9.5,84.3,12.8,59.9,54.2,5.7,34987,5.3,25.2,74.8,563200.0,1059,34.7,18.4,50.8,2.0,0.0,32.4,31.083798882681563,33.36986301369863
2120,15082,2.63,58.5,40.2,36.0,27.6,21.9,4.1,6.9,13.7,91.8,6.1,61.6,53.2,8.5,50728,5.1,9.6,90.4,602900.0,1363,23.7,43.7,21.6,15.8,0.0,23.4,31.083798882681563,33.36986301369863
2121,29888,2.78,50.4,38.6,38.3,35.6,41.8,9.2,3.5,7.1,80.2,16.0,62.9,58.5,4.4,40732,5.0,23.3,76.7,541900.0,1129,33.3,12.1,57.9,0.2,0.0,33.4,31.083798882681563,33.36986301369863
2122,23747,2.6,42.7,40.3,26.9,32.9,48.3,9.3,6.8,6.0,81.0,16.7,71.7,67.4,4.3,77081,3.9,42.1,57.9,551100.0,1692,36.1,37.3,28.6,15.2,0.0,13.7,31.083798882681563,33.36986301369863
2124,56070,2.87,39.4,36.3,28.4,36.7,45.4,9.4,10.1,8.2,82.1,13.0,69.7,63.7,5.7,65683,4.0,41.3,58.7,492900.0,1555,35.1,21.8,53.4,7.7,0.0,18.5,31.083798882681563,33.36986301369863
2125,32614,2.47,40.7,43.1,34.2,30.7,38.0,8.3,8.5,7.2,83.2,12.1,68.0,63.1,4.9,60612,4.6,35.5,64.5,578400.0,1540,33.8,35.8,32.7,11.4,0.0,20.5,31.083798882681563,33.36986301369863
2127,35266,2.08,36.0,17.0,30.7,27.7,36.2,3.4,16.5,4.8,87.6,10.5,80.8,76.8,3.9,131782,2.0,44.4,55.6,719100.0,1875,32.3,79.3,5.0,6.5,0.0,9.5,31.083798882681563,33.36986301369863
2128,45501,2.68,70.7,63.6,46.1,32.2,30.0,5.5,12.2,8.8,86.0,9.0,77.0,70.1,6.8,71630,7.6,25.3,74.7,577600.0,1740,33.8,54.9,2.9,4.5,0.0,55.5,31.083798882681563,28.8393351800554
2129,20411,2.19,43.8,21.1,23.8,31.1,35.8,4.4,16.1,2.9,87.8,10.0,78.5,75.6,2.2,140534,1.0,48.6,51.4,799600.0,1860,35.6,74.1,7.7,10.9,0.0,9.1,31.083798882681563,28.8393351800554
