,zip_code,OZONE_AQI,PM2.5_AQI,year
0,2108,31.72905027932961,40.2534435261708,2017
1,2108,31.565934065934066,43.07988980716254,2018
2,2108,31.304469273743017,34.99452054794521,2019
3,2108,31.083798882681563,33.36986301369863,2021
4,2108,34.41456582633053,30.378082191780823,2022
5,2109,31.72905027932961,40.2534435261708,2017
6,2109,31.565934065934066,43.07988980716254,2018
7,2109,31.304469273743017,34.99452054794521,2019
8,2109,31.07563025210084,33.37362637362637,2021
9,2109,34.37921348314607,30.315934065934066,2022
10,2110,31.72905027932961,40.2534435261708,2017
11,2110,31.565934065934066,43.07988980716254,2018
12,2110,31.304469273743017,34.99452054794521,2019
13,2110,31.083798882681563,33.36986301369863,2021
14,2110,34.41456582633053,30.378082191780823,2022
15,2111,31.72905027932961,40.2534435261708,2017
16,2111,31.565934065934066,43.07988980716254,2018
17,2111,31.304469273743017,34.99452054794521,2019
18,2111,31.083798882681563,33.36986301369863,2021
19,2111,34.41456582633053,30.378082191780823,2022
20,2113,31.72905027932961,40.2534435261708,2017
21,2113,31.565934065934066,43.07988980716254,2018
22,2113,31.304469273743017,34.99452054794521,2019
23,2113,31.083798882681563,33.36986301369863,2021
24,2113,34.41456582633053,30.378082191780823,2022
25,2114,31.72905027932961,40.2534435261708,2017
26,2114,31.565934065934066,43.07988980716254,2018
27,2114,31.304469273743017,34.99452054794521,2019
28,2114,31.083798882681563,33.36986301369863,2021
29,2114,34.41456582633053,30.378082191780823,2022
30,2115,31.72905027932961,40.2534435261708,2017
31,2115,31.565934065934066,43.07988980716254,2018
32,2115,31.304469273743017,34.99452054794521,2019
33,2115,31.083798882681563,33.36986301369863,2021
34,2115,34.41456582633053,30.378082191780823,2022
35,2116,31.72905027932961,40.2534435261708,2017
36,2116,31.565934065934066,43.07988980716254,2018
37,2116,31.304469273743017,34.99452054794521,2019
38,2116,31.083798882681563,33.36986301369863,2021
39,2116,34.41456582633053,30.378082191780823,2022
40,2118,31.72905027932961,40.2534435261708,2017
41,2118,31.565934065934066,43.07988980716254,2018
42,2118,31.304469273743017,34.99452054794521,2019
43,2118,31.083798882681563,33.36986301369863,2021
44,2118,34.41456582633053,30.378082191780823,2022
45,2119,31.72905027932961,40.2534435261708,2017
46,2119,31.565934065934066,43.07988980716254,2018
47,2119,31.304469273743017,34.99452054794521,2019
48,2119,31.083798882681563,33.36986301369863,2021
49,2119,34.41456582633053,30.378082191780823,2022
50,2120,31.72905027932961,40.2534435261708,2017
51,2120,31.565934065934066,43.07988980716254,2018
52,2120,31.304469273743017,34.99452054794521,2019
53,2120,31.083798882681563,33.36986301369863,2021
54,2120,34.41456582633053,30.378082191780823,2022
55,2121,31.747899159663863,40.31491712707182,2017
56,2121,31.565934065934066,43.07988980716254,2018
57,2121,31.304469273743017,34.99452054794521,2019
58,2121,31.083798882681563,33.36986301369863,2021
59,2121,34.41456582633053,30.378082191780823,2022
60,2122,31.72905027932961,40.2534435261708,2017
61,2122,31.565934065934066,43.07988980716254,2018
62,2122,31.304469273743017,34.99452054794521,2019
63,2122,31.083798882681563,33.36986301369863,2021
64,2122,34.41456582633053,30.378082191780823,2022
65,2124,31.72905027932961,40.2534435261708,2017
66,2124,31.94269340974212,43.50716332378224,2018
67,2124,31.304469273743017,34.99452054794521,2019
68,2124,31.083798882681563,33.36986301369863,2021
69,2124,34.41456582633053,30.378082191780823,2022
70,2125,31.72905027932961,40.2534435261708,2017
71,2125,30.349056603773583,42.80757097791798,2018
72,2125,31.304469273743017,34.99452054794521,2019
73,2125,31.083798882681563,33.36986301369863,2021
74,2125,34.41456582633053,30.378082191780823,2022
75,2127,31.72905027932961,40.2534435261708,2017
76,2127,30.35048231511254,42.61935483870968,2018
77,2127,31.304469273743017,34.99452054794521,2019
78,2127,31.083798882681563,33.36986301369863,2021
79,2127,34.41456582633053,30.378082191780823,2022
80,2128,31.72905027932961,31.08433734939759,2017
81,2128,31.565934065934066,35.932203389830505,2018
82,2128,31.304469273743017,33.2169014084507,2019
83,2128,31.083798882681563,28.8393351800554,2021
84,2128,34.41456582633053,29.10136986301369,2022
85,2129,31.72905027932961,31.08433734939759,2017
86,2129,31.565934065934066,35.932203389830505,2018
87,2129,31.304469273743017,33.2169014084507,2019
88,2129,31.083798882681563,28.8393351800554,2021
89,2129,34.41456582633053,29.10136986301369,2022
90,2130,31.72905027932961,40.2534435261708,2017
91,2130,31.565934065934066,43.07988980716254,2018
92,2130,31.304469273743017,34.99452054794521,2019
93,2130,31.083798882681563,33.36986301369863,2021
94,2130,34.41456582633053,30.378082191780823,2022
95,2134,31.72905027932961,40.2534435261708,2017
96,2134,31.565934065934066,43.07988980716254,2018
97,2134,31.304469273743017,34.99452054794521,2019
98,2134,31.083798882681563,33.36986301369863,2021
99,2134,34.41456582633053,30.378082191780823,2022
100,2135,31.72905027932961,40.2534435261708,2017
101,2135,31.565934065934066,43.07988980716254,2018
102,2135,31.304469273743017,34.99452054794521,2019
103,2135,31.083798882681563,33.36986301369863,2021
104,2135,34.74556213017752,30.65028901734104,2022
105,2138,31.72905027932961,40.2534435261708,2017
106,2138,31.565934065934066,43.07988980716254,2018
107,2138,31.304469273743017,34.99452054794521,2019
108,2138,31.083798882681563,33.36986301369863,2021
109,2138,34.41456582633053,30.378082191780823,2022
110,2139,31.72905027932961,40.2534435261708,2017
111,2139,31.565934065934066,43.07988980716254,2018
112,2139,31.304469273743017,34.99452054794521,2019
113,2139,31.083798882681563,33.36986301369863,2021
114,2139,34.123893805309734,30.5072463768116,2022
