Year,Zip,Tot_Households,LEP_Households
2021,'02118',13847,2271
2021,'02119',11953,2178
2021,'02121',10718,2061
2021,'02125',12986,1837
2021,'02215',7931,894
2020,'02118',13672,2342
2020,'02119',11738,1986
2020,'02121',10740,1920
2020,'02125',13063,1977
2020,'02215',8055,885
2019,'02118',13193,1693
2019,'02119',11570,2095
2019,'02121',10666,1750
2019,'02125',12705,2138
2019,'02215',7845,1006
