MBTA_Bus_Routes_and_Stops
X,Y,STOP_NAME,TOWN
-71.0113809373588,42.2573847120608,Newport Ave @ Furnace Brook Pwky,QUINCY
-71.1612258753247,42.2579910560685,Washington St @ Tobin Rd,BOSTON
-71.0377405788561,42.2575886548324,Adams St @ Foster Ln,MILTON
-71.0081304518698,42.2574784866097,Hancock St opp Butler Rd,QUINCY
-70.9708557102135,42.2573319907396,Palmer St opp Brockton Ave,QUINCY
-71.1235931086633,42.2579869003073,Hyde Park Ave @ Clay Street,BOSTON
-71.0417678297215,42.2576991861932,Boulevard St @ Bryant Ave,MILTON
-71.0810405934743,42.2580086529603,Reedsdale Rd @ Central Ave,MILTON
-71.1605839038044,42.2583378202532,Washington St @ Meshaka St,BOSTON
-71.0392864164639,42.2579280998575,Adams St @ Church St,MILTON
-71.0809955599281,42.2581233427732,Reedsdale Rd @ Brook Rd,MILTON
-71.0396777288825,42.2580038837166,Adams St @ Mechanic St,MILTON
-71.1401220167641,42.2583757021041,Turtle Pond Pkwy @ Dedham Pkwy,BOSTON
-71.140263412615,42.2584548336783,Dedham Pkwy @ Turtle Pond Pkwy,BOSTON
-71.0512059247946,42.2581615672456,Brook Rd @ Pleasant St,MILTON
-71.0805109230344,42.2582774211079,Brook Rd @ Reedsdale Rd,MILTON
-71.0508767912462,42.2581771890379,Brook Rd @ Pleasant St,MILTON
-71.049868360374,42.2582256570979,Brook Rd @ Otis St,MILTON
-71.0496223906918,42.2582373896407,Brook Rd @ Otis St,MILTON
-70.9718495961567,42.2579428828745,Palmer St @ Empire St,QUINCY
-71.0814805984246,42.2584286551857,Brook Rd @ Central Ave,MILTON
-70.9721364321471,42.2580603145936,Palmer St @ Forbush Ave,QUINCY
-71.0811705936578,42.2585286546512,Central Ave @ Brook Rd,MILTON
-71.0086858898795,42.2582512206401,Hancock St @ Furnace Brook Pkwy,QUINCY
-71.0600035780132,42.258459455242,Brook Rd @ Centre St,MILTON
-71.0600035780132,42.258459455242,Brook Rd @ Centre St,MILTON
-71.1179468478337,42.2588020150317,River St @ West St,BOSTON
-70.9732589655796,42.2583310274117,Palmer St @ Roanoke St,QUINCY
-71.1233601691807,42.2589596546689,Hyde Park Ave opp Webster St,BOSTON
-70.9735305587688,42.2583786554266,Palmer St @ Chesley Rd,QUINCY
-71.0318536509503,42.258659106435,Beale St @ Rockwell Ave,QUINCY
-71.1251648769011,42.2590039654725,61 Summer St opp Parrott St,BOSTON
-71.0426330041303,42.2587527983047,Adams St @ Hollis St,MILTON
-71.0123594369008,42.2586428727086,Newport Ave @ Lillian Rd,QUINCY
-71.0460880462029,42.2588643227956,Brook Rd @ Governors Rd,MILTON
-71.1593815443926,42.2592860230464,Washington St @ Birchwood St,BOSTON
-70.9750163281094,42.2586086668975,Palmer St opp Oakwood Rd,QUINCY
-71.0458633739155,42.2589440049666,Brook Rd @ Governors Rd,MILTON
-70.9752305636148,42.2586486604415,Palmer St @ Oakwood Rd,QUINCY
-71.1454917473732,42.2593046261799,W Boundary Rd @ Georgetowne Dr,BOSTON
-71.1259970699218,42.2592601089323,Austin St @ Chestnut St,BOSTON
-71.1454575196091,42.2593657727552,W Boundary Rd @ Georgetowne Dr,BOSTON
-71.0316122816493,42.2589700240126,Beale St @ Forbes Hill Rd,QUINCY
-70.9758975692388,42.2587512312637,Palmer St opp Wilgus Rd,QUINCY
-71.0418089253948,42.2591536702557,Granite Ave @ Bassett St,MILTON
-71.0844808476021,42.2593243051118,Brook Rd @ Lincoln St,MILTON
-71.0441538213436,42.2592416571747,Adams St @ Babcock St,MILTON
-71.0093350873049,42.2591013625117,Hancock St opp Carruth St,QUINCY
-71.0444193969634,42.2593400527267,Adams St opp Brook Rd,MILTON
-71.0808654734192,42.2595166964099,Central Ave opp Rustlewood Rd,MILTON
-71.0094644873919,42.2592606620433,Hancock St @ Carruth St,QUINCY
-71.080822935805,42.2597016390763,Central Ave @ Rustlewood Rd,MILTON
-71.0308147798099,42.259605151524,Beale St @ Summit Ave,QUINCY
-71.0133702302509,42.2596063894054,Newport Ave @ George Rd,QUINCY
-71.0306405767053,42.259678654903,385 Beale St opp Summit Ave,QUINCY
-71.0621115490763,42.2810534621512,Gallivan Blvd @ Huron Circle,BOSTON
-71.1336319334243,42.2813349417007,Washington St @ Metropolitan Ave,BOSTON
-71.0480090691759,42.2810603153155,Hilltop St @ Hallet St,BOSTON
-71.1596831300161,42.2814501901087,Lagrange St @ Dent St,BOSTON
-71.1596831300161,42.2814501901087,Lagrange St opp Dent St,BOSTON
-71.0709080829871,42.2811679681546,Washington St @ Coolidge Rd,BOSTON
-71.1334810953898,42.2814749039589,Washington St @ Metropolitan Ave,BOSTON
-71.0358249163033,42.2811304296172,Newport Ave @ Hancock St,QUINCY
-71.047825403971,42.2811802469632,Hallet St @ Hilltop St,BOSTON
-71.0709800129231,42.2813337839847,Washington St @ Ogden St,BOSTON
-71.1688820263812,42.2817877477743,Baker St @ Amesbury St,BOSTON
-71.0871551052131,42.2816431114763,Morton St @ Norfolk St,BOSTON
-71.1223360952548,42.2817695027348,Cummins Hwy @ Brown Ave,BOSTON
-71.0869540586859,42.2816764589044,Norfolk St @ Morton St,BOSTON
-71.0870962036538,42.2817372840171,Morton St @ Norfolk St,BOSTON
-71.0240976674418,42.2814949680735,E Squantum St @ Appleton St,QUINCY
-71.1225206143631,42.2818896423773,Cummins Hwy @ Brown Ave,BOSTON
-71.0600158956073,42.2816917101977,Gallivan Blvd opp Carruth St,BOSTON
-71.1577775255174,42.2820308096042,Opp 2000 Centre St,BOSTON
-71.1504485350253,42.2820602331181,Park St @ Gilmore Terr,BOSTON
-71.059792387433,42.2817579004814,Gallivan Blvd @ Carruth St,BOSTON
-71.1690560952141,42.2821269261022,Baker St @ Rumford Rd,BOSTON
-71.1505230482955,42.2821011507432,230 Park St opp Gilmore Terr,BOSTON
-71.0241410303206,42.2816786294664,E Squantum St @ Holyoke St,QUINCY
-71.0712203994408,42.2819117219917,Washington St @ Fuller St,BOSTON
-71.1327848886203,42.2821282836174,Washington St @ Rosecliff St,BOSTON
-71.0356704054485,42.2817774263557,Hancock St @ Neponset River Bridge,QUINCY
-71.065356330179,42.2819449908217,Dorchester Ave @ Van Winkle St,BOSTON
-71.0590312235059,42.2819730321343,Gallivan Blvd @ Adams St,BOSTON
-71.1326409961128,42.2822645298142,Washington St @ Durnell Ave,BOSTON
-71.0712752126142,42.2820829592663,Washington St @ Fuller St,BOSTON
-71.0653222969302,42.2820631188958,Dorchester Ave @ Hurlcroft Ave,BOSTON
-71.1607272475826,42.2824526131847,Lagrange St @ Westmount Ave,BOSTON
-71.0863064438881,42.2822419184519,Norfolk St @ Morton St,BOSTON
-71.0583505228942,42.2821660415513,Gallivan Blvd @ Frederika St,BOSTON
-71.0919898073879,42.2822976033642,Blue Hill Ave @ Woolson St,BOSTON
-71.1607781050571,42.2825374663413,Lagrange St @ Westmount Ave,BOSTON
-71.1188661917816,42.2824087036384,510 Hyde Park Ave,BOSTON
-71.1147420846814,42.2824550272621,American Legion Hwy @ Mt Hope St,BOSTON
-71.0921769287466,42.2824037555376,Blue Hill Ave @ Goodale Rd,BOSTON
-71.2361093430312,42.2829172069812,Highland Ave @ May St,NEEDHAM
-71.2361075035676,42.282999903176,Highland Ave @ May St,NEEDHAM
-71.0556470859043,42.2824663133518,Granite Ave @ Gallivan Blvd,BOSTON
-71.055660845678,42.282496561923,Granite Ave @ Gallivan Blvd,BOSTON
-71.0472043043846,42.2825168595756,Hallet St @ Florian Hall,BOSTON
-71.0472043043846,42.2825168595756,55 Hallet St opp Florian Hall,BOSTON
-71.056740154969,42.2825627260852,Gallivan Blvd @ Kenmere Rd,BOSTON
-71.0852608664913,42.2826896710996,Norfolk St @ Willowwood St,BOSTON
-71.1238950052269,42.2828536592982,Cummins Hwy @ Sherwood St,BOSTON
-71.0888724540064,42.2828634611675,Morton St @ Wildwood St,BOSTON
-71.1572115760912,42.2830898290531,Centre St Opp Mt Vernon St,BOSTON
-71.1240414796303,42.2830068750098,93 Cummins Hwy opp Sherwood St,BOSTON
-71.0889035574519,42.282902536726,Morton St @ Wildwood St,BOSTON
-71.0558542054143,42.28282873285,Adams St @ Gallivan Blvd,BOSTON
-71.0543831005239,42.2828399402749,Gallivan Blvd @ Ross Rd,BOSTON
-71.1189855392402,42.2830914493665,515 Hyde Park Ave,BOSTON
-71.1694232551648,42.2833147442907,Baker St @ Varick Rd,BOSTON
-71.1694486912672,42.2833964305668,Baker St opp Varick Rd,BOSTON
-71.1314766102265,42.2833437790692,Washington St @ Albano St,BOSTON
-71.0714064532428,42.2831760568179,Washington St @ Stockton St,BOSTON
-71.1313285354341,42.2834818738128,Washington St @ Albano St,BOSTON
-71.1493456670881,42.28358226742,101 Anawan Ave opp Allenwood St,BOSTON
-71.0516551430888,42.283277631235,Gallivan Blvd @ Woodfield St,BOSTON
-71.1492868287334,42.2836323866867,Anawan Ave @ Allenwood St,BOSTON
-71.071457965754,42.2834454292246,Washington St @ Burt St,BOSTON
-71.0831694652608,42.2835049488303,Norfolk St opp Nelson St,BOSTON
-71.0499381072211,42.2833934472602,Gallivan Blvd @ opp Marsh St,BOSTON
-71.1615467590401,42.2837820057103,Lagrange St @ Virgil Rd,BOSTON
-71.0830975612348,42.2835324145399,Norfolk St @ Nelson St,BOSTON
-71.1615779164316,42.2838373651279,Lagrange St opp Virgil St,BOSTON
