,Zip code,Total population,Average Household Size,Percentage of Foreign Born Residents,Percentage of Non-English Speakers,Percentage of population aged 5 years and over who speak Spanish at home,Percentage of population aged 5 years and over who speak an Indo-european other than Spanish at home,Percentage of population aged 5 years and over who speak an Asian and Pacific Islander language,Percentage of population aged 5 years and over who speak other language at home,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percentage of population with American ancestry,Percentage of population with Arab ancestry,Percentage of population with Dutch ancestry,Percentage of population with English ancestry,Percentage of population with French ancestry,Percentage of population with German ancestry,Percentage of population with Irish ancestry,Percentage of population with Italian ancestry,Percentage of population with Subsaharan African ancestry,Percentage of population with West Indian ancestry,Percentage of people commuting to work,Mean travel time to work (minutes),"Percentage of population commuting to work by car, truck or van -- drove alone",Percentage of population commuting to work by car -- carpoled,Percentage of population working from home,Unemployment rate,Percentage of private wage and salary workers,Percentage of government workers,Percentage of population in labor force,Percentage of employed,Percentage of unemployed,Median household income,Mean household income,Percentage of population with no health insurance,Percentage of owner occupied housing units,Percentage of renter occupied housing units,Median price of owner occupied units (dollars),Median price of rent occupied units (dollars),Median age (years),Percentage of population under 18,Percentage of population over 18,Percentage of white people,Percentage of Black or African American people,Percentage of Asian people,Percentage of Native Hawaiian and Other Pacific Islander people,Percentage of Hispanic or Latino People
10,2120,15082,2.63,21.7,40.2,18.7,8.1,11.1,2.2,26.3,1.5,0.5,0.5,3.3,1.3,4.9,9.5,5.3,2.3,1.2,36.0,27.6,21.9,4.1,6.9,13.7,91.8,6.1,61.6,53.2,8.5,50728,71815,5.1,9.6,90.4,602900.0,1363,23.7,9.7,90.3,43.7,21.6,15.8,0.0,23.4
11,2121,29888,2.78,34.5,38.6,27.2,8.8,0.2,2.5,13.1,1.9,0.6,0.0,0.4,0.2,0.3,1.8,1.4,5.5,14.1,38.3,35.6,41.8,9.2,3.5,7.1,80.2,16.0,62.9,58.5,4.4,40732,70568,5.0,23.3,76.7,541900.0,1129,33.3,25.1,74.9,12.1,57.9,0.2,0.0,33.4
12,2122,23747,2.6,33.2,40.3,11.4,14.7,13.7,0.5,18.4,3.3,0.1,0.1,3.6,1.0,2.3,16.3,4.7,11.5,4.9,26.9,32.9,48.3,9.3,6.8,6.0,81.0,16.7,71.7,67.4,4.3,77081,99558,3.9,42.1,57.9,551100.0,1692,36.1,19.3,80.7,37.3,28.6,15.2,0.0,13.7
13,2124,56070,2.87,31.8,36.3,14.4,12.7,6.2,2.9,17.8,2.0,0.1,0.2,2.4,0.8,1.6,8.7,3.2,8.2,20.6,28.4,36.7,45.4,9.4,10.1,8.2,82.1,13.0,69.7,63.7,5.7,65683,91667,4.0,41.3,58.7,492900.0,1555,35.1,23.2,76.8,21.8,53.4,7.7,0.0,18.5
14,2125,32614,2.47,32.9,43.1,15.2,17.7,7.7,2.5,22.5,1.5,0.7,0.4,2.4,1.6,2.6,11.4,3.4,12.7,5.2,34.2,30.7,38.0,8.3,8.5,7.2,83.2,12.1,68.0,63.1,4.9,60612,90420,4.6,35.5,64.5,578400.0,1540,33.8,19.0,81.0,35.8,32.7,11.4,0.0,20.5
15,2127,35266,2.08,12.8,17.0,7.6,3.9,4.8,0.7,44.4,2.4,0.6,0.6,7.3,3.1,7.0,33.2,13.3,1.7,1.4,30.7,27.7,36.2,3.4,16.5,4.8,87.6,10.5,80.8,76.8,3.9,131782,158643,2.0,44.4,55.6,719100.0,1875,32.3,11.7,88.3,79.3,5.0,6.5,0.0,9.5
16,2128,45501,2.68,46.2,63.6,51.9,5.7,3.8,2.1,21.6,2.4,2.1,0.4,2.9,1.7,2.3,7.3,11.3,0.6,0.6,46.1,32.2,30.0,5.5,12.2,8.8,86.0,9.0,77.0,70.1,6.8,71630,98782,7.6,25.3,74.7,577600.0,1740,33.8,18.8,81.2,54.9,2.9,4.5,0.0,55.5
17,2129,20411,2.19,16.1,21.1,7.5,4.0,9.5,0.2,35.0,4.0,0.6,0.9,8.8,3.7,6.3,26.3,12.3,1.3,1.1,23.8,31.1,35.8,4.4,16.1,2.9,87.8,10.0,78.5,75.6,2.2,140534,177973,1.0,48.6,51.4,799600.0,1860,35.6,20.0,80.0,74.1,7.7,10.9,0.0,9.1
18,2130,41112,2.25,21.6,30.4,16.5,7.3,2.7,3.9,27.6,2.2,0.7,0.7,8.6,1.8,8.4,13.2,6.9,3.5,2.5,33.7,31.8,31.5,3.9,17.2,4.5,82.1,13.1,75.0,71.6,3.4,106153,137908,1.2,45.3,54.7,665100.0,1975,35.1,16.4,83.6,63.9,14.1,6.4,0.0,19.9
19,2134,18437,2.27,34.2,39.6,8.4,10.0,18.6,2.7,41.5,2.2,1.2,0.7,4.7,2.3,6.7,9.7,6.4,0.8,2.6,34.6,33.4,27.6,3.9,14.1,5.7,90.0,7.6,72.7,68.5,4.1,70021,86502,3.4,15.2,84.8,504800.0,1949,27.4,6.9,93.1,59.5,6.9,24.1,0.0,11.8
20,2135,45024,2.19,28.7,36.2,10.7,11.3,12.5,1.7,40.3,1.5,1.6,0.5,5.5,1.5,6.3,12.9,7.8,1.1,1.6,32.7,33.1,39.2,6.8,12.2,4.6,88.4,7.8,76.7,73.1,3.5,85792,101465,3.9,22.3,77.7,587800.0,1993,30.0,8.8,91.2,65.7,5.9,16.2,0.1,12.9
21,2163,2198,1.98,37.7,42.5,14.3,12.3,11.5,4.4,59.9,2.5,3.5,0.8,4.2,3.5,6.7,9.1,6.7,1.0,0.8,7.3,16.4,12.5,1.3,6.7,11.6,95.7,1.8,37.9,33.5,4.4,67292,82279,1.4,0.0,100.0,831532.0,2811,25.2,1.5,98.5,57.6,10.0,21.2,0.0,13.1
22,2199,1232,1.48,33.7,40.1,7.8,14.2,17.6,0.5,43.2,0.0,0.5,0.0,6.8,4.6,8.1,8.9,6.2,0.0,3.2,14.0,22.2,20.2,0.0,16.3,0.0,81.6,11.7,64.3,64.3,0.0,106182,180822,0.0,7.1,92.9,2000000.0,3269,37.0,6.8,93.2,62.2,0.0,30.4,0.0,6.3
23,2210,4830,1.53,22.4,19.6,2.0,11.4,4.8,1.4,39.3,1.3,1.7,1.2,11.2,2.5,8.8,17.6,15.0,1.2,0.3,9.0,23.5,24.5,2.8,20.6,4.3,89.1,7.5,88.4,80.8,3.6,160000,258316,0.1,26.0,74.0,969800.0,3257,38.7,5.2,94.8,84.5,3.1,9.6,0.0,3.0
24,2215,25856,1.61,25.3,37.9,8.6,11.5,15.0,2.9,35.3,1.0,2.9,0.7,4.9,2.2,8.6,13.8,10.3,1.3,1.0,17.1,20.1,12.4,1.8,13.3,8.3,91.8,4.2,57.8,52.9,4.8,58466,86609,2.3,8.9,91.1,494900.0,2157,21.8,2.4,97.6,64.0,6.3,19.9,0.0,12.0
