date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,PM10AQI,CategoryNumber,CategoryName
2022-02-03,2045,Weymouth,MA,42.2459,-70.9628,25.0,28.0,,1.0,Good
2022-02-04,2045,Weymouth,MA,42.2459,-70.9628,31.0,17.0,,1.0,Good
2022-02-05,2045,Weymouth,MA,42.2459,-70.9628,35.0,20.0,,1.0,Good
2022-02-06,2045,Weymouth,MA,42.2459,-70.9628,34.0,25.0,,1.0,Good
2022-02-07,2045,Weymouth,MA,42.2459,-70.9628,27.0,42.0,,1.0,Good
2022-02-08,2045,Weymouth,MA,42.2459,-70.9628,,26.0,,1.0,Good
2022-02-09,2045,Weymouth,MA,42.2459,-70.9628,33.0,30.0,,1.0,Good
2022-02-10,2045,Weymouth,MA,42.2459,-70.9628,39.0,30.0,,1.0,Good
2022-02-11,2045,Weymouth,MA,42.2459,-70.9628,43.0,22.0,,1.0,Good
2022-02-12,2045,Weymouth,MA,42.2459,-70.9628,44.0,26.0,,1.0,Good
2022-02-13,2045,Weymouth,MA,42.2459,-70.9628,31.0,21.0,,1.0,Good
2022-02-14,2045,Weymouth,MA,42.2459,-70.9628,34.0,23.0,,1.0,Good
2022-02-15,2045,Weymouth,MA,42.2459,-70.9628,35.0,28.0,,1.0,Good
2022-02-16,2045,Weymouth,MA,42.2459,-70.9628,40.0,31.0,,1.0,Good
2022-02-17,2045,Weymouth,MA,42.2459,-70.9628,41.0,25.0,,1.0,Good
2022-02-18,2045,Weymouth,MA,42.2459,-70.9628,37.0,11.0,,1.0,Good
2022-02-19,2045,Weymouth,MA,42.2459,-70.9628,36.0,18.0,,1.0,Good
2022-02-20,2045,Weymouth,MA,42.2459,-70.9628,38.0,17.0,,1.0,Good
2022-02-21,2045,Weymouth,MA,42.2459,-70.9628,38.0,27.0,,1.0,Good
2022-02-22,2045,Weymouth,MA,42.2459,-70.9628,40.0,50.0,,1.0,Good
2022-02-23,2045,Weymouth,MA,42.2459,-70.9628,31.0,28.0,,1.0,Good
2022-02-24,2045,Weymouth,MA,42.2459,-70.9628,30.0,24.0,,1.0,Good
2022-02-25,2045,Weymouth,MA,42.2459,-70.9628,35.0,16.0,,1.0,Good
2022-02-26,2045,Weymouth,MA,42.2459,-70.9628,38.0,25.0,,1.0,Good
2022-02-27,2045,Weymouth,MA,42.2459,-70.9628,44.0,29.0,,1.0,Good
2022-02-28,2045,Weymouth,MA,42.2459,-70.9628,38.0,19.0,,1.0,Good
2022-03-01,2045,Weymouth,MA,42.2459,-70.9628,43.0,27.0,,1.0,Good
2022-03-02,2045,Weymouth,MA,42.2459,-70.9628,42.0,33.0,,1.0,Good
2022-03-03,2045,Weymouth,MA,42.2459,-70.9628,38.0,28.0,,1.0,Good
2022-03-04,2045,Weymouth,MA,42.2459,-70.9628,39.0,20.0,,1.0,Good
2022-03-05,2045,Weymouth,MA,42.2459,-70.9628,44.0,34.0,,1.0,Good
2022-03-06,2045,Weymouth,MA,42.2459,-70.9628,40.0,52.0,,1.0,Good
2022-03-07,2045,Weymouth,MA,42.2459,-70.9628,34.0,38.0,,1.0,Good
2022-03-08,2045,Weymouth,MA,42.2459,-70.9628,42.0,8.0,,1.0,Good
2022-03-09,2045,Weymouth,MA,42.2459,-70.9628,33.0,20.0,,1.0,Good
2022-03-10,2045,Weymouth,MA,42.2459,-70.9628,39.0,38.0,,1.0,Good
2022-03-11,2045,Weymouth,MA,42.2459,-70.9628,46.0,52.0,,1.0,Good
2022-03-12,2045,Weymouth,MA,42.2459,-70.9628,38.0,19.0,,1.0,Good
2022-03-13,2045,Weymouth,MA,42.2459,-70.9628,40.0,19.0,,1.0,Good
2022-03-14,2045,Weymouth,MA,42.2459,-70.9628,44.0,31.0,,1.0,Good
2022-03-15,2045,Weymouth,MA,42.2459,-70.9628,43.0,31.0,,1.0,Good
2022-03-16,2045,Weymouth,MA,42.2459,-70.9628,44.0,33.0,,1.0,Good
2022-03-17,2045,Weymouth,MA,42.2459,-70.9628,36.0,43.0,,1.0,Good
2022-03-18,2045,Weymouth,MA,42.2459,-70.9628,47.0,47.0,,1.0,Good
2022-03-19,2045,Weymouth,MA,42.2459,-70.9628,31.0,30.0,,1.0,Good
2022-03-20,2045,Weymouth,MA,42.2459,-70.9628,31.0,17.0,,1.0,Good
2022-03-21,2045,Weymouth,MA,42.2459,-70.9628,42.0,8.0,,1.0,Good
2022-03-22,2045,Weymouth,MA,42.2459,-70.9628,42.0,11.0,,1.0,Good
2022-03-23,2045,Weymouth,MA,42.2459,-70.9628,35.0,11.0,,1.0,Good
2022-03-24,2045,Weymouth,MA,42.2459,-70.9628,38.0,11.0,,1.0,Good
2022-03-25,2045,Weymouth,MA,42.2459,-70.9628,39.0,13.0,,1.0,Good
2022-03-26,2045,Weymouth,MA,42.2459,-70.9628,33.0,14.0,,1.0,Good
2022-03-27,2045,Weymouth,MA,42.2459,-70.9628,29.0,9.0,,1.0,Good
2022-03-28,2045,Weymouth,MA,42.2459,-70.9628,32.0,13.0,,1.0,Good
2022-03-29,2045,Weymouth,MA,42.2459,-70.9628,36.0,13.0,,1.0,Good
2022-03-30,2045,Weymouth,MA,42.2459,-70.9628,40.0,12.0,,1.0,Good
2022-03-31,2045,Weymouth,MA,42.2459,-70.9628,45.0,38.0,,1.0,Good
2022-04-01,2045,Weymouth,MA,42.2459,-70.9628,34.0,14.0,,1.0,Good
2022-04-02,2045,Weymouth,MA,42.2459,-70.9628,44.0,16.0,,1.0,Good
2022-04-03,2045,Weymouth,MA,42.2459,-70.9628,41.0,32.0,,1.0,Good
2022-04-04,2045,Weymouth,MA,42.2459,-70.9628,43.0,15.0,,1.0,Good
2022-04-05,2045,Weymouth,MA,42.2459,-70.9628,42.0,20.0,,1.0,Good
2022-04-06,2045,Weymouth,MA,42.2459,-70.9628,39.0,26.0,,1.0,Good
