"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","600,094","±11,768"
"    No vehicle available","93,457","±7,034"
"    1 vehicle available","201,419","±9,402"
"    2 vehicles available","201,061","±8,105"
"    3 or more vehicles available","104,157","±5,923"
"    Car, truck, or van - drove alone:","261,033","±9,528"
"        No vehicle available","8,432","±2,306"
"        1 vehicle available","68,409","±5,601"
"        2 vehicles available","117,952","±6,396"
"        3 or more vehicles available","66,240","±5,094"
"    Car, truck, or van - carpooled:","42,735","±3,896"
"        No vehicle available","2,339","±1,042"
"        1 vehicle available","12,803","±2,673"
"        2 vehicles available","16,056","±2,539"
"        3 or more vehicles available","11,537","±2,576"
"    Public transportation (excluding taxicab):","160,233","±7,644"
"        No vehicle available","42,662","±4,456"
"        1 vehicle available","59,673","±5,768"
"        2 vehicles available","41,453","±4,010"
"        3 or more vehicles available","16,445","±2,276"
"    Walked:","42,441","±4,114"
"        No vehicle available","18,950","±2,704"
"        1 vehicle available","16,393","±2,553"
"        2 vehicles available","5,412","±1,413"
"        3 or more vehicles available","1,686","±867"
"    Taxicab, motorcycle, bicycle, or other means:","20,382","±2,975"
"        No vehicle available","3,663","±1,064"
"        1 vehicle available","10,178","±1,897"
"        2 vehicles available","5,337","±1,875"
"        3 or more vehicles available","1,204","±615"
"    Worked from home:","73,270","±6,069"
"        No vehicle available","17,411","±2,901"
"        1 vehicle available","33,963","±4,030"
"        2 vehicles available","14,851","±2,415"
"        3 or more vehicles available","7,045","±1,875"
