"Label (Grouping)","ZCTA5 02108!!Estimate","ZCTA5 02108!!Margin of Error","ZCTA5 02109!!Estimate","ZCTA5 02109!!Margin of Error","ZCTA5 02110!!Estimate","ZCTA5 02110!!Margin of Error","ZCTA5 02111!!Estimate","ZCTA5 02111!!Margin of Error","ZCTA5 02113!!Estimate","ZCTA5 02113!!Margin of Error","ZCTA5 02114!!Estimate","ZCTA5 02114!!Margin of Error","ZCTA5 02115!!Estimate","ZCTA5 02115!!Margin of Error","ZCTA5 02116!!Estimate","ZCTA5 02116!!Margin of Error","ZCTA5 02118!!Estimate","ZCTA5 02118!!Margin of Error","ZCTA5 02119!!Estimate","ZCTA5 02119!!Margin of Error","ZCTA5 02120!!Estimate","ZCTA5 02120!!Margin of Error","ZCTA5 02121!!Estimate","ZCTA5 02121!!Margin of Error","ZCTA5 02122!!Estimate","ZCTA5 02122!!Margin of Error","ZCTA5 02124!!Estimate","ZCTA5 02124!!Margin of Error","ZCTA5 02125!!Estimate","ZCTA5 02125!!Margin of Error","ZCTA5 02126!!Estimate","ZCTA5 02126!!Margin of Error","ZCTA5 02127!!Estimate","ZCTA5 02127!!Margin of Error","ZCTA5 02128!!Estimate","ZCTA5 02128!!Margin of Error","ZCTA5 02129!!Estimate","ZCTA5 02129!!Margin of Error","ZCTA5 02130!!Estimate","ZCTA5 02130!!Margin of Error","ZCTA5 02131!!Estimate","ZCTA5 02131!!Margin of Error","ZCTA5 02132!!Estimate","ZCTA5 02132!!Margin of Error","ZCTA5 02133!!Estimate","ZCTA5 02133!!Margin of Error","ZCTA5 02134!!Estimate","ZCTA5 02134!!Margin of Error","ZCTA5 02135!!Estimate","ZCTA5 02135!!Margin of Error","ZCTA5 02136!!Estimate","ZCTA5 02136!!Margin of Error","ZCTA5 02163!!Estimate","ZCTA5 02163!!Margin of Error","ZCTA5 02199!!Estimate","ZCTA5 02199!!Margin of Error","ZCTA5 02203!!Estimate","ZCTA5 02203!!Margin of Error","ZCTA5 02205!!Estimate","ZCTA5 02205!!Margin of Error","ZCTA5 02210!!Estimate","ZCTA5 02210!!Margin of Error","ZCTA5 02215!!Estimate","ZCTA5 02215!!Margin of Error","ZCTA5 02445!!Estimate","ZCTA5 02445!!Margin of Error","ZCTA5 02446!!Estimate","ZCTA5 02446!!Margin of Error","ZCTA5 02467!!Estimate","ZCTA5 02467!!Margin of Error"
"Total:","2,081","±330","2,605","±489","1,154","±214","3,715","±488","5,481","±701","8,914","±715","12,409","±956","13,202","±782","14,109","±777","12,098","±978","7,078","±921","13,374","±1,390","13,053","±1,131","27,268","±1,632","16,697","±1,066","12,007","±1,075","23,934","±1,265","25,716","±1,565","12,337","±701","24,351","±1,332","17,874","±1,162","14,177","±1,011","0","±13","11,769","±851","30,055","±1,685","19,539","±1,303","714","±162","738","±177","0","±13","0","±13","3,870","±409","13,065","±884","13,054","±996","17,487","±1,112","10,698","±869"
"    Car, truck, or van:","230","±128","393","±129","312","±132","598","±192","1,133","±329","1,405","±274","1,848","±296","2,818","±416","3,957","±475","5,507","±685","1,838","±384","6,821","±835","7,522","±792","14,940","±1,103","7,742","±674","7,042","±942","9,476","±775","9,141","±935","4,956","±470","8,630","±712","10,933","±952","9,597","±936","0","±13","3,708","±444","13,837","±1,319","13,181","±1,003","98","±58","149","±79","0","±13","0","±13","1,056","±254","1,850","±335","3,943","±589","5,215","±639","5,860","±582"
"        Drove alone","190","±114","383","±131","294","±133","514","±168","1,065","±327","1,365","±270","1,507","±259","2,536","±394","3,360","±420","4,896","±663","1,550","±350","5,593","±716","6,308","±786","12,390","±1,047","6,348","±546","6,011","±832","8,674","±723","7,723","±881","4,414","±429","7,670","±642","10,075","±903","8,761","±919","0","±13","3,247","±428","11,783","±1,290","11,359","±961","89","±57","149","±79","0","±13","0","±13","948","±241","1,614","±328","3,568","±559","4,571","±597","4,935","±497"
"        Carpooled:","40","±37","10","±17","18","±29","84","±83","68","±44","40","±39","341","±127","282","±116","597","±195","611","±203","288","±144","1,228","±352","1,214","±452","2,550","±479","1,394","±279","1,031","±375","802","±227","1,418","±317","542","±166","960","±271","858","±196","836","±290","0","±13","461","±187","2,054","±401","1,822","±418","9","±17","0","±13","0","±13","0","±13","108","±67","236","±110","375","±155","644","±216","925","±297"
"            In 2-person carpool","40","±37","10","±17","18","±29","0","±19","59","±41","34","±42","110","±63","228","±96","421","±152","546","±205","264","±136","940","±332","727","±234","1,748","±418","1,078","±259","672","±299","557","±219","1,039","±263","363","±157","691","±246","656","±175","662","±270","0","±13","442","±182","1,835","±385","1,610","±405","9","±17","0","±13","0","±13","0","±13","108","±67","127","±72","344","±148","508","±185","801","±277"
"            In 3-person carpool","0","±13","0","±13","0","±13","0","±19","9","±15","0","±21","100","±71","16","±20","88","±94","37","±43","6","±12","104","±78","318","±320","571","±216","127","±80","316","±157","207","±101","227","±134","125","±58","228","±169","141","±63","144","±98","0","±13","16","±20","137","±69","170","±98","0","±13","0","±13","0","±13","0","±13","0","±13","54","±49","11","±17","122","±93","49","±47"
"            In 4-person carpool","0","±13","0","±13","0","±13","0","±19","0","±19","0","±21","95","±74","0","±25","32","±37","0","±25","0","±21","168","±183","128","±84","121","±86","95","±71","43","±49","21","±23","86","±78","0","±25","39","±46","51","±63","30","±30","0","±13","0","±21","0","±28","36","±51","0","±13","0","±13","0","±13","0","±13","0","±13","0","±25","16","±26","0","±28","40","±53"
"            In 5- or 6-person carpool","0","±13","0","±13","0","±13","28","±33","0","±19","6","±10","27","±31","25","±42","4","±11","17","±29","12","±20","16","±26","24","±37","26","±39","0","±28","0","±25","0","±28","21","±21","45","±44","2","±4","0","±28","0","±25","0","±13","3","±6","39","±7","0","±28","0","±13","0","±13","0","±13","0","±13","0","±13","0","±25","4","±9","14","±17","19","±22"
"            In 7-or-more-person carpool","0","±13","0","±13","0","±13","56","±69","0","±19","0","±21","9","±18","13","±15","52","±44","11","±16","6","±12","0","±25","17","±29","84","±81","94","±73","0","±25","17","±25","45","±44","9","±13","0","±28","10","±14","0","±25","0","±13","0","±21","43","±40","6","±10","0","±13","0","±13","0","±13","0","±13","0","±13","55","±76","0","±25","0","±28","16","±28"
"    Public transportation (excluding taxicab):","389","±135","402","±147","138","±62","578","±172","1,205","±338","1,523","±258","2,885","±369","2,514","±346","3,604","±546","4,186","±594","2,546","±513","5,127","±818","3,508","±578","7,736","±850","5,707","±636","3,294","±560","7,353","±621","11,864","±1,079","2,939","±467","8,200","±632","3,795","±458","1,820","±412","0","±13","4,070","±549","9,823","±789","4,155","±691","52","±34","103","±60","0","±13","0","±13","349","±147","2,235","±358","3,452","±583","4,050","±567","1,145","±264"
