X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7909347.44805551,5215642.36030755,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,31
-7918212.8209828,5220759.69478015,M32025,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,Cambridge,Yes,19,32
-7920277.70736823,5222497.29131344,L32002,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,Arlington,Yes,11,33
-7915539.37209191,5211840.1720314,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,34
-7916359.97818982,5214640.14977275,M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Cambridge,Yes,19,35
-7915477.03762984,5220752.97172542,S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Somerville,Yes,14,36
-7910875.9759836,5217410.06486368,D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11,37
-7911546.23063766,5218201.81185816,D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,38
-7915978.4161636,5222852.36473828,F32001,Main St at Brooks Park,42.411709,-71.110444,Medford,Yes,11,39
-7910789.92490402,5217300.88763798,D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,Yes,15,40
-7913877.02700394,5215496.31193016,M32080,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Cambridge,Yes,23,41
-7911830.09533918,5225088.91730985,G32001,Malden Center T Station,42.426541,-71.073179,Malden,Yes,11,42
-7910801.2750393,5225088.41360374,G32003,Malden High School,42.42653766,-71.06393695,Malden,Yes,11,43
-7917120.7367031,5212065.08406321,K32012,Marion St at Harvard St,42.34012243,-71.12070564,Brookline,Yes,15,44
-7908033.45059731,5218173.52693461,A32048,Marion St at White St,42.38066931,-71.03907316,Boston,Yes,19,45
-7915033.98160371,5209663.36020012,E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16,46
-7914448.74609754,5215263.81732497,M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Cambridge,Yes,17,47
-7920439.52583282,5223228.27275761,L32006,Mass Ave at Broadway,42.41420213,-71.15051883,Arlington,Yes,11,48
-7919693.96243004,5222181.67096177,L32003,Mass Ave at Grafton St,42.40726052,-71.14382132,Arlington,Yes,11,49
-7917332.45635583,5219762.09997355,M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Cambridge,Yes,19,50
-7912964.4999497,5212250.88904802,C32063,Mass Ave T Station,42.34135616,-71.08336953,Boston,Yes,14,51
-7914864.98080556,5215596.25704789,M32085,Mass Ave/Lafayette Square,42.36356499,-71.10044184,Cambridge,Yes,15,52
-7912769.70976512,5212169.23699729,C32004,Massachusetts Ave at Columbus Ave,42.340814,-71.0816197,Boston,Yes,14,53
-7914064.3888389,5202621.94833677,C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15,54
-7914107.9147598,5201194.72546748,C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15,55
-7908111.94530985,5216391.63265801,A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,Yes,33,56
-7907397.43670542,5216225.46441633,A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Boston,Yes,15,57
-7892073.3069223,5238897.26233522,T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,Salem,Yes,11,58
-7915717.70591616,5223759.31713372,F32002,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,Medford,Yes,11,59
-7910425.04521668,5218137.38311785,D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Boston,Yes,19,60
-7914058.60022538,5214772.94316135,M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27,61
-7913335.04245953,5215140.78831491,M32070,MIT Carleton St at Amherst St,42.36054174,-71.08669817,Cambridge,Yes,27,62
-7913203.73110139,5215188.63993777,M32071,MIT Hayward St at Amherst St,42.36085937,-71.08551858,Cambridge,Yes,27,63
-7914959.92742565,5214994.87723451,M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Cambridge,Yes,19,64
-7913831.28693837,5215380.2507266,M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Cambridge,Yes,35,65
-7915254.92630264,5214396.51829276,M32042,MIT Vassar St,42.35560121,-71.10394478,Cambridge,Yes,53,66
-7913842.93095711,5209251.59607538,B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Boston,Yes,15,67
-7912621.24296025,5202826.28043219,C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Boston,Yes,15,68
-7913276.51623725,5203123.90814107,C23045,Morton St T,42.28072514,-71.08617242,Boston,Yes,15,69
-7918511.85964411,5217286.997404,M32043,Mt Auburn,42.37478629,-71.13320231,Cambridge,Yes,19,70
-7916902.49818098,5203743.76340283,C32080,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,Boston,Yes,19,71
-7911795.55290119,5214386.73725146,D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,Yes,19,72
-7906326.45971437,5211511.72087541,C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19,73
-7911605.65520824,5216217.7742751,M32045,Museum of Science,42.36769018,-71.07116282,Cambridge,Yes,19,74
-7910837.57075927,5215913.8529637,A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,35,75
-7913919.2282229,5208568.66832031,B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15,76
-7920018.35633177,5214656.82906238,D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,Yes,15,77
-7913252.20183407,5213359.53863075,B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,Yes,22,78
-7911086.36982119,5210028.6369379,C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15,79
-7926657.18136951,5209346.07473109,N32010,Newton Highlands T,42.32206566,-71.20637298,Newton,Yes,15,80
-7926815.42981804,5211474.88114287,N32013,Newton Library,42.33620337,-71.20779455,Newton,Yes,13,81
-7921112.73490617,5216207.27416876,W32007,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,Watertown,Yes,12,82
-7926110.49357662,5215162.30441625,N32002,Nonantum Library,42.36068456,-71.201462,Newton,Yes,15,83
-7893235.68723405,5240689.33031085,T32015,North St at Liberty Hill Ave,42.52989965,-70.90614259,Salem,Yes,11,84
-7916790.23136132,5204697.13716417,C32078,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,Boston,Yes,19,85
