Date,ZipCode,AQI_OZONE,AQI_PM10,AQI_PM2.5,CategoryName_OZONE,CategoryName_PM10,CategoryName_PM2.5,Longitude,Latitude
2019-01-01,2108,20,,24,Good,,Good,-71.06516,42.35657
2019-01-01,2109,20,,24,Good,,Good,-71.05277,42.36498
2019-01-01,2110,20,,24,Good,,Good,-71.05189,42.35797
2019-01-01,2111,20,,24,Good,,Good,-71.06054,42.35067
2019-01-01,2113,20,,24,Good,,Good,-71.05524,42.36526
2019-01-01,2114,20,,24,Good,,Good,-71.06686,42.36337
2019-01-01,2115,20,,24,Good,,Good,-71.09481,42.34046
2019-01-01,2116,20,,24,Good,,Good,-71.07638,42.35105
2019-01-01,2118,20,,24,Good,,Good,-71.07057,42.33806
2019-01-01,2119,20,,24,Good,,Good,-71.08522,42.32405
2019-01-01,2120,20,,24,Good,,Good,-71.09654,42.33212
2019-01-01,2121,20,,24,Good,,Good,-71.08693,42.3057
2019-01-01,2122,20,,24,Good,,Good,-71.05185,42.29427
2019-01-01,2124,20,,24,Good,,Good,-71.07114,42.28583
2019-01-01,2125,20,,24,Good,,Good,-71.0562,42.31578
2019-01-01,2126,26,,,Good,,,-71.0918,42.27588
2019-01-01,2127,20,,24,Good,,Good,-71.03875,42.33455
2019-01-01,2128,20,,24,Good,,Good,-71.01616,42.37324
2019-01-01,2129,20,,24,Good,,Good,-71.06167,42.37975
2019-01-01,2130,20,,24,Good,,Good,-71.11515,42.30823
2019-01-01,2131,26,,,Good,,,-71.12468,42.28392
2019-01-01,2132,26,,,Good,,,-71.16072,42.27931
2019-01-01,2134,20,,24,Good,,Good,-71.12931,42.35855
2019-01-01,2135,20,,24,Good,,Good,-71.15417,42.34989
2019-01-01,2136,26,,,Good,,,-71.12662,42.25505
2019-01-01,2151,20,,24,Good,,Good,-71.004,42.41887
2019-01-01,2163,20,,24,Good,,Good,-71.12509,42.36717
2019-01-01,2199,20,,24,Good,,Good,-71.08199,42.34748
2019-01-01,2203,20,,24,Good,,Good,-71.05945,42.36144
2019-01-01,2210,20,,24,Good,,Good,-71.03942,42.34815
2019-01-01,2215,20,,24,Good,,Good,-71.10276,42.34741
2019-01-01,2467,20,,24,Good,,Good,-71.16096,42.31725
2019-01-02,2108,26,,35,Good,,Good,-71.06516,42.35657
2019-01-02,2109,26,,35,Good,,Good,-71.05277,42.36498
2019-01-02,2110,26,,35,Good,,Good,-71.05189,42.35797
2019-01-02,2111,26,,35,Good,,Good,-71.06054,42.35067
2019-01-02,2113,26,,35,Good,,Good,-71.05524,42.36526
2019-01-02,2114,26,,35,Good,,Good,-71.06686,42.36337
2019-01-02,2115,26,,35,Good,,Good,-71.09481,42.34046
2019-01-02,2116,26,,35,Good,,Good,-71.07638,42.35105
2019-01-02,2118,26,,35,Good,,Good,-71.07057,42.33806
2019-01-02,2119,26,,35,Good,,Good,-71.08522,42.32405
2019-01-02,2120,26,,35,Good,,Good,-71.09654,42.33212
2019-01-02,2121,26,,35,Good,,Good,-71.08693,42.3057
2019-01-02,2122,26,,35,Good,,Good,-71.05185,42.29427
2019-01-02,2124,26,,35,Good,,Good,-71.07114,42.28583
2019-01-02,2125,26,,35,Good,,Good,-71.0562,42.31578
2019-01-02,2126,31,,,Good,,,-71.0918,42.27588
2019-01-02,2127,26,,35,Good,,Good,-71.03875,42.33455
2019-01-02,2128,26,,30,Good,,Good,-71.01616,42.37324
2019-01-02,2129,26,,30,Good,,Good,-71.06167,42.37975
2019-01-02,2130,26,,35,Good,,Good,-71.11515,42.30823
2019-01-02,2131,31,,,Good,,,-71.12468,42.28392
2019-01-02,2132,31,,,Good,,,-71.16072,42.27931
