,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode
1828,2022-01-01,0,EST,Boston,MA,42.35657,-71.06516,OZONE,9,1,Good,2108
1829,2022-01-01,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,56,2,Moderate,2108
1830,2022-01-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
1831,2022-01-02,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,24,1,Good,2108
1832,2022-01-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
1833,2022-01-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,18,1,Good,2108
1834,2022-01-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,20,1,Good,2108
1835,2022-01-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
1836,2022-01-06,0,EST,Boston,MA,42.35657,-71.06516,OZONE,22,1,Good,2108
1837,2022-01-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,50,1,Good,2108
1838,2022-01-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,24,1,Good,2108
1839,2022-01-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,44,1,Good,2108
1840,2022-01-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
1841,2022-01-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,54,2,Moderate,2108
1842,2022-01-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
1843,2022-01-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,40,1,Good,2108
1844,2022-01-10,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1845,2022-01-10,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
1846,2022-01-11,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
1847,2022-01-11,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,58,2,Moderate,2108
1848,2022-01-12,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
1849,2022-01-12,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,52,2,Moderate,2108
1850,2022-01-13,0,EST,Boston,MA,42.35657,-71.06516,OZONE,17,1,Good,2108
1851,2022-01-13,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,61,2,Moderate,2108
1852,2022-01-14,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1853,2022-01-14,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,55,2,Moderate,2108
1854,2022-01-15,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1855,2022-01-15,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,28,1,Good,2108
1856,2022-01-16,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
1857,2022-01-16,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
1858,2022-01-17,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
1859,2022-01-17,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
1860,2022-01-18,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1861,2022-01-18,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,18,1,Good,2108
1862,2022-01-19,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
1863,2022-01-19,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,31,1,Good,2108
1864,2022-01-20,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
1865,2022-01-20,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,48,1,Good,2108
1866,2022-01-21,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
1867,2022-01-21,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,31,1,Good,2108
1868,2022-01-22,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
1869,2022-01-22,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,48,1,Good,2108
1870,2022-01-23,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
1871,2022-01-23,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,68,2,Moderate,2108
1872,2022-01-24,0,EST,Boston,MA,42.35657,-71.06516,OZONE,24,1,Good,2108
1873,2022-01-24,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,62,2,Moderate,2108
1874,2022-01-25,0,EST,Boston,MA,42.35657,-71.06516,OZONE,22,1,Good,2108
1875,2022-01-25,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,69,2,Moderate,2108
1876,2022-01-26,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
1877,2022-01-26,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,28,1,Good,2108
1878,2022-01-27,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108
