,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode
3870,2020-01-01,0,EST,Boston,MA,42.35657,-71.06516,OZONE,24,1,Good,2108
3871,2020-01-01,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
3872,2020-01-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,24,1,Good,2108
3873,2020-01-02,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,31,1,Good,2108
3874,2020-01-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,8,1,Good,2108
3875,2020-01-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,41,1,Good,2108
3876,2020-01-04,0,EST,Boston,MA,42.35657,-71.06516,OZONE,20,1,Good,2108
3877,2020-01-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,45,1,Good,2108
3878,2020-01-05,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
3879,2020-01-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,16,1,Good,2108
3880,2020-01-06,0,EST,Boston,MA,42.35657,-71.06516,OZONE,17,1,Good,2108
3881,2020-01-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,33,1,Good,2108
3882,2020-01-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,24,1,Good,2108
3883,2020-01-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,33,1,Good,2108
3884,2020-01-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
3885,2020-01-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,39,1,Good,2108
3886,2020-01-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,23,1,Good,2108
3887,2020-01-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
3888,2020-01-10,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
3889,2020-01-10,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,40,1,Good,2108
3890,2020-01-11,0,EST,Boston,MA,42.35657,-71.06516,OZONE,36,1,Good,2108
3891,2020-01-11,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,25,1,Good,2108
3892,2020-01-12,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
3893,2020-01-12,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,11,1,Good,2108
3894,2020-01-13,0,EST,Boston,MA,42.35657,-71.06516,OZONE,18,1,Good,2108
3895,2020-01-13,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,32,1,Good,2108
3896,2020-01-14,0,EST,Boston,MA,42.35657,-71.06516,OZONE,12,1,Good,2108
3897,2020-01-14,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,41,1,Good,2108
3898,2020-01-15,0,EST,Boston,MA,42.35657,-71.06516,OZONE,19,1,Good,2108
3899,2020-01-15,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,39,1,Good,2108
3900,2020-01-16,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
3901,2020-01-16,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,24,1,Good,2108
3902,2020-01-17,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
3903,2020-01-17,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,28,1,Good,2108
3904,2020-01-18,0,EST,Boston,MA,42.35657,-71.06516,OZONE,23,1,Good,2108
3905,2020-01-18,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
3906,2020-01-19,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108
3907,2020-01-19,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,41,1,Good,2108
