Name,NumParks
Dorchester,39
Roxbury,35
Jamaica Plain,22
East Boston,20
South End,15
Hyde Park,15
Charlestown,14
Brighton,13
North End,13
West Roxbury,11
South Boston,10
Allston,9
Mattapan,8
Back Bay,6
Roslindale,5
Longwood Medical Area,4
Mission Hill,4
Fenway,2
Harbor Islands,2
Bay Village,1
