,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode
896,2021-02-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
899,2021-02-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,16,1,Good,2108
898,2021-02-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108
901,2021-02-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,22,1,Good,2108
900,2021-02-04,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
903,2021-02-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,61,2,Moderate,2108
902,2021-02-05,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
905,2021-02-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,58,2,Moderate,2108
904,2021-02-06,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
907,2021-02-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,51,2,Moderate,2108
906,2021-02-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,21,1,Good,2108
908,2021-02-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
909,2021-02-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,56,2,Moderate,2108
910,2021-02-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,17,1,Good,2108
911,2021-02-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,59,2,Moderate,2108
912,2021-02-10,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
913,2021-02-10,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,60,2,Moderate,2108
914,2021-02-11,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
915,2021-02-11,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,57,2,Moderate,2108
916,2021-02-12,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
917,2021-02-12,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
