"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","CO","CO_Unit","PM25","PM25_Unit","SO2","SO2_Unit","OZONE","OZONE_Unit","NO2","NO2_Unit","PM10","PM10_Unit"
"NRB000043","Spare Unit","Active","","-1.28","36.82","0.0","3.0","","N/A","01/21/21","00:00","Nairobi EPA","","","","","","0","0","0","0","","","","","","","","","","","",""
"NRB000042","Viwandani","Active","","-1.31122","36.87311","0.0","3.0","","N/A","01/21/21","00:00","Nairobi EPA","","","","","","0","0","0","0","","","","","","","","","","","",""
"483951076","Franklin Oak Grove","Active","R6","31.168889","-96.481944","136.9","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"NRB000045","St Scholastica Catholic School","Active","","-1.253111","36.85653","0.0","3.0","","N/A","01/21/21","00:00","Nairobi EPA","","","","","","0","1","1","0","","","","","","","","","","","",""
"007204510","JPN Site 007204510","Active","","37.054489","140.893856","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","0.5","PPM","","","","","","","","","",""
"080699991","Rocky Mtn NP Collocated","Active","R3","40.2778","-105.5453","2744.7","-7.0","US","CO","01/21/21","00:00","EPA Office of Atmospheric Programs","","","","","","0","0","0","0","","","","","","","","","","","",""
"530639995","Colbert-Greenbluff","Active","R10","47.808226","-117.34327","577.4","-8.0","US","WA","01/21/21","00:00","Spokane Regional Clean Air Agency","Spokane","","","28.0","","0","0","1","0","","","6.4","UG/M3","","","","","","","",""
"530639997","Spokane-E Broadway Ave (US)","Inactive","R10","47.663963","-117.257652","611.2","-8.0","US","WA","01/21/21","00:00","Washington Department of Ecology","Spokane","","","","","0","0","1","0","","","","","","","","","","","",""
"530639996","Liberty Lake-E Valeyway (US)","Inactive","R10","47.660568","-117.084503","650.3","-8.0","US","WA","01/21/21","00:00","Washington Department of Ecology","Spokane","","","","","0","0","1","0","","","","","","","","","","","",""
"530639999","Airway Heights-West 12th (US)","Active","R10","47.645351","-117.589027","729.3","-8.0","US","WA","01/21/21","00:00","Washington Department of Ecology","Spokane","","","34.0","","0","0","1","0","","","10.0","UG/M3","","","","","","","",""
"032201060","JPN Site 032201060","Active","","35.475353","133.012361","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","0.6","PPM","","","4.0","PPB","","","","","",""
"120350004","Flagler County","Active","R4","29.489082","-81.276833","0.0","-5.0","US","FL","01/21/21","00:00","Florida Dept. of Environmental Protection","Daytona Beach","24.0","","","","1","0","0","0","","","","","","","16.0","PPB","","","",""
"240050009","Baltimore County Near Road","Active","R3","39.371679","-76.746814","132.7","-5.0","US","MD","01/21/21","00:00","Maryland Department of the Environment","","","","","24.0","0","0","0","1","","","","","","","","","25.0","PPB","",""
"360850114","Staten Island","Inactive","R2","40.631699","-74.156898","0.0","-5.0","US","NY","01/21/21","00:00","New York Dept. of Environmental Conservation","New York City Region","","","","","0","0","1","0","","","","","","","","","","","",""
"MMGBU1001","GBUAPCD EBAM @ Woodfords","Inactive","R9","38.765581","-119.807453","0.0","-8.0","US","MM","01/21/21","00:00","Great Basin Unified Air Pollution Control District","North Mono County","","","","","0","0","1","0","","","","","","","","","","","",""
"026109020","JPN Site 026109020","Active","","34.938236","135.73216","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"360850111","Fresh Kills","Active","R2","40.5802","-74.1994","0.0","-5.0","US","NY","01/21/21","00:00","New York Dept. of Environmental Conservation","New York City Region","","","24.0","","1","0","1","0","","","4.2","UG/M3","","","","","","","",""
"390610048","Cincinnati Near Road","Active","R5","39.146025","-84.538375","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","","","","43.0","16.0","0","0","1","1","0.27","PPM","13.4","UG/M3","","","","","17.0","PPB","",""
"MMGBU1000","GBUAPCD EBAM @ Lone Pine","Inactive","R9","36.608988","-118.057923","0.0","-8.0","US","MM","01/21/21","00:00","Great Basin Unified Air Pollution Control District","","","","","","0","0","1","0","","","","","","","","","","","",""
"032BAA010002","Buenos Aires","Active","DSAR","-34.5773","-58.4176","0.0","-3.0","AR","N/A","01/21/21","00:00","U.S. Department of State Argentina - Buenos Aires","Buenos Aires","","","","","0","0","1","0","","","","","","","","","","","",""
"037201080","JPN Site 037201080","Active","","34.305495","133.960114","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","2.0","PPB","","","","","",""
"080570003","Walden, CO","Inactive","USEPA","40.882198","-106.306107","2418.3","-7.0","US","CO","01/21/21","00:00","National Park Service","","","","","","1","0","0","1","","","","","","","","","","","",""
"530510007","Usk-Kalispel Tribe","Inactive","R10","48.3456","-117.277496","630.1","-8.0","US","WA","01/21/21","00:00","Washington Department of Ecology","","","","","","0","0","1","0","","","","","","","","","","","",""
"390610040","Taft","Active","R5","39.12886","-84.50404","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","Cincinnati","19.0","17.0","44.0","14.0","1","1","1","1","0.31","PPM","11.6","UG/M3","1.0","PPB","19.0","PPB","16.0","PPB","21.0","UG/M3"
"390990013","Youngstown - Oakhill","Active","R5","41.096158","-80.658908","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","Youngstown","","","","","0","0","0","0","","","","","4.0","PPB","","","","","",""
"390990014","Youngstown - Head Start","Active","R5","41.095938","-80.658467","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","Youngstown","","","18.0","","0","0","1","0","","","4.8","UG/M3","","","","","","","",""
"840450070006","Garrison Arena","Inactive","R4","34.635958","-82.810667","0.0","-5.0","US","SC","01/21/21","00:00","South Carolina DHEC","Greenville-Spartanburg","","","","","1","0","0","0","","","","","","","","","","","",""
