,FID,GEOID10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,TotDis,TotChild,OlderAdult,Low_to_No,LEP,POC2,MedIllnes,Name,Shape__Area,Shape__Length,longitude,latitude,closest_sensor,pm2.5_atm,pm10_atm
0,1,25025010405,3914567.54,89.8661,5522,994,470,60,331,1191,1522,1755,2131.22,Mission Hill,666100.0,6036.19290737238,-71.08960578928992,42.339874142595846,29389,7.7455,8.405000000000001
1,2,25025010404,1472713.92,33.8089,5817,1862,299,77,56,2387,2443,1749,2201.14,Fenway,250612.3828125,2176.59217081707,-71.08863804653,42.34197537754171,29389,7.7455,8.405000000000001
2,3,25025010801,1376667.12,31.6039,2783,1899,84,281,390,72,462,447,1214.76,Back Bay,234357.91015625,2542.04307815989,-71.0770221793632,42.35412791177561,29389,7.7455,8.405000000000001
3,4,25025010702,3228780.12,74.1226,2400,1643,45,86,285,187,472,320,1014.2,Back Bay,549614.0078125,3224.57304425674,-71.07551650242489,42.35184401224233,29389,7.7455,8.405000000000001
4,5,25025010204,2741497.18,62.9361,3173,1283,131,13,36,895,931,1039,1181.78,Fenway,466585.23828125,3143.61063710589,-71.10338855317528,42.34629739362335,29389,7.7455,8.405000000000001
5,6,25025010802,1673329.62,38.4144,3059,2106,109,232,428,309,737,517,1245.52,Back Bay,284837.1953125,2666.11245707734,-71.08568079544102,42.35152673357136,29389,7.7455,8.405000000000001
6,7,25025010104,3086172.34,70.8488,4804,2136,238,85,382,1024,1406,1664,1865.37,Back Bay,525294.91015625,3884.93358959166,-71.09332057103327,42.34917256856027,29389,7.7455,8.405000000000001
7,8,25025000703,1916064.65,43.9868,2791,1418,99,31,31,1740,1771,1083,1029.6,Allston,326153.7421875,3052.86672898749,-71.12821645962984,42.35133770230239,29389,7.7455,8.405000000000001
8,9,25025000504,3586159.72,82.3269,4985,2726,700,35,837,1967,2804,1123,2113.6,Brighton,610249.078125,4370.41741468175,-71.14382682393936,42.34148051586106,28273,8.242,9.116
9,10,25025000704,2580833.98,59.2478,4801,2405,301,142,113,1560,1673,1928,1802.25,Allston,439292.9921875,2870.10835319277,-71.13340507584454,42.35001155115027,28273,8.242,9.116
10,11,25025010103,2938702.47,67.4633,4569,528,122,34,16,392,408,1995,1629.62,Fenway,500203.43359375,4000.08434834764,-71.10344859218954,42.34979042791533,29389,7.7455,8.405000000000001
11,12,25025000803,12465804.76,286.1755,6584,946,285,168,96,598,694,2649,2378.26,Fenway,2122482.48828125,10226.7444186413,-71.12126340755002,42.35948644021074,29389,7.7455,8.405000000000001
12,13,25025980300,22640579.76,519.7562,338,2,136,0,64,242,306,191,149.4,Jamaica Plain,3847996.359375,8740.78364308694,-71.09493432610326,42.30268524048715,26219,8.807500000000001,9.9115
13,14,25025120201,7743687.53,177.7706,3439,1726,378,571,306,1221,1527,1536,1345.15,Jamaica Plain,1316220.78515625,5174.53505929243,-71.1083680675138,42.305165685421734,26219,8.807500000000001,9.9115
14,15,25025120104,3124502.39,71.7287,2095,1060,137,342,146,403,549,736,802.52,Jamaica Plain,531091.16796875,3583.98421341706,-71.11730554410592,42.30569495793331,26219,8.807500000000001,9.9115
15,16,25025110607,12606722.98,289.4105,5077,2227,486,772,987,675,1662,992,2177.4,Roslindale,2141804.65234375,8391.0488196984,-71.13464039722281,42.29029550273872,26219,8.807500000000001,9.9115
16,17,25025000302,6845240.11,157.1451,3142,1346,243,335,334,754,1088,847,1259.57,Brighton,1165029.1875,5114.34422130814,-71.16726314332388,42.34663562608377,28273,8.242,9.116
