sensor,time_stamp,pm2.5_atm,pm10.0_atm
26219,2019-01-01T00:00:00Z,8.807500000000001,9.9115
28273,2019-01-01T00:00:00Z,8.242,9.116
29389,2019-01-01T00:00:00Z,7.7455,8.405000000000001
34953,2019-01-01T00:00:00Z,8.614,9.6435
3642,2019-01-01T00:00:00Z,7.6985,8.4805
37663,2019-01-01T00:00:00Z,19.4615,31.4675
39657,2019-01-01T00:00:00Z,12.1045,13.859
