date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,3.2,26.9,16.4,5.9,17.8,5.983,395
2022-02-02T00:00:00.000Z,2.7,41.7,24,15.7,29.7,9.497,606
2022-02-03T00:00:00.000Z,8.7,35.5,17.2,12,25.45,7.558,600
2022-02-04T00:00:00.000Z,0,47.9,3.8,2.2,12.3,6.577,606
2022-02-05T00:00:00.000Z,2.4,8.5,4.7,3.6,5.5,1.221,544
2022-02-06T00:00:00.000Z,1.6,9.5,4.4,3.3,5.2,1.26,596
2022-02-07T00:00:00.000Z,3.6,51.7,16.6,8.5,24.1,10.449,595
2022-02-08T00:00:00.000Z,1.7,18.9,6.3,4.2,8.4,3.233,589
2022-02-09T00:00:00.000Z,4.5,34.9,9.8,8.1,14.25,5.872,584
2022-02-10T00:00:00.000Z,2.1,34.2,20.45,6.4,25.7,9.995,594
2022-02-11T00:00:00.000Z,1.1,20.3,6,3,9.69,4.735,582
2022-02-12T00:00:00.000Z,0.6,15.6,5.8,4.3,8.19,3.032,576
2022-02-13T00:00:00.000Z,1.6,15.6,6.8,3,9.5,3.45,582
2022-02-14T00:00:00.000Z,2.6,92.5,5.25,4.2,8.19,6.369,576
2022-02-15T00:00:00.000Z,1.5,12.4,4.2,3,5.9,2.264,577
2022-02-16T00:00:00.000Z,2.5,44.4,14.45,5.05,17.85,7.011,604
2022-02-17T00:00:00.000Z,1.3,9.3,3.9,2.9,4.9,1.237,572
2022-02-18T00:00:00.000Z,0,4.4,1.1,0.5,1.6,0.69,518
2022-02-19T00:00:00.000Z,1.1,14.9,3.2,2.29,4.09,2.679,547
2022-02-20T00:00:00.000Z,1.4,5.2,2.6,2.29,3.2,0.705,554
2022-02-21T00:00:00.000Z,3.7,13.2,7.6,5.35,8.6,1.925,597
2022-02-22T00:00:00.000Z,6.5,36.4,15.2,11.85,24.9,7.665,601
2022-02-23T00:00:00.000Z,0,19.9,5.3,2.9,8.3,3.681,560
2022-02-24T00:00:00.000Z,1.7,7.7,3.5,3,4.1,1,567
2022-02-25T00:00:00.000Z,0,8.3,3.9,1.1,5.2,2.15,564
2022-02-26T00:00:00.000Z,2.3,17.2,4.7,3.9,5.6,2.225,586
2022-02-27T00:00:00.000Z,5.1,19.9,10.1,8.69,11.1,2.516,594
2022-02-28T00:00:00.000Z,1.5,13.5,4,3.15,5,2.123,577
2022-03-01T00:00:00.000Z,2.3,28.6,5.8,4.59,8.8,4.249,595
2022-03-02T00:00:00.000Z,3.5,29.2,8.4,6.9,14.75,6.947,581
2022-03-03T00:00:00.000Z,0.9,35.3,9.7,2.5,15.6,10.118,596
2022-03-04T00:00:00.000Z,1.5,18.3,3.7,2.4,4.5,1.488,566
2022-03-05T00:00:00.000Z,4.8,22.7,10.1,7.2,11.5,2.751,578
2022-03-06T00:00:00.000Z,7.2,37.4,18.7,12.8,27.35,8.489,589
2022-03-07T00:00:00.000Z,5.7,36.6,12.95,7.4,22.1,8.585,594
2022-03-08T00:00:00.000Z,0,20.9,0.5,0.2,2.1,6.417,493
2022-03-09T00:00:00.000Z,1,12.8,4.2,3.4,5.4,2.144,573
2022-03-10T00:00:00.000Z,8.3,26,14.5,12.2,17.1,3.691,595
2022-03-11T00:00:00.000Z,11.5,47.9,24.9,17.1,28.7,7.32,591
2022-03-12T00:00:00.000Z,0,23.9,8.19,3.4,12.5,5.968,590
2022-03-13T00:00:00.000Z,0.9,5.5,2.4,1.9,3.2,0.899,519
2022-03-14T00:00:00.000Z,3.6,13.7,9.4,7.6,11.4,2.517,579
2022-03-15T00:00:00.000Z,5.2,18.8,8.6,7.1,12.5,3.443,555
2022-03-16T00:00:00.000Z,4.2,23.5,15.3,10.8,16.5,3.972,612
2022-03-17T00:00:00.000Z,8.5,56.6,18.7,16.7,22.1,5.511,602
2022-03-18T00:00:00.000Z,12,34.1,23.1,19.2,28.3,5.829,562
2022-03-19T00:00:00.000Z,5.1,32.3,17.7,10.4,20.85,6.528,601
2022-03-20T00:00:00.000Z,0.1,15,4.25,1.5,9.8,4.294,562
2022-03-21T00:00:00.000Z,0,4.5,0.8,0.6,1.1,0.63,435
2022-03-22T00:00:00.000Z,0,6.3,0.9,0.5,1.8,1.024,544
2022-03-23T00:00:00.000Z,0.2,7.2,1,0.6,1.3,0.782,523
2022-03-24T00:00:00.000Z,0,7.5,0.95,0.6,1.3,0.78,538
2022-03-25T00:00:00.000Z,0,14.9,0.9,0.3,2.1,1.532,478
2022-03-26T00:00:00.000Z,0.5,12.6,3.7,1.7,5.2,2.404,550
2022-03-27T00:00:00.000Z,0,6.5,2.1,0.5,4.7,2.055,550
2022-03-28T00:00:00.000Z,0.2,7.2,1.5,1.2,1.9,0.917,548
2022-03-29T00:00:00.000Z,0.4,5.4,1.9,1.45,2.3,0.749,560
2022-03-30T00:00:00.000Z,0.1,8.6,1.3,0.8,2.2,1.245,565
2022-03-31T00:00:00.000Z,1.2,21.6,8.8,3,15.1,6.304,593
2022-04-01T00:00:00.000Z,0.3,16.2,4,1.7,7.6,4.368,567
2022-04-02T00:00:00.000Z,0,8,0.9,0.4,1.4,0.863,493
2022-04-03T00:00:00.000Z,1.5,17.7,7.8,3,10.1,4.138,580
2022-04-04T00:00:00.000Z,1.3,10.2,3.9,2.7,4.9,1.501,558
2022-04-05T00:00:00.000Z,1.3,24,2.9,2.3,4.6,2.699,559
2022-04-06T00:00:00.000Z,3.9,13,8.4,5.8,10.3,2.369,590
2022-04-07T00:00:00.000Z,2.8,12.3,5.65,4.3,7.4,1.838,576
2022-04-08T00:00:00.000Z,0.1,10.3,4.2,1.7,6.5,2.732,570
2022-04-09T00:00:00.000Z,0,43.5,7.05,3.2,12.4,6.157,562
2022-04-10T00:00:00.000Z,0.8,19.7,2.5,1.9,3.5,1.258,551
2022-04-11T00:00:00.000Z,0,19.7,0.5,0.3,0.8,1.285,529
2022-04-12T00:00:00.000Z,1.3,12.7,3.6,2.8,4.7,1.913,580
2022-04-13T00:00:00.000Z,1.6,19.6,4.6,3.2,6.3,2.443,560
2022-04-14T00:00:00.000Z,2.7,13,6.9,5.6,7.7,1.574,577
2022-04-15T00:00:00.000Z,0.6,18.5,3.5,1.9,7.3,3.524,579
2022-04-16T00:00:00.000Z,1.3,16.1,2.2,1.8,2.9,0.98,554
2022-04-17T00:00:00.000Z,0,5.2,1.1,0.6,1.9,0.796,547
2022-04-18T00:00:00.000Z,0,11.4,1,0.7,1.4,1.255,550
2022-04-19T00:00:00.000Z,0,10.1,2.9,1.7,5,2.389,519
2022-04-20T00:00:00.000Z,0,10.5,1,0.5,1.7,1.284,525
2022-04-21T00:00:00.000Z,1,6.3,2.6,2.1,3.2,1.114,562
