date,min,max,median,q1,q3,stdev,count
2022-04-17T00:00:00.000Z,0,3.8,1.2,0.5,2.2,0.921,538
2022-04-18T00:00:00.000Z,0.3,3.7,1.2,0.8,1.6,0.576,558
2022-04-19T00:00:00.000Z,0,12.1,2.9,1.8,4.5,2.394,559
2022-04-20T00:00:00.000Z,0,12.7,1.5,0.7,2.4,1.608,558
2022-04-21T00:00:00.000Z,1.3,7.1,3.3,2.6,3.8,0.949,577
2022-04-22T00:00:00.000Z,0.2,9.5,3.2,1.3,5,2.409,586
2022-04-23T00:00:00.000Z,1.2,14.6,2.6,1.8,3.6,1.762,564
2022-04-24T00:00:00.000Z,1.4,15.5,2.7,2.2,4.3,2.639,571
2022-04-25T00:00:00.000Z,0.7,18.2,6.15,1.8,8.19,3.488,562
2022-04-26T00:00:00.000Z,1.5,13.8,3.7,2.7,6.7,2.544,579
2022-04-27T00:00:00.000Z,0,28.6,6.25,3.7,9.6,4.983,570
2022-04-28T00:00:00.000Z,0,3.7,0.9,0.3,2.04,0.979,496
2022-04-29T00:00:00.000Z,0.6,6.9,2.5,1.5,3.2,1.028,561
2022-04-30T00:00:00.000Z,0.3,8.3,2.4,1.8,2.9,1.199,550
2022-05-01T00:00:00.000Z,1,40.9,6.4,4.4,7.4,3.861,590
2022-05-02T00:00:00.000Z,2,21.1,5.4,4,7.8,2.787,589
2022-05-03T00:00:00.000Z,0.9,7.6,2.5,1.9,3.1,0.809,568
2022-05-04T00:00:00.000Z,1.1,25.5,4.09,2.1,10.4,5.75,574
2022-05-05T00:00:00.000Z,2.1,21.8,4.2,3.2,6,4.866,590
2022-05-06T00:00:00.000Z,3.2,19.9,5.09,4.5,5.8,2.352,592
2022-05-07T00:00:00.000Z,2.1,16.8,4.65,3.3,8.8,3.209,572
2022-05-08T00:00:00.000Z,1.8,5.6,2.9,2.6,3.3,0.578,556
2022-05-09T00:00:00.000Z,2,26.1,3.5,3.1,5.4,4.176,585
2022-05-10T00:00:00.000Z,1.9,14.2,4.5,3.7,5.45,2.423,569
2022-05-11T00:00:00.000Z,1.3,44.5,5.5,4.8,8.05,8.571,584
2022-05-12T00:00:00.000Z,0.2,17.1,4.95,2.8,7.55,3.51,588
2022-05-13T00:00:00.000Z,1.2,65.9,8.65,5.5,13.7,7.787,578
2022-05-14T00:00:00.000Z,1.3,6.7,3.45,2.8,4.2,0.934,566
2022-05-15T00:00:00.000Z,0.3,10,3.5,2,4.59,1.579,569
2022-05-16T00:00:00.000Z,2.7,20.5,8.4,5.3,10.6,3.001,580
2022-05-17T00:00:00.000Z,0.1,25.7,3,1.5,12.8,7.942,550
2022-05-18T00:00:00.000Z,0.4,5.6,2.9,1.2,4.2,1.506,549
2022-05-19T00:00:00.000Z,3.4,15.1,6.6,5.6,8.15,2.055,589
