date,min,max,median,q1,q3,stdev,count
2022-01-01T00:00:00.000Z,2.3,34,16.1,7.1,26.5,9.619,567
2022-01-02T00:00:00.000Z,1,27.5,3.9,2.8,17.2,8.032,559
2022-01-03T00:00:00.000Z,0,6.6,1.7,0.9,2.7,1.136,528
2022-01-04T00:00:00.000Z,0,6.4,1.1,0.3,2.65,1.654,537
2022-01-05T00:00:00.000Z,1,10.5,6.3,2.1,8.1,2.914,555
2022-01-06T00:00:00.000Z,1.8,20,11,9.3,13,4.051,574
2022-01-07T00:00:00.000Z,5,14,9.2,6.9,11.2,2.345,576
2022-01-08T00:00:00.000Z,0.3,50.8,2.3,1.3,4.2,4.825,549
2022-01-09T00:00:00.000Z,1.6,39.8,5.7,3.9,12.2,8.069,572
2022-01-10T00:00:00.000Z,0,169.4,3.3,0.7,12.9,10.414,435
2022-01-11T00:00:00.000Z,0.3,25.3,2.2,1.1,3.4,4.165,570
2022-01-12T00:00:00.000Z,2.9,22.9,5.3,4.59,6.55,1.957,565
2022-01-13T00:00:00.000Z,8.4,22.9,13.2,11.8,17,3.29,595
2022-01-14T00:00:00.000Z,4.8,33.6,23.7,14.6,26.5,7.396,575
2022-01-15T00:00:00.000Z,0.6,164.2,1.8,1.35,2.7,9.884,576
2022-01-16T00:00:00.000Z,0.8,82.5,6.1,3.7,10.6,10.185,598
2022-01-17T00:00:00.000Z,0.2,27.4,2.1,1.3,4.4,3.427,546
2022-01-18T00:00:00.000Z,0,17.9,0.8,0.5,1.5,5.831,496
2022-01-19T00:00:00.000Z,0.2,8,1.5,1.1,4.1,1.857,529
2022-01-20T00:00:00.000Z,0.4,22.1,8.1,5.6,13.2,5.861,567
2022-01-21T00:00:00.000Z,0,5.3,2.5,0.8,3.5,1.398,533
2022-01-22T00:00:00.000Z,1.3,12.7,4.1,3,6.7,2.525,589
2022-01-23T00:00:00.000Z,3.1,26.8,13.9,12.1,15.8,3.382,577
2022-01-24T00:00:00.000Z,2.9,27,16.55,9.2,22.6,7.262,600
2022-01-25T00:00:00.000Z,7.1,37,23.9,16.2,29.6,7.524,606
2022-01-26T00:00:00.000Z,0.6,11.1,2.7,1.6,4.2,2.094,563
2022-01-27T00:00:00.000Z,1,18.2,3.7,3,4.5,1.558,594
2022-01-28T00:00:00.000Z,2.4,30.8,20.39,7.1,26.3,9.428,579
2022-01-29T00:00:00.000Z,2.4,186.6,9.9,6.1,25.3,13.002,595
2022-01-30T00:00:00.000Z,0,7.1,0.7,0.5,1.4,1.075,535
2022-01-31T00:00:00.000Z,4.1,12.6,7.7,6.6,8.55,1.495,576
2022-02-01T00:00:00.000Z,7.1,33.6,17.39,11.65,20.9,6.972,569
2022-02-02T00:00:00.000Z,5.5,23.9,17.35,12.1,20.39,4.8,614
2022-02-03T00:00:00.000Z,4.8,29.9,10.19,7.5,15.8,6.757,597
2022-02-04T00:00:00.000Z,0,18.2,2.29,1.2,11.2,5.822,539
2022-02-05T00:00:00.000Z,0.6,6.5,2.5,2,3.1,0.872,577
2022-02-06T00:00:00.000Z,0.3,244.7,3,1.1,5.09,13.471,588
2022-02-07T00:00:00.000Z,2.8,55,14.6,8.25,17.3,6.866,584
2022-02-08T00:00:00.000Z,0.6,13.2,5,2.8,7.5,2.802,558
2022-02-09T00:00:00.000Z,2.5,19.8,6,5,8.3,4.26,589
2022-02-10T00:00:00.000Z,1.6,20.9,13.5,4.3,17.25,6.245,592
2022-02-11T00:00:00.000Z,0.9,20.4,5.1,2.6,6.9,3.266,555
2022-02-12T00:00:00.000Z,0.5,9,3.7,2.8,5.2,1.88,557
2022-02-13T00:00:00.000Z,0.7,10,3.2,1.4,6.35,2.641,557
2022-02-14T00:00:00.000Z,0.6,9.3,2.4,1.7,4.1,2.192,580
2022-02-15T00:00:00.000Z,0.3,8.4,2.2,1.1,4,1.806,575
2022-02-16T00:00:00.000Z,1,17.3,9.9,2.5,11.2,4.086,568
2022-02-17T00:00:00.000Z,0.6,5.1,2.6,2.1,3.2,0.805,538
2022-02-18T00:00:00.000Z,0,12.4,0.7,0.2,1.1,1.006,441
2022-02-19T00:00:00.000Z,0.4,10.4,1.7,1.1,2.3,1.936,545
2022-02-20T00:00:00.000Z,0.3,65,1.1,0.8,1.5,3.831,533
2022-02-21T00:00:00.000Z,1.7,14.1,4.6,3.3,6.2,1.889,562
2022-02-22T00:00:00.000Z,3.3,31.9,12.4,9.1,20.55,6.929,600
2022-02-23T00:00:00.000Z,0,9.6,3.9,2.2,6.2,2.537,549
2022-02-24T00:00:00.000Z,0.5,5.9,1.6,1.2,1.9,0.596,557
2022-02-25T00:00:00.000Z,0,8.1,2.6,1.3,3.9,1.872,509
2022-02-26T00:00:00.000Z,0.9,6.7,3.3,1.9,4.2,1.299,578
2022-02-27T00:00:00.000Z,3.4,14.4,7.3,6.3,8.25,2.028,572
2022-02-28T00:00:00.000Z,0.2,7.6,1.8,1.4,2.5,1.333,568
2022-03-01T00:00:00.000Z,1.1,10.4,3.45,2.1,6.7,2.446,554
2022-03-02T00:00:00.000Z,2.3,19.3,5.5,4,10.1,4.808,590
2022-03-03T00:00:00.000Z,0.5,26.3,7.7,1.3,11.5,7.243,574
2022-03-04T00:00:00.000Z,0.4,9.6,1.4,0.9,2.1,0.837,554
2022-03-05T00:00:00.000Z,2.6,11.4,6.1,5,8.2,1.969,570
2022-03-06T00:00:00.000Z,5.5,33.3,15.2,9.2,23.5,7.877,579
2022-03-07T00:00:00.000Z,4.6,34.5,9.55,5.6,18.7,7.611,602
2022-03-08T00:00:00.000Z,0,14.7,0.3,0.1,12.1,6.02,254
2022-03-09T00:00:00.000Z,0.2,11.3,2.6,2.1,4.8,2.198,566
2022-03-10T00:00:00.000Z,6.1,17,10.6,9,12.4,2.209,570
2022-03-11T00:00:00.000Z,9.8,30.6,17.89,14.75,19.5,4.233,581
2022-03-12T00:00:00.000Z,0.3,44.4,8.6,4.9,11.2,4.797,602
2022-03-13T00:00:00.000Z,0,4.9,1,0.7,2,0.965,513
2022-03-14T00:00:00.000Z,2.6,16,6.8,5.6,8.6,1.955,575
2022-03-15T00:00:00.000Z,3.6,151.8,6.3,5.1,10.9,7.428,578
2022-03-16T00:00:00.000Z,5,21.1,14,12.4,14.9,2.642,600
2022-03-17T00:00:00.000Z,9.8,29.6,16.2,12.2,21.2,5.078,584
2022-03-18T00:00:00.000Z,9,30.7,19.2,13.1,23.4,5.79,563
2022-03-19T00:00:00.000Z,6.3,29,14,9.1,16.4,4.146,589
2022-03-20T00:00:00.000Z,0,11,2.95,0.9,6.2,2.773,534
2022-03-21T00:00:00.000Z,0,2.3,0.5,0.3,0.7,0.335,353
2022-03-22T00:00:00.000Z,0,2.7,0.4,0.2,0.7,0.455,462
2022-03-23T00:00:00.000Z,0,2.1,0.4,0.2,0.8,0.445,493
2022-03-24T00:00:00.000Z,0,14.7,0.4,0.2,0.7,1.039,497
2022-03-25T00:00:00.000Z,0,5.7,1.2,0.3,2.5,1.466,280
2022-03-26T00:00:00.000Z,0.1,190.1,2.8,1,3.9,9.404,539
2022-03-27T00:00:00.000Z,0,8.1,1.9,0.3,2.6,1.302,399
2022-03-28T00:00:00.000Z,0,1.9,0.3,0.2,0.5,0.281,459
2022-03-29T00:00:00.000Z,0,4,0.5,0.3,0.7,0.364,513
2022-03-30T00:00:00.000Z,0,70.8,0.2,0.1,0.4,4.346,489
2022-03-31T00:00:00.000Z,0.9,15.3,4.1,2,11.6,5.015,541
2022-04-01T00:00:00.000Z,0,12,2.6,0.9,4.5,3.323,520
2022-04-02T00:00:00.000Z,0,2,0.5,0.2,0.8,0.392,340
2022-04-03T00:00:00.000Z,1,11,5.1,2.4,6.5,2.428,563
2022-04-04T00:00:00.000Z,0.5,6.7,2.45,1.8,2.8,0.918,530
2022-04-05T00:00:00.000Z,0.7,5.7,2.04,1.5,3.1,1.043,518
2022-04-06T00:00:00.000Z,3.3,11.1,5.9,4.5,7.4,1.746,561
2022-04-07T00:00:00.000Z,2.3,10.3,4.2,3.6,5.1,1.151,557
2022-04-08T00:00:00.000Z,0,12.6,2.29,0.8,3.5,1.798,540
2022-04-09T00:00:00.000Z,0,65.1,5.5,3.1,8.9,7.702,546
2022-04-10T00:00:00.000Z,0.5,13.2,1.6,1.3,2,0.813,519
2022-04-11T00:00:00.000Z,0,7.8,0.2,0.1,0.4,0.834,374
2022-04-12T00:00:00.000Z,1,5.9,2.4,1.9,3.3,1.01,550
2022-04-13T00:00:00.000Z,0.8,17.6,3.7,2.1,4.7,1.552,544
2022-04-14T00:00:00.000Z,2.7,8.6,5,4.2,5.8,1.167,561
2022-04-15T00:00:00.000Z,0.3,10.4,2.5,1.4,4.9,2.389,561
2022-04-16T00:00:00.000Z,0.5,9.5,1.6,1.4,2.3,0.755,535
2022-04-17T00:00:00.000Z,0,2.4,0.5,0.2,1,0.541,469
