date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,2.5,35,22.2,5.7,25.1,9.345,400
2022-02-02T00:00:00.000Z,2.6,36.9,22.7,14.6,29.45,8.917,617
2022-02-03T00:00:00.000Z,8.2,36.8,18.9,15.3,24.7,6.625,625
2022-02-04T00:00:00.000Z,0.4,27.6,4.9,3,15,6.624,629
2022-02-05T00:00:00.000Z,2.7,13.8,5.4,4.7,6.2,1.64,611
2022-02-06T00:00:00.000Z,1.7,9.8,4.6,3.5,6.1,1.731,607
2022-02-07T00:00:00.000Z,3.4,54.7,15.4,12,24.6,8.365,611
2022-02-08T00:00:00.000Z,2.3,21,10.4,5.75,14.2,4.552,601
2022-02-09T00:00:00.000Z,3.9,27.3,10,8.19,12.2,5.569,601
2022-02-10T00:00:00.000Z,2.8,37.4,18.2,6.5,28.1,10.515,607
2022-02-11T00:00:00.000Z,1,32.3,8.5,3.3,11.7,4.88,595
2022-02-12T00:00:00.000Z,0.3,27.5,5.7,3.9,8.5,4.508,580
2022-02-13T00:00:00.000Z,1.3,18,8.4,2.6,12.25,4.841,589
2022-02-14T00:00:00.000Z,2.1,17.9,5.8,4.45,9.1,3.612,604
2022-02-15T00:00:00.000Z,1.9,15.4,5.1,3.7,7,2.383,617
2022-02-16T00:00:00.000Z,1.8,37,15.4,3.7,17.7,6.673,609
2022-02-17T00:00:00.000Z,1.1,11.6,3.8,2.9,5,1.373,579
2022-02-18T00:00:00.000Z,0,9.9,1.2,0.7,1.7,0.894,542
2022-02-19T00:00:00.000Z,0.8,15.3,2.8,2.4,3.7,2.618,590
2022-02-20T00:00:00.000Z,0.9,7.8,2.6,2.1,3.2,1.027,581
2022-02-21T00:00:00.000Z,2.4,15.4,6.3,4.5,7.6,2.095,602
2022-02-22T00:00:00.000Z,4.2,46.8,18.8,15.1,23.15,8.928,592
2022-02-23T00:00:00.000Z,0.2,22.8,4.7,2.7,8.3,4.066,596
2022-02-24T00:00:00.000Z,1.5,15.8,3.3,2.8,3.9,0.953,585
2022-02-25T00:00:00.000Z,0,13.9,3.9,0.8,6.3,2.931,587
2022-02-26T00:00:00.000Z,2.1,24.6,5.9,4.6,7.7,2.247,604
2022-02-27T00:00:00.000Z,5.1,22.5,11.2,8.9,13.6,3.767,617
2022-02-28T00:00:00.000Z,1,14,4.9,3.4,6.5,2.222,620
2022-03-01T00:00:00.000Z,2.4,17.6,5.9,3.9,10.1,3.406,610
2022-03-02T00:00:00.000Z,2.6,31.2,10,7.4,14.9,6.825,603
2022-03-03T00:00:00.000Z,1,38.5,11.4,2.8,14.7,9.92,610
2022-03-04T00:00:00.000Z,0.9,8.9,2.1,1.6,3.4,1.225,359
2022-03-06T00:00:00.000Z,20.6,20.8,20.7,20.6,20.8,0.1,2
2022-03-07T00:00:00.000Z,5.8,29.7,8.6,7.45,16.05,5.45,412
2022-03-08T00:00:00.000Z,0,22.2,0.6,0.3,1.2,5.88,508
2022-03-09T00:00:00.000Z,0.8,15.6,4.7,3.8,5.8,2.531,605
2022-03-10T00:00:00.000Z,9.4,30.6,16.5,14.7,20.3,4.22,595
2022-03-11T00:00:00.000Z,11.2,42.7,24.5,15.5,31.3,8.472,595
2022-03-12T00:00:00.000Z,0.1,27,9.4,3.5,12.95,6.644,588
2022-03-13T00:00:00.000Z,0.7,11.2,2.3,1.6,3.2,1.129,575
2022-03-14T00:00:00.000Z,3.2,21.6,9.6,7.8,12.1,3.1,607
2022-03-15T00:00:00.000Z,4.6,20.6,9.6,8,13.2,3.616,587
2022-03-16T00:00:00.000Z,3.9,32.4,19.2,14.8,22.8,6.078,629
2022-03-17T00:00:00.000Z,12.6,34.1,20,17.7,22,4.034,590
2022-03-18T00:00:00.000Z,12.8,37.5,22.3,18.35,30.45,6.884,572
2022-03-19T00:00:00.000Z,6.4,31,19.1,14.8,22.05,5.479,593
2022-03-20T00:00:00.000Z,0,25.2,6.9,2.54,10.6,6.335,580
2022-03-21T00:00:00.000Z,0,11.6,1,0.6,1.7,1.091,435
2022-03-22T00:00:00.000Z,0.1,6.8,1.2,0.8,1.6,0.726,547
2022-03-23T00:00:00.000Z,0.1,9.3,1,0.7,1.4,0.987,560
2022-03-24T00:00:00.000Z,0,3.7,0.8,0.5,1.1,0.479,526
2022-03-25T00:00:00.000Z,0,12.6,2.4,1,3.8,1.89,559
2022-03-26T00:00:00.000Z,0.5,16.7,3.7,1.9,5.3,2.178,578
2022-03-27T00:00:00.000Z,0,9.9,2.5,0.5,4.2,1.91,544
2022-03-28T00:00:00.000Z,0.2,6.8,1.1,0.8,1.5,0.654,560
2022-03-29T00:00:00.000Z,0.2,11.7,1.5,1,1.9,0.924,562
2022-03-30T00:00:00.000Z,0.2,12.2,1.2,0.8,1.6,1.008,551
2022-03-31T00:00:00.000Z,1.9,36.6,7.5,3.2,14.2,5.831,586
2022-04-01T00:00:00.000Z,0.2,24.5,4.5,1.7,8.69,4.207,579
2022-04-02T00:00:00.000Z,0,11.2,0.7,0.4,1.1,0.801,512
2022-04-03T00:00:00.000Z,1.7,14.6,6.7,3.6,9.05,2.919,576
2022-04-04T00:00:00.000Z,0.9,16.4,4.8,3.55,5.9,2.087,561
2022-04-05T00:00:00.000Z,1.4,15,3.2,2.6,4.4,1.851,592
2022-04-06T00:00:00.000Z,4.3,15.7,9.3,7,11.1,2.438,587
2022-04-07T00:00:00.000Z,3.1,10.8,6.15,4.8,7.3,1.559,590
2022-04-08T00:00:00.000Z,0,9.2,3.4,1.3,6.2,2.606,577
2022-04-09T00:00:00.000Z,0.5,19.4,6.1,3.3,12.45,5.437,568
2022-04-10T00:00:00.000Z,0.9,7.1,2.8,2,3.6,1.047,562
2022-04-11T00:00:00.000Z,0,4,0.7,0.5,1,0.526,535
2022-04-12T00:00:00.000Z,1.3,37.6,3.7,2.7,5.5,3.361,584
2022-04-13T00:00:00.000Z,1.3,17.9,5.3,3.6,6.8,2.235,595
2022-04-14T00:00:00.000Z,5.2,16.2,9.6,7.4,10.7,2.149,591
