date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,2.8,26.8,16.3,13.2,19.4,6.166,325
2022-02-02T00:00:00.000Z,2.5,39,18.2,14.2,22.4,6.957,549
2022-02-03T00:00:00.000Z,8.9,44.7,16.4,13.1,21,5.759,583
2022-02-04T00:00:00.000Z,0,38.1,3.4,1.9,10.9,6.608,591
2022-02-05T00:00:00.000Z,1.3,8.7,3.3,2.6,4.1,1.163,576
2022-02-06T00:00:00.000Z,0.5,7.5,2.8,1.5,4.5,1.669,531
2022-02-07T00:00:00.000Z,3.3,36,10.8,6.5,20.6,8.77,506
2022-02-08T00:00:00.000Z,1.4,19.4,6.2,3.8,9.2,3.426,529
2022-02-09T00:00:00.000Z,3.5,32.4,8.8,7.4,10.9,5.597,532
2022-02-10T00:00:00.000Z,2.1,46.4,17.6,5.6,23.5,8.836,519
2022-02-11T00:00:00.000Z,0.8,20,6.5,2.9,8.6,3.458,534
2022-02-12T00:00:00.000Z,1,22.6,5.7,3.85,8.5,3.787,612
2022-02-13T00:00:00.000Z,0.8,22.3,5.3,2.29,9.1,3.853,582
2022-02-14T00:00:00.000Z,1.1,12.9,3.6,2.4,6.3,3.043,599
2022-02-15T00:00:00.000Z,0.7,10.9,2.3,1.5,3.9,1.956,597
2022-02-16T00:00:00.000Z,1.6,20.3,13,4.5,14.7,5.173,610
2022-02-17T00:00:00.000Z,0.7,25.1,3.7,2.6,4.7,1.928,585
2022-02-18T00:00:00.000Z,0,16.8,0.6,0.2,1,1.712,482
2022-02-19T00:00:00.000Z,0.5,17.5,2.4,1.7,3.3,2.956,583
2022-02-20T00:00:00.000Z,0.2,4.7,1.7,1.1,2.6,0.941,558
2022-02-21T00:00:00.000Z,2.7,12.6,6.4,4.4,7.6,1.897,608
2022-02-22T00:00:00.000Z,3.5,38.3,16.1,10.9,24.8,8.723,597
2022-02-23T00:00:00.000Z,0,15.6,4.6,2.5,7.4,3.765,601
2022-02-24T00:00:00.000Z,0.3,32.9,2.3,1.8,3.3,1.793,580
2022-02-25T00:00:00.000Z,0,26.7,3.4,1.3,4.9,2.578,554
2022-02-26T00:00:00.000Z,1.8,14.4,4.2,3.4,5.3,1.577,630
2022-02-27T00:00:00.000Z,5.4,22.5,9.7,7.7,11.9,2.679,591
2022-02-28T00:00:00.000Z,0.4,12.2,2.29,1.7,2.9,1.827,590
2022-03-01T00:00:00.000Z,1.1,12.5,4.7,3.2,7.1,2.388,610
2022-03-02T00:00:00.000Z,3.2,26,8.44,6.3,15,6.238,594
