,zip_code,OZONE_AQI,PM2.5_AQI,year,Total population,Average Household Size,Percentage of Foreign Born Residents,Percentage of Non-English Speakers,Percentage of population aged 5 years and over who speak Spanish at home,Percentage of population aged 5 years and over who speak an Indo-european other than Spanish at home,Percentage of population aged 5 years and over who speak an Asian and Pacific Islander language,Percentage of population aged 5 years and over who speak other language at home,Percentage of population aged 25 years and over with a Bachelor's degree,Percentage of population with American ancestry,Percentage of population with Arab ancestry,Percentage of population with Dutch ancestry,Percentage of population with English ancestry,Percentage of population with French ancestry,Percentage of population with German ancestry,Percentage of population with Irish ancestry,Percentage of population with Italian ancestry,Percentage of population with Subsaharan African ancestry,Percentage of population with West Indian ancestry,Percentage of people commuting to work,Mean travel time to work (minutes),"Percentage of population commuting to work by car, truck or van -- drove alone",Percentage of population commuting to work by car -- carpoled,Percentage of population working from home,Unemployment rate,Percentage of private wage and salary workers,Percentage of government workers,Percentage of population in labor force,Percentage of employed,Percentage of unemployed,Median household income,Mean household income,Percentage of population with no health insurance,Percentage of owner occupied housing units,Percentage of renter occupied housing units,Median price of owner occupied units (dollars),Median price of rent occupied units (dollars),Median age (years),Percentage of population under 18,Percentage of population over 18,Percentage of white people,Percentage of Black or African American people,Percentage of Asian people,Percentage of Native Hawaiian and Other Pacific Islander people,Percentage of Hispanic or Latino People
0,2108,31.72905027932961,40.2534435261708,2017,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
1,2108,31.565934065934066,43.07988980716254,2018,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
2,2108,31.304469273743017,34.99452054794521,2019,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
3,2108,31.083798882681563,33.36986301369863,2021,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
4,2108,34.41456582633053,30.378082191780823,2022,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
5,2109,31.72905027932961,40.2534435261708,2017,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
6,2109,31.565934065934066,43.07988980716254,2018,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
7,2109,31.304469273743017,34.99452054794521,2019,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
8,2109,31.07563025210084,33.37362637362637,2021,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
9,2109,34.37921348314607,30.315934065934066,2022,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
10,2110,31.72905027932961,40.2534435261708,2017,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
11,2110,31.565934065934066,43.07988980716254,2018,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
12,2110,31.304469273743017,34.99452054794521,2019,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
